ID,CONCEPT,CHINESE,GLOSS_IN_SOURCE,VALUE,FORM,TOKENS,MORPHEME_STRUCTURE,BORROWING,SAGART_ID,NOTE,COGID
5083,I [first person singular],我,I,aʑo,aʑo,a ʑ o,,,5083,,327
25785,UNKNOWN,,,qanɯ,qanɯ,q a n ɯ,,,25785,,0
48,above,,,ɯ-taʁ,ɯ-taʁ,ɯ ◦ t a ʁ,,,48,,49
101,all,全部,all,tʰamtɕɤt,tʰamtɕɤt,tʰ a m tɕ ɤ t,,tib[tʰams.tɕad],101,,3682
25848,all,,all,lonba,lonba,l o n mb a,,tib[lon.pa],25848,,1275
154,and,和,,cʰo,cʰo,cʰ o,,,154,,0
313,bad,坏,,ŋɤn,ŋɤn,ŋ ɤ n,,tib[ŋan],313,,245
25819,before,,before,ɯ-ʁɤri,ɯ-ʁɤri,ɯ ʁ ɤ r i,,,25819,,0
525,"below, under",,,ɯ-pa,ɯ-pa,ɯ ◦ p a,,,525,,396
578,big,大,big,wxti,wxti,w x t i,,,578,,29701
737,black,黑,black,ɲaʁ,ɲaʁ,ɲ a ʁ,,,737,,511
1532,cold (of temperature),冷,cold,mɯɕtaʁ,mɯɕtaʁ,m ɯ ɕ t a ʁ,,,1532,,1002
1691,correct (right),对,,ɣɤŋgi,ɣɤŋgi,ɣ ɤ ŋ g i,,,1691,,1465
32322,correct (right),,,ɯ-stu,ɯ-stu,ɯ + s t u,,,32322,,3976
30536,dark,,,qanɯ,qanɯ,q a n ɯ,,,30536,,1363
2062,dirty,脏,,ɴqʰi,ɴqʰi,ɴ qʰ i,,,2062,,1104
31302,dry,,,rom,rom,r o m,,,31302,,993
31309,dry,,,spɯ,spɯ,s p ɯ,,,31309,,3703
2274,dry,干,dry,zbaʁ,zbaʁ,z b a ʁ,,,2274,,1199
25786,early,,early,nɯmtɕi,nɯmtɕi,n ɯ m tɕ i,,,25786,,991
2592,eight,,,kɯrcat,kɯrcat,k ɯ r c a t,,,2592,,183
2751,far,元,,arqʰi,arqʰi,a r qʰ i,,,2751,,973
3016,female,,,tɕheme,tɕheme,tɕʰ e m e,,,3016,,0
3069,few,少,,rkɯn,rkɯn,r k ɯ n,,tib[dkon],3069,,0
25787,firewood,,dead wood,sɯɴɢoʁ,sɯɴɢoʁ,s ɯ ɴ ɢ o ʁ,,,25787,,6006
3281,five,五,,kɯmŋu,kɯmŋu,k ɯ m ŋ u,,,3281,,10357
3705,four,四,,kɯβde,kɯβde,k ɯ β d e,,,3705,,263
3864,full,满,full,mtsʰɤt,mtsʰɤt,m tsʰ ɤ t,,,3864,,1357
32069,good,,,sna,sna,s n a,,,32069,,3913
3970,good,好,good,pe,pe,p e,,,3970,,179
4076,green,绿,green,arŋi,arŋi,a r ŋ i,,,4076,,1098
25789,hard,,hard,rko,rko,r k o,,,25789,,341
4288,he or she [third person singular],他,,ɯʑo,ɯʑo,ɯ ʑ o,,,4288,,965
4500,heavy,重,,rʑi,rʑi,r ʑ i,,,4500,,10379
4553,here,这里,,kɯre,kɯre,k ɯ r e,,,4553,,1867
25824,high / tall,,high,mbro,mbro,m b r o,,,25824,,896
25791,horizontal,,horizontal,ndom,ndom,nd o m,,,25791,,3103
25792,hot,,"hot, burning",sɤɕke,sɤɕke,s ɤ ɕ k e,,,25792,,4221
4871,how,怎么,,tɕʰi,tɕʰi,tɕʰ i,,tib[tɕʰi],4871,,0
4924,hundred,,,ɣurʑa,ɣurʑa,ɣ u r ʑ a,,,4924,,185
25793,inside,,inside,ɯ-ŋgɯ,ɯ-ŋgɯ,ɯ ŋg ɯ,,,25793,,626
30747,knife,,,mbrɯtɕɯ,mbrɯtɕɯ,mb r ɯ tɕ ɯ,,,30747,,3645
31306,late,,,maqʰu,maqʰu,m a qʰ u,,,31306,,2538
25796,late,,late,dal,dal,d a l,,tib[dal],25796,,167
5560,left,左边,,ʁe,ʁe,ʁ e,,,5560,,422
25798,light (of weight),,light,ʑo,ʑo,ʑ o,,,25798,,10542
5878,long,长,long,zri,zri,z r i,,,5878,,547
5984,male,,,pʰu,pʰu,pʰ u,,tib[pʰo],5984,,0
32326,many,,,dɤn,dɤn,d ɤ n,,tib[ldan],32326,,4044
6090,many,多,many,xcat,xcat,x c a t,,,6090,,979
30520,middle,,,ɯ-χcɤl,ɯ-χcɤl,ɯ χ c ɤ l,,tib[dkʲil],30520,,205
30739,morning,,,soz,soz,s o z,,,30739,,2266
6567,narrow,窄,,tɕɤr,tɕɤr,tɕ ɤ r,,,6567,,671
6620,near,近,,armbat,armbat,a r mb a t,,,6620,,974
6779,new,新,new,ɕɤɣ,ɕɤɣ,ɕ ɤ ɣ,,,6779,,997
6885,nine,,,kɯngɯt,kɯngɯt,k ɯ n g ɯ t,,,6885,,24
30530,noon,,,sŋɯχcɤl,sŋɯχcɤl,s ŋ ɯ χ c ɤ l,,tib[dkʲil],30530,,1318
31304,noon,,,saχsɯ,saχsɯ,s a χ s ɯ,,,31304,,936
6991,not,不,not,mɤ-,mɤ-,m ɤ ◦,,,6991,,0
7044,old (of person),老,,rgɤz,rgɤz,r g ɤ z,,tib[rgas],7044,,583
7097,one,一,one,ci,ci,c i,,,7097,,302
