ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	hot			 kə-sɐskî 	 kə-sɐskî 						
	hundred			-rî	-rî						
	the mouth		ma bouche	ɐ-ɣmór	ɐ-ɣmór						
	the eye		mes yeux	ɐ-mɲɐ̂ʁ	ɐ-mɲɐ̂ʁ						
	the husband		mon mari	ɐ-nmɐ̂ʁ	ɐ-nmɐ̂ʁ						
	the name		mon nom	ɐ-rmíʔ	ɐ-rmíʔ						
	the shoulder		mon épaule	ɐ-rvɐ̂ʁ	ɐ-rvɐ̂ʁ						
	the wing		mes ailes	ɐ-ʁɐŕⁿdzɐm	ɐ-ʁɐŕⁿdzɐm						
	here			ɐkhóʔ	ɐkhóʔ						
	there			ɐkhóʔ	ɐkhóʔ						
	many			ɐrnbú	ɐrnbú						
	far			ɐ́rqə	ɐ́rqə						
	the hoof		mon sabot	ɐʁwê	ɐʁwê						
	the mother			ɑ-mɑ̂	ɑ-mɑ̂						
	yesterday			ɕwór	ɕwór						
	this			ə́jʔ	ə́jʔ						
	sharp		pointu	k-ɐɣdómʔ	k-ɐɣdómʔ						
	to cook			k-ɐldî	k-ɐldî						
	to fight			k-ɐləlɐ́t	k-ɐləlɐ́t						
	sharp		pointu	k-ɐmtɕhôʁ	k-ɐmtɕhôʁ						
	to fall			k-ɐntér	k-ɐntér						
	near			k-ɐrnî	k-ɐrnî						
	green			k-ɐrŋwíʔ	k-ɐrŋwíʔ						
	to sit			k-ɑmdzóˠʔ	k-ɑmdzóˠʔ						
	round			k-ɑrtóˠmʔ	k-ɑrtóˠmʔ						
	straight			k-ɑstúɣʔ	k-ɑstúɣʔ						
	to burn [intransitive]			kɐ-cə́ɣʔ	kɐ-cə́ɣʔ						
	to hear			kɐ-fséʔ	kɐ-fséʔ						
	to plant (vegetals, rice)			kɐ-jéʔ	kɐ-jéʔ						
	to sow (broadcast, scatter seeds)			kɐ-jéʔ	kɐ-jéʔ						
	to give			kɐ-khɐ̂m	kɐ-khɐ̂m						
	to rub			kɐ-khrə́t	kɐ-khrə́t						
	to wipe			kɐ-khrə́t	kɐ-khrə́t						
	dark			kɐ-ldôv	kɐ-ldôv						
	to knead			kɐ-lníʔ	kɐ-lníʔ						
	to dig			kɐ-lwɐ́ʔ	kɐ-lwɐ́ʔ						
	to squeeze			kɐ-mcrɐ́ʁʔ	kɐ-mcrɐ́ʁʔ						
	to steal			kɐ-mərkə́ʔ	kɐ-mərkə́ʔ						
	sick			kɐ-mŋɐ́mʔ	kɐ-mŋɐ́mʔ						
	wet		se mouiller	kɐ-nɐcə̂	kɐ-nɐcə̂						
	to bite		ronger, mastiquer, mordre	kɐ-nɐrcêt	kɐ-nɐrcêt						
	to chew		ronger, mastiquer, mordre	kɐ-nɐrcêt	kɐ-nɐrcêt						
	to hide (conceal)			kɐ-nɐtshíʔ	kɐ-nɐtshíʔ						
	to split		se fendre en long, se casser, exploser	kɐ-ⁿbɐ̂ʁ	kɐ-ⁿbɐ̂ʁ						
	to give			kɐ-ⁿbə́ʔ	kɐ-ⁿbə́ʔ						
	to eat			kɐ-ndzéʔ	kɐ-ndzéʔ						
	to fall		tomber, trébucher	kɐ-ⁿdʑêv	kɐ-ⁿdʑêv						
	to burn [intransitive]			kɐ-ⁿdʑôv	kɐ-ⁿdʑôv						
	to cut		couper du bois	kɐ-nəkɐjû	kɐ-nəkɐjû						
	to climb			kɐ-nərʁərʁê	kɐ-nərʁərʁê						
	to choose			kɐ-nəsíʔ	kɐ-nəsíʔ						
	to vomit			kɐ-nⁿbêz	kɐ-nⁿbêz						
	sick			kɐ-nⁿɡɐ́ʔ	kɐ-nⁿɡɐ́ʔ						
	to kill			kɐ-ntɕhéʔ	kɐ-ntɕhéʔ						
	to lick			kɐ-ntsôɣ	kɐ-ntsôɣ						
	to walk			kɐ-ɲcéʔ	kɐ-ɲcéʔ						
	rotten (of fruits)			kɐ-ɲór	kɐ-ɲór						
	to cry (weep)		pleurer (larmoyer)	kɐ-ŋímʔ	kɐ-ŋímʔ						
	to cut		fendre en long, couper	kɐ-pɐ̂ʁ	kɐ-pɐ̂ʁ						
	to turn (around)			kɐ-phɣɐ́ʁʔ	kɐ-phɣɐ́ʁʔ						
	to tie (together)			kɐ-prɐ̂ʁ	kɐ-prɐ̂ʁ						
	to fly (move through air)			kɐ-qɐlnbjɐ́m	kɐ-qɐlnbjɐ́m						
	to choose			kɐ-qɐ̂r	kɐ-qɐ̂r						
	good			kɐ-qhrɐ̂	kɐ-qhrɐ̂						
	to cut		raser, couper (cheveux)	kɐ-qrôz	kɐ-qrôz						
	to sleep		s’endormir	kɐ-rɐjə̂v	kɐ-rɐjə̂v						
	to cut		couper (viande, lé- gumes	kɐ-rɐⁿdzéʔ	kɐ-rɐⁿdzéʔ						
	to pull			kɐ-rɐskɐ́ʔ	kɐ-rɐskɐ́ʔ						
	to scratch			kɐ-rɐvrɐ́ʁʔ	kɐ-rɐvrɐ́ʁʔ						
	to marry (a man marries a woman)			kɐ-rəkəkhwî	kɐ-rəkəkhwî						
	to lie down		 dormir, être allongé	kɐ-rⁿɡə́ʔ	kɐ-rⁿɡə́ʔ						
	to lie, rest		dormir, être allongé	kɐ-rⁿɡə́ʔ	kɐ-rⁿɡə́ʔ						
	to sleep		dormir, être allongé	kɐ-rⁿɡə́ʔ	kɐ-rⁿɡə́ʔ						
	to wash		rincer, laver	kɐ-ʁlɟɐ̂	kɐ-ʁlɟɐ̂						
	to hit			kɐ-ʁⁿdóʔ	kɐ-ʁⁿdóʔ						
	to cut		couper,scier	kɐ-ʁⁿdzɐ́rʔ	kɐ-ʁⁿdzɐ́rʔ						
	to know			kɐ-séz	kɐ-séz						
	to know (something)			kɐ-séz	kɐ-séz						
	to be alive			kɐ-səsû	kɐ-səsû						
	to push			kɐ-stôʁ	kɐ-stôʁ						
	to burn [transitive]			kɐ-tɕhôv	kɐ-tɕhôv						
	to shoot (an arrow)			kɐ-tə̂	kɐ-tə̂						
	to drink			kɐ-théʔ	kɐ-théʔ						
	to say			kɐ-tshə́ʔ	kɐ-tshə́ʔ						
	to sew			kɐ-tʂôv	kɐ-tʂôv						
	to open			kɐ-twɐ́ʔ	kɐ-twɐ́ʔ						
	to fear (be afraid)			kɐ-vɐ̂r	kɐ-vɐ̂r						
	to throw		 jeter, tirer 	kɐ-vɐrêt	kɐ-vɐrêt						
	to cry (weep)		pleurer (crier)	kɐ-vɐwô	kɐ-vɐwô						
	to learn			kɐ-vzjɐ̂	kɐ-vzjɐ̂						
	to tie (together)			kɐ-wɐ́ʔ	kɐ-wɐ́ʔ						
	to wash			kɐ-χtɕhə́ʔ	kɐ-χtɕhə́ʔ						
	to buy			kɐ-χtə̂	kɐ-χtə̂						
	firewood			kɐjû	kɐjû						
	forget			kɑ-lmɑ̂t	kɑ-lmɑ̂t						
	to forget			kɑ-lmɑ̂t	kɑ-lmɑ̂t						
	to see			kɑ-mtɑ́ʔ	kɑ-mtɑ́ʔ						
	full		se remplir	kɑ-mtshôˠt	kɑ-mtshôˠt						
	to smell (perceive odor) [transitive]			kɑ-nɑmnɑ́mʔ	kɑ-nɑmnɑ́mʔ						
	to hunt			kɑ-nɑ́ʔ	kɑ-nɑ́ʔ						
	to hold			kɑ-ⁿdɑ̂	kɑ-ⁿdɑ̂						
	to spit		perdre, se débarasser de, se mou- pɑ̂t pɯ̂ t pɯ́ t cher, cracher	kɑ-pɑ̂t	kɑ-pɑ̂t						
	to cut			kɑ-phrɑ́t	kɑ-phrɑ́t						
	to run			kɑ-rɟɯ́ɣʔ 	kɑ-rɟɯ́ɣʔ 						
	to count			kɑ-rtsɯ́z	kɑ-rtsɯ́z						
