ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	to marry (a man marries a woman)			kɑ-rɯstɯnmúʔ	kɑ-rɯstɯnmúʔ						
	to die			kɑ-sɯ̂	kɑ-sɯ̂						
	to think (reflect)			kɑ-sɯsɑ́ʔ	kɑ-sɯsɑ́ʔ						
	to blow (of wind)			kɑ-vɑmôˠ	kɑ-vɑmôˠ						
	to turn (around)			kɑ-zíˠʔ	kɑ-zíˠʔ						
	thick			kə-jɐ̂ʁ	kə-jɐ̂ʁ						
	light (of weight)			kə-jɐ́ʔ	kə-jɐ́ʔ						
	wide			kə-lvómʔ	kə-lvómʔ						
	late			kə-mɐʁû	kə-mɐʁû						
	few			kə-mnéʔ	kə-mnéʔ						
	smooth			kə-mníʔ	kə-mníʔ						
	thin (object)			kə-nbjéʔ	kə-nbjéʔ						
	warm (hot)		tiède, gentil (personne)	kə-ndʑɐ̂m	kə-ndʑɐ̂m						
	narrow		étroit (espace)	kə-ⁿɡór 	kə-ⁿɡór 						
	good			kə-ⁿɟɐ́ʁ	kə-ⁿɟɐ́ʁ						
	hard			kə-ⁿkɐ́ʔ	kə-ⁿkɐ́ʔ						
	black			kə-ɲɐ̂ʁ	kə-ɲɐ̂ʁ						
	bad			kə-ŋɐ̂n	kə-ŋɐ̂n						
	white			kə-prómʔ	kə-prómʔ						
	dark			kə-qɐnî 	kə-qɐnî 						
	to freeze (intransitive)			kə-qɐrkhúʔ	kə-qɐrkhúʔ						
	heavy			kə-rɟə́ʔ	kə-rɟə́ʔ						
	long			kə-rzɑ́ʔ	kə-rzɑ́ʔ						
	dry			kə-spɐ̂ʁ	kə-spɐ̂ʁ						
	narrow			kə-tɕîz	kə-tɕîz						
	cold (of temperature)			kə-vɐndʑɐ̂	kə-vɐndʑɐ̂						
	small			kə-xtɕhə́ʔ	kə-xtɕhə́ʔ						
	big			kə-xtíʔ	kə-xtíʔ						
	good			kə-χô	kə-χô						
	one			kəldʑɐ̂	kəldʑɐ̂						
	other			kəmɐ́ʁʔ	kəmɐ́ʁʔ						
	five			kəmŋɐ̂	kəmŋɐ̂						
	nine			kənⁿɡə́t	kənⁿɡə́t						
	one			kə́rdoʁ	kə́rdoʁ						
	few			kərkôn	kərkôn						
	six			kətɕôɣ	kətɕôɣ						
	the ant			khrôʁ	khrôʁ						
	the house			khwî	khwî						
	many			kɯ-ldɑ̂n	kɯ-ldɑ̂n						
	to swell			kɯ-mɑrɑ̂m	kɯ-mɑrɑ̂m						
	high / tall			kɯ-nbrɑ́ʔ	kɯ-nbrɑ́ʔ						
	horizontal			kɯ-ndɑ́mʔ	kɯ-ndɑ́mʔ						
	soft			kɯ-nⁿbɯ́ʔ	kɯ-nⁿbɯ́ʔ						
	salty			kɯ-tsríˠʔ	kɯ-tsríˠʔ						
	red			kɯ-vɯrníˠʔ	kɯ-vɯrníˠʔ						
	short			kɯ-xtɯ́nʔ	kɯ-xtɯ́nʔ						
	the tiger			kɯsɑ̂	kɯsɑ̂						
	seven			kɯsnɑ̂z	kɯsnɑ̂z						
	four			kɯvdɑ̂	kɯvdɑ̂						
	the dog			kwəzéʔ	kwəzéʔ						
	the flea			mdzɐlɟíʔ	mdzɐlɟíʔ						
	not			mə-	mə-						
	many		sont nombreux	mtshôˠt	mtshôˠt						
	the night			mɯ́z	mɯ́z						
	that			nɐvéʔ	nɐvéʔ						
	inside			nɑ́ŋʔ	nɑ́ŋʔ						
	the horse			ⁿbrɑ̂	ⁿbrɑ̂						
	thou [second person singular]			nəjɐ́ʔ	nəjɐ́ʔ						
	you [second person plural]			nəjɐ́ʔ	nəjɐ́ʔ						
	we [first person plural inclusive]			ⁿgɐréʔ	ⁿgɐréʔ						
	we [first person plural inclusive]			ⁿɡəréʔ	ⁿɡəréʔ						
	hard		il est dur	nⁿɢɐ́ʔ	nⁿɢɐ́ʔ						
	many		sont nombreux	nⁿɢwê	nⁿɢwê						
	the grass			ɲɐ́ⁿbɐ	ɲɐ́ⁿbɐ						
	many		sont nombreux	ɲchêm	ɲchêm						
	I [first person singular]			ŋɐ́ʔ	ŋɐ́ʔ						
	the work			ŋkhorvê	ŋkhorvê						
	where			ŋótsho	ŋótsho						
	the pig			pɐ̂ʁ	pɐ̂ʁ						
	the bird			pɣéʔ	pɣéʔ						
	outside			phjíʔ	phjíʔ						
	the child (descendant)			pɯrɟə́t	pɯrɟə́t						
	the fox			qɐcwíʔ	qɐcwíʔ						
	the wind			qɐldə	qɐldə						
	the sand			qɐⁿbə́t	qɐⁿbə́t						
	the frog			qɐspéʔ	qɐspéʔ						
	the wheat			qɐ́ʔ	qɐ́ʔ						
	dry			rɑ́mʔ	rɑ́mʔ						
	the meat			rəⁿdzî	rəⁿdzî						
	all			rwoʁrwóʁʔ	rwoʁrwóʁʔ						
	twenty			ʁnəsqɐ́ʔ	ʁnəsqɐ́ʔ						
	two			ʁnîz	ʁnîz						
	the girl			sɐ́mche	sɐ́mche						
	ten			sɐʁɐ́ʔ	sɐʁɐ́ʔ						
	to grow			scê	scê						
	tomorrow			səfsîz	səfsîz						
	new		nom adjectival	səmê	səmê						
	firewood		chopped firewood	sə́tɕhɐʁ	sə́tɕhɐʁ						
	who			sə́ʔ	sə́ʔ						
	the stone (a piece of)			skwətséʔ	skwətséʔ						
	the frost			sŋér	sŋér						
	the wolf			spjɑŋkúʔ	spjɑŋkúʔ						
	the tail			tɐ-lméʔ	tɐ-lméʔ						
	the leaf			tɐ-lvɐ́ʁʔ	tɐ-lvɐ́ʁʔ						
	to laugh			tɐ-ríʔ	tɐ-ríʔ						
	the body hair (hair or fur)			tɐ-rméʔ	tɐ-rméʔ						
	the hair			tɐ-rméʔ	tɐ-rméʔ						
	the son			tɐ-tɕhə́ʔ	tɐ-tɕhə́ʔ						
	the father			tɐ-tê	tɐ-tê						
	the barley (tibetan or highland)			tɐɕíʔ	tɐɕíʔ						
	the snow			tɐlvéʔ	tɐlvéʔ						
	the sun			tɐŋî	tɐŋî						
	the needle (for sewing)			tɐʁɐ̂v	tɐʁɐ̂v						
	the stick			tɐʁⁿbɣíʔ	tɐʁⁿbɣíʔ						
	the dream			tɑ-lmɑ́ʔ	tɑ-lmɑ́ʔ						
	the child			tɑ-pɯ́ʔ	tɑ-pɯ́ʔ						
	the child (young human)			tɑ-pɯ́ʔ	tɑ-pɯ́ʔ						
	the blood			tɑ-sɑ́ʔ	tɑ-sɑ́ʔ						
	the ice			tɑlvɑ́mʔ	tɑlvɑ́mʔ						
	the fat (grease)		graisse de bœuf	tɑtʂhɑ́mʔ	tɑtʂhɑ́mʔ						
	the road		chemin	tɕɐ́ⁿbɐ	tɕɐ́ⁿbɐ						
	the tooth (front)			tə-ɕwéʔ 	tə-ɕwéʔ 						
	the hand			tə-jɐ̂ʁ	tə-jɐ̂ʁ						
	the hair (of the head)			tə-kurméʔ	tə-kurméʔ						
	the head			tə-kúʔ	tə-kúʔ						
	the neck			tə-mkéʔ	tə-mkéʔ						
	painful			tə́-mŋɐm	tə́-mŋɐm						
	the nose			tə-sɲî	tə-sɲî						
	the knee			tə-χpûm	tə-χpûm						
	female			təmî	təmî						
	the daughter			təmî	təmî						
	the woman			təmî	təmî						
	morning			təmtɕhə́ɣʔ	təmtɕhə́ɣʔ						
	the morning			təmtɕhə́ɣʔ	təmtɕhə́ɣʔ						
	the rain			təmû	təmû						
	the sky			təmû	təmû						
	the skin			təⁿdʑə̂	təⁿdʑə̂						
	the sickle			təɲchwéʔ	təɲchwéʔ						
	male			tərméʔ	tərméʔ						
	the man (male human)			tərméʔ	tərméʔ						
	the person			tərméʔ	tərméʔ						
	the seed			tərvə̂	tərvə̂						
	the earth (soil)			təvjî	təvjî						
	all			thɐmɐrɐmtɕét 	thɐmɐrɐmtɕét 						
	what			tíki	tíki						
	before			tsɐnɐ́mʔ	tsɐnɐ́mʔ						
	the rope			tɯ-ⁿbrɯ̂	tɯ-ⁿbrɯ̂						
	the ear			tɯ-rnɑ́ʔ	tɯ-rnɑ́ʔ						
	the horn (keratinized skin)		sa corne	vɐ-ʁrə̂	vɐ-ʁrə̂						
	the thigh		sa cuisse	vɐ-χpjî	vɐ-χpjî						
	correct (right)			vɐⁿɟí	vɐⁿɟí						
	he or she [third person singular]			və-	və-						
	the work		son travail	və-mɐ́ʔ	və-mɐ́ʔ						
	the foot		son pied	və-mə	və-mə						
	old (of person)		nom de qualité	və-nbɐ́ʔ	və-nbɐ́ʔ						
	the wife		sa femme	və-rɟêv	və-rɟêv						
	the bark		ses écorces	və-rʁúʔ	və-rʁúʔ						
	the louse		ses poux	və-sîr	və-sîr						
	the heart		son cœur	və-snéʔ	və-snéʔ						
	above			və-tɐ̂ʁ	və-tɐ̂ʁ						
	below, under			və-véʔ	və-véʔ						
	the belly		son ventre	və-xtúʔ	və-xtúʔ						
	today			vəfɕə̂	vəfɕə̂						
	they [third person plural]			vəjɐ́ʔ réʔ	vəjɐ́ʔ réʔ						
	the branch			vəlqɐ́ʔ	vəlqɐ́ʔ						
	eight			vərɟêt	vərɟêt						
	to come			́vi	́vi						
	the moon			zdɐŋî	zdɐŋî						
	the mountain			zɡɐ̂	zɡɐ̂						
	the cloud			zⁿdímʔ	zⁿdímʔ						
	the star			zⁿɡríʔ	zⁿɡríʔ						
	middle			χcə́l	χcə́l						
	three			χsómʔ	χsómʔ						
	and										
	before			və-ʁurî	və-ʁurî						
	dirty			mɐ-k-ɐχsrû	mɐ-k-ɐχsrû						
	early			chéche	chéche						
	how			tíkəfsəə	tíkəfsəə						
	knife			ⁿbrə́tɕhə 	ⁿbrə́tɕhə 						
	left			qujúʔ	qujúʔ						
	noon			sɐ́χsə	sɐ́χsə						
	right			quchíʔ	quchíʔ						
	shy			kɐ-nɐrzɐ̂ʁ	kɐ-nɐrzɐ̂ʁ						
	some		a little	kə́ntɕhur	kə́ntɕhur						
	stone (of fruit)			tə-snéʔ	tə-snéʔ						
	the armpit			tə-qəcələ́li	tə-qəcələ́li						
	the ashes		草木灰	khɐvldəjî	khɐvldəjî						
	the back			tə-zɡɐ́ʔ	tə-zɡɐ́ʔ						
	the bamboo			ɣɟúʔ	ɣɟúʔ						
	the bone			ɕɐrə̂	ɕɐrə̂						
	the breast (female)			tə-nôɣ	tə-nôɣ						
	the day (opposed to night)			ɕə̂z	ɕə̂z						
	the dew			tɑrzɯ̂	tɑrzɯ̂						
	the dust			thɐvrdə́l	thɐvrdə́l						
	the earthworm			qɐⁿdʑéʔ	qɐⁿdʑéʔ						
	the egg			tɐ-ⁿɡómʔ	tɐ-ⁿɡómʔ						
	the feather			tɐ-lmúmʔ	tɐ-lmúmʔ						
	the fire			smə́ʔ	smə́ʔ						
	the fish			qɐjû	qɐjû						
	the flower			məntóʁʔ	məntóʁʔ						
	the fog			zⁿdímʔ	zⁿdímʔ						
	the forest			səkutɕíʔ	səkutɕíʔ						
	the front (front side)			və-ʁurî	və-ʁurî						
	the fruit			və-mêt	və-mêt						
	the goat			tsɯtɑ̂	tsɯtɑ̂						
	the hail			tɑlvɑⁿdómⁿdom	tɑlvɑⁿdómⁿdom						
	the intestines			rɲəmê	rɲəmê						
	the knife			ⁿbrə́tɕhə	ⁿbrə́tɕhə						
	the lake			mtshû	mtshû						
	the leg			tə-mə̂	tə-mə̂						
	the lightning			skɐml̥óʁʔ	skɐml̥óʁʔ						
	the lip (the lips)			tə-ɣmorⁿdʑə̂	tə-ɣmorⁿdʑə̂						
	the liver			tə-mtshíʔ	tə-mtshíʔ						
	the lung			tə-rtsûz	tə-rtsûz						
	the mosquito			zurtshɑ̂	zurtshɑ̂						
	the mouse or rat			pjíʔ	pjíʔ						
	the mud			təvjî	təvjî						
	the nail (fingernail or claw)			tə-ⁿdzrúʔ	tə-ⁿdzrúʔ						
	the nit			ⁿdʑəríʔ	ⁿdʑəríʔ						
	the noon			sɐ́χsə	sɐ́χsə						
	the otter			srɑ̂m	srɑ̂m						
	the rainbow			ⁿdʑɐ̂	ⁿdʑɐ̂						
	the rice plant		米	ⁿbrɐ́z	ⁿbrɐ́z						
	the river		大河	qɐrɲɐ́mʔ	qɐrɲɐ́mʔ						
	the roof			zɡɐkúʔ	zɡɐkúʔ						
	the root			tɑ-rzɑ́mʔ	tɑ-rzɑ́mʔ						
	the salt			tsî	tsî						
	the sea			mtshû	mtshû						
	the sheep			qɐjɐ́ʔ	qɐjɐ́ʔ						
	the shit			tə-pɐ́ʔ	tə-pɐ́ʔ						
	the smoke			tɐkə́t	tɐkə́t						
	the snake			qɐpríʔ	qɐpríʔ						
	the sparrow										
	the spider			qɐsɲî	qɐsɲî						
	the thunder			ⁿbrɐʁlóʁʔ	ⁿbrɐʁlóʁʔ						
	the tongue			tə-mdjî	tə-mdjî						
	the tree			səkúʔ	səkúʔ						
	the water			təcíʔ	təcíʔ						
	the wood (material)			kɐjû	kɐjû						
	the worm			tɑⁿbɯ̂	tɑⁿbɯ̂						
	the year		一年	kə-pjéʔ	kə-pjéʔ						
	thin			kə-xtshémʔ	kə-xtshémʔ						
	thin (slim)			kə-xtshémʔ	kə-xtshémʔ						
	to breathe										
	to float										
	to flow		来	kɐ--və̂	kɐ--və̂						
	to play			kɐ-nɐwɐ́ʁʔ	kɐ-nɐwɐ́ʁʔ						
	to reside (live)			kɐ-smô	kɐ-smô						
	to sing			lɐjî kɐ-vzî	lɐjî kɐ-vzî						
	to stab		捅一刀	kɐsəmkə́t	kɐsəmkə́t						
	to stand			kɐ-ⁿdzôr	kɐ-ⁿdzôr						
	to swim		涉水	kɐ-ⁿdʑɐ̂ʁ	kɐ-ⁿdʑɐ̂ʁ						
	to yawn			tɐ-χɐ́mʔ	tɐ-χɐ́mʔ						
	when			ɕíjɐ	ɕíjɐ						
	yellow			kə-qɐrníʔ	kə-qɐrníʔ						
	young		小	kə-xtɕhə́ʔ	kə-xtɕhə́ʔ						
