ID	CONCEPT	CHINESE	VALUE	FORM	GLOSS_IN_SOURCE	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	to give	送给	 ka³³wjy⁵⁵								
	below, under	下方（近指）	a³³no⁵⁵								
	above	上方（近指）	a³³tar⁵⁵								
	middle	中间	a⁵⁵laj⁵⁵								
	the horse	马	bə⁵⁵ro⁵⁵								
	to sleep	睡	e³³rma⁵⁵								
	near	近	ə³³rie⁵⁵ kə⁵⁵wɐt³³ 								
	today	今天	ə³³ʃni⁵⁵								
	the horn (keratinized skin)	角	ə⁵⁵ri⁵⁵								
	the root	根	ə⁵⁵rsok⁵⁵								
	stone (of fruit)	核儿	ə⁵⁵ʃɲe⁵⁵ 								
	to plant (vegetals, rice)	种（菜）	ka³³je⁵⁵								
	to buy	买	ka³³ki⁵⁵								
	to steal	偷	ka³³nə⁵⁵ʂmo³³								
	to choose	挑选	ka³³ntʃʰi⁵⁵								
	to split	劈（柴）	ka³³pʰat⁵⁵								
	to learn	学（文化）	ka³³rə⁵⁵kʰtʂʰə³³								
	to knead	揉（面）	ka³³rən⁵⁵ɲo³³ 								
	to dig	掘	ka³³rwa⁵⁵								
	to throw	扔	ka³³sa⁵⁵pʰʃit⁵⁵								
	to hit	打（人）	ka³³sti⁵⁵								
	to hide (conceal)	藏	ka³³ʂak⁵⁵pej³³								
	to know	知道	ka³³ʃi⁵⁵								
	to open	打开	ka³³toŋ⁵⁵								
	to stab	刺	ka³³toŋ⁵⁵								
	to fall	摔（下来）	ka⁵⁵lu³³								
	to drink	喝	ka⁵⁵mut³³								
	to smell (perceive odor) [transitive]	闻、嗅	ka⁵⁵na⁵⁵sə⁵⁵sət³³								
	to push	推	ka⁵⁵nɔ⁵⁵								
	to see	看见	ka⁵⁵nto⁵⁵								
	to lick	舔	ka⁵⁵ntsʰok⁵⁵								
	to hold	握	ka⁵⁵nʈiant⁵⁵								
	round	圆（平面、立体）	ka⁵⁵pə⁵⁵lar⁵⁵								
	to pull	拉	ka⁵⁵ra⁵⁵ʃie⁵⁵								
