ID	CONCEPT	CHINESE	VALUE	FORM	GLOSS_IN_SOURCE	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	to tie (together)	绑	ka⁵⁵rsie⁵⁵								
	to cut	剪	ka⁵⁵rtan⁵⁵								
	to wash	洗	ka⁵⁵rtʃi³³								
	to hold tightly	握紧	ka⁵⁵sa⁵⁵zək⁵⁵zək³³								
	to kill	杀（人）	ka⁵⁵sat⁵⁵								
	to burn [transitive]	烧（香）	ka⁵⁵ska³³								
	to cook	煮	ka⁵⁵ska³³								
	straight	直	ka⁵⁵stu⁵⁵								
	to bite	（人）咬	ka⁵⁵tsok³³								
	to squeeze	挤（牙膏）	ka⁵⁵tʂət⁵⁵								
	right	右	ka⁵⁵tʃʰa⁵⁵								
	to sew	缝	ka⁵⁵tʃu³³								
	to rub	擦	ka⁵⁵wʃie⁵⁵								
	left	左	ka⁵⁵wu⁵⁵								
	to count	数（数）	ka⁵⁵wzi³³								
	the grass on the grassland	草原上的草	ka⁵⁵za³³					Tib. rtswa			
	shy	害羞	kan⁵⁵nə⁵⁵wom⁵⁵								
	to forget	忘记	kɐ³³jnis⁵⁵								
	three	三	ke³³soŋ⁵⁵								
	light (of weight)	轻	kə³³jo⁵⁵								
	wide	宽	kə³³joŋ⁵⁵								
	big	大	kə³³kʰti⁵⁵								
	good	好	kə³³la⁵⁵								
	to turn (around)	转回、转身	kə³³mtʂur⁵⁵								
	smooth	光滑	kə³³na⁵⁵mar³³								
	black	黑	kə³³nak⁵⁵								
	high / tall	高	kə³³nbro⁵⁵								
	nine	九	kə³³ngu⁵⁵								
	sick	病	kə³³ngɔ⁵⁵								
	to play	玩、耍	kə³³npri⁵⁵								
	the sun	太阳	kə³³ɲi⁵⁵								
	to sit	坐	kə³³ɲi⁵⁵								
	to cry (weep)	哭	kə³³ŋa⁵⁵wu⁵⁵								
	to cry (weep)	哭	 kə³³ŋa⁵⁵kri³³								
	yellow	黄	kə³³ŋe⁵⁵								
	five	五	kə³³ŋo⁵⁵								
	the mosquito	蚊子	kə³³pas⁵⁵								
	white	白	kə³³proŋ⁵⁵								
	hard	硬	kə³³rkɔ⁵⁵								
	to fear (be afraid)	害怕	kə³³rtar⁵⁵								
	long	长	kə³³sre⁵⁵								
	seven	七	kə³³ʃnəs⁵⁵								
	the fox	狐狸	kə³³tʰwej⁵⁵								
	salty	咸	kə³³tsri⁵⁵								
	all	全部	kə³³tʃe⁵⁵								
	the husband	丈夫	kə³³tʃʰi⁵⁵								
	far	远	kə³³tʃʰi⁵⁵								
	rotten (of fruits)	腐烂	kə³³tʃi⁵⁵								
	cold (of temperature)	冷	kə³³wa⁵⁵ntʃo³³								
	to stand	站立	kə³³wjoŋ⁵⁵								
	to grow high	长高	kə³³zɐt⁵⁵								
	thick	厚	kə⁵⁵jak³³								
	bad	坏	kə⁵⁵jlias⁵⁵								
	the sheep	绵羊	kə⁵⁵jo⁵⁵								
	short	短	kə⁵⁵kʰtʂən³³								
	narrow	窄	kə⁵⁵kwar⁵⁵								
	heavy	重	kə⁵⁵le⁵⁵								
	the worm	虫	kə⁵⁵loŋ⁵⁵								
	many	多	kə⁵⁵mɲa³³								
	few	少	kə⁵⁵mɲi⁵⁵								
	soft	软	kə⁵⁵mtʃɔk⁵⁵								
	to laugh	笑	kə⁵⁵na⁵⁵ri⁵⁵								
	twenty	二十	kə⁵⁵nə⁵⁵ ʃtʃi⁵⁵								
	to run	跑	kə⁵⁵nə⁵⁵rtʃiu³³								
	old (of person)	年老	kə⁵⁵ntʃɔ³³								
	full	满	kə⁵⁵ɲyt⁵⁵								
	four	四	kə⁵⁵pri⁵⁵								
	dry	干	kə⁵⁵roŋ⁵⁵								
	hot	热	kə⁵⁵sa⁵⁵na⁵⁵stie⁵⁵								
	wet	湿	kə⁵⁵ʃtʃi³³								
	where	哪里	kə⁵⁵tie³³								
	six	六	kə⁵⁵tʂok³³								
	to fall	倒	kə⁵⁵ʈian³³ （倒下）								
	thin (object)	薄	kə⁵⁵wa³³								
	the wind	风	kʰa³³li⁵⁵								
	the spider	蜘蛛	kʰa⁵⁵ʃna⁵⁵								
	the frog	青蛙	kʰa⁵⁵ʃpa⁵⁵								
	the snake	蛇	kʰa⁵⁵wre⁵⁵								
	the dog	狗	kʰə⁵⁵na⁵⁵								
	the ant	蚂蚁	kʰə⁵⁵rok⁵⁵								
	the tiger	老虎	kʰoŋ⁵⁵								
	the earthworm	蚯蚓	kʰun³³ʈi⁵⁵								
	dirty	脏	ma³³kə³³tʂɔ⁵⁵								
	the girl	姑娘	mə⁵⁵tsa⁵⁵								
	the neck	脖子	mgi⁵⁵								
	the sea	海	mstʰu⁵⁵					Tib. mtsʰo			
	the lake	湖	mtsʰu⁵⁵					Tib. mtsʰo			
	to hear	听见	na³³miŋs⁵⁵								
	the cooked meat	熟肉	na⁵⁵na³³								
	to come	来	na⁵⁵pi³³								
	thou [second person singular]	你	no⁵⁵								
	the bamboo	竹子	ntʃju⁵⁵								
	the river	大河	ɲiŋ³³koŋ⁵⁵								
	I [first person singular]	我	ŋo⁵⁵								
	the pig	猪	pak⁵⁵								
	hundred	百	pə³³rja⁵⁵								
	the bird	鸟	pə³³tsa⁵⁵								
	the mouse or rat	老鼠	pə⁵⁵ji⁵⁵								
	the egg	蛋	pwa⁵⁵goŋ⁵⁵								
	to chew	嚼	pwa⁵⁵pwa⁵⁵ 								
	the road	路	rə⁵⁵ra⁵⁵								
	new	新	sɐt³³pa⁵⁵								
	the louse	虱子	sʰar⁵⁵								
	the frost	霜	sŋar⁵⁵								
	the barley (tibetan or highland)	青稞	swej⁵⁵								
	the bone	骨头	ʂa³³ri⁵⁵					tib. sha.rus			
	the dew	露水	ʂə⁵⁵ri⁵⁵								
	ten	十	ʂə⁵⁵tʃi⁵⁵								
	the feather	羽毛	ʂu⁵⁵								
	the body hair (hair or fur)	毛	ʂu⁵⁵ 								
	tomorrow	明天	ʂu⁵⁵ʂni⁵⁵								
	the meat	肉	ʃa⁵³								
	the leaf	叶子	ʃe³³jma³³								
	the forest	森林	ʃe³³kʰa⁵⁵ （树林）								
	firewood	柴	ʃe⁵⁵ 								
	the tree	树	ʃə⁵⁵ku⁵⁵								
	who	谁	ʃie⁵⁵								
	the hand	手	ta³³jak⁵⁵								
	the armpit	腋下	ta³³kʰtʃa⁵⁵ki³³								
	the hair (of the head)	头发	ta³³ku⁵⁵ʂu³³								
	the flower	花	ta³³pat⁵⁵								
	the ice	冰	ta³³rpoŋ⁵⁵								
	the lung	肺	ta³³ʂlu⁵⁵								
	the fat (grease)	肥膘	ta³³war⁵⁵								
	to yawn	打呵欠	ta³³xoŋ⁵⁵ka⁵⁵pa³³								
	the tail	尾巴	ta⁵⁵jmiək⁵⁵								
	the grass	草（总称）	ta⁵⁵jno⁵⁵								
	the snow	雪	ta⁵⁵jpak⁵⁵								
	the needle (for sewing)	针	ta⁵⁵kar⁵⁵								
	the head	头	ta⁵⁵ku⁵⁵								
	the foot	脚	ta⁵⁵mie⁵⁵								
	the string	细绳	ta⁵⁵ri³³								
	the nail (fingernail or claw)	指甲	ta⁵⁵rja⁵⁵rtʃan⁵⁵								
	the wing	翅膀	ta⁵⁵rkʰoŋ³³								
	the thunder	雷	ta⁵⁵rmo⁵⁵								
	the dream	梦	ta⁵⁵rmo⁵⁵								
	fallen rock (after landslide)	滚落的石头	ta⁵⁵roŋ³³								
	the shoulder	肩膀	ta⁵⁵rpak³³								
	to hunt	打猎	ta⁵⁵rwak⁵⁵								
	the sparrow	麻雀	ta⁵⁵sa⁵⁵ pu⁵⁵tsa³³								
	the blood	血	ta⁵⁵ʃi⁵⁵								
	the stick	棍子	ta⁵⁵tar⁵⁵								
	the mountain	山	ta⁵⁵wɐt⁵⁵								
	the lightning	闪电	ta⁵⁵wja³³								
	young	年轻	ta⁵⁵wli⁵⁵kə⁵⁵kʰtsei³³								
	one	一	te⁵⁵								
	the wheat	小麦	te⁵⁵lu⁵⁵								
	the shit	屎	tǝ³³pʰʃe⁵⁵								
	the skin	皮	tə³³ɖi⁵⁵								
	two	二	tə³³jiu⁵⁵								
	the mouth	嘴	tə³³kʰa⁵⁵ (口，嘴里面)								
	the belly	肚子	tə³³kʰtu⁵⁵								
	the stone (a piece of)	石头	tə³³lɔk⁵⁵								
	the woman	女人、女性	tə³³mi⁵⁵								
	the back	后背	tə³³ntʰiak⁵⁵								
	the lip (the lips)	嘴唇	tə³³ʂna⁵⁵pok³³								
	the heart	心脏	tə³³ʂɲe⁵⁵								
	to die	死	tə³³ʃi⁵⁵								
	painful	疼	tə³³tsu⁵⁵rlie³³								
	the front (front side)	前面、正面	tə³³ʈi⁵⁵								
	small	小	tə³³ʈi⁵⁵ 								
	the wife	妻子	tə⁵⁵mi⁵⁵								
	the sky	天	tə⁵⁵mɔ⁵⁵rni⁵⁵								
	the sickle	镰刀	tə⁵⁵ntwa⁵⁵								
	the eye	眼睛	tə⁵⁵ɲiaŋ⁵⁵								
	the mud	泥巴	tə⁵⁵pie³³ （tə³³pie⁵⁵下面的村子 ）								
	the day (opposed to night)	白天	tə⁵⁵pwak⁵⁵								
	the person	人	tə⁵⁵rmi⁵⁵								
	the ear	耳朵	tə⁵⁵rna⁵⁵								
	the seed	种子	tə⁵⁵rpu⁵⁵								
	the dust	灰尘	tə⁵⁵rtiak³³								
	the intestines	肠	tə⁵⁵rwa³³								
	the tooth (front)	牙齿	tə⁵⁵swa³³								
	the nose	鼻子	tə⁵⁵ʂna⁵⁵								
	the fruit	果实	tə⁵⁵ʃi⁵⁵								
	the son	儿子	tə⁵⁵tsa³³								
	the man (male human)	男人、男性	tə⁵⁵tsa³³								
	the water	水	tə⁵⁵tʃi³³								
	to vomit	呕吐	tə⁵⁵tʃɔ⁵⁵ ka⁵⁵pa³³								
	to vomit; throw up	呕吐	tə⁵⁵tʃɔ⁵⁵ ka⁵⁵pa³³								
	the rope	绳子	tə⁵⁵wri³³								
	the liver	肝	tə⁵⁵wʃe⁵⁵								
	to burn [intransitive]	燃烧	tə⁵⁵ʐu³³								
	what	什么	tʰie55								
	green	绿	toŋ³³ʐu⁵⁵								
	the knife	刀	tsar⁵⁵kri⁵⁵					part. tib gri			
	the knife	刀	bə⁵⁵rza³³								
	the star	星星	tsə³³kʰli⁵⁵								
	the salt	盐	tsʰa⁵⁵					Tib. tsʰwa			
	the rain	雨	tsʰa⁵⁵rna⁵⁵								
	here	这里	tʂə⁵⁵tej⁵⁵								
	the goat	山羊	tʂʰət⁵⁵								
	the fire	火	tʂʰu⁵⁵								
	the fish	鱼	tʂo⁵⁵wjy³³								
	to walk	走路	tʃʰe/ lu⁵⁵								
	yesterday	昨天	wa³³ʂlu⁵⁵								
	red	红	wə³³rɲe⁵⁵								
	the work	工作	wu⁵⁵ma³³								
	eight	八	wu⁵⁵rjɐt⁵⁵								
	there	那里	wu⁵⁵tej⁵⁵								
	to eat	吃	za⁵⁵								
	the cloud	云	zdjan⁵⁵								
	the moon	月亮	zi⁵⁵la³³								
	the mountain	山的总称	ʐgləp								
	noon	中午									
	the noon	中午									
	the otter	水獭									
	that	那									
	the hoof	马蹄									
	to blow (of wind)	吹（灰）									
	other	其他									
	to lie down	躺									
	the flea	跳蚤	dze⁵⁵je³³								
	the fog	雾									
	the nit	虮子									
	late	迟									
	to grow	长大	kə³³zɐt⁵⁵								
	to grow	生长									
	to grow	长大									
	the wolf	狼	N/A								
	the hail	冰雹	tə³³rmu⁵⁵								
	the ashes	草木灰	kʰa³³lak⁵⁵pie³³								
	the river	小河									
	the road	公路	rə³³ra⁵⁵								
	the sand	沙子	N/A								
	early	早									
	dark	暗、天黑									
	to sow (broadcast, scatter seeds)	下种									
	outside	外面	ak³³tʃʰi⁵⁵								
	the roof	房背（平顶）									
	the smoke	烟	ta³³kʰu⁵⁵								
	the thigh	大腿	pʰok³³pwa⁵⁵								
	middle	中间、中介	a⁵⁵la³³								
	to reside (live)	居住	kə³³nzi⁵⁵ 还有生活的意思								
	to climb	爬（树）									
	to shoot (an arrow)	射（箭）									
	the bark	桦树皮									
	the tongue	舌头									
	the year	年	ək⁵⁵pwak³³								
	the earth (soil)	黄土									
	warm (hot)	暖和									
	the night	晚上									
	how	怎样									
	the house	房子									
	to sing	唱歌									
	narrow	狭窄（心胸）									
	morning	早晨									
	the knee	膝盖									
	sharp	锋利	kɐ⁵⁵ntso³³								
	the breast (female)	乳房									
	the name	姓									
	to breathe	喘气									
	to think (reflect)	想（去）									
	to be alive	（动物）活了	pə⁵⁵su⁵⁵su⁵⁵								
	to fight	打架、打仗									
	to freeze (intransitive)	冻	kə³³rpoŋ⁵⁵								
	to scratch	挠（痒）									
	to swim	游泳、（鱼）游	ʐə³³ʐa⁵⁵								
	to spit	吐（痰）									
	to fly (move through air)	飞									
	to wipe	擦	ka⁵⁵wʃie⁵⁵								
	to pull	拉	ka⁵⁵ra⁵⁵ʃe⁵⁵								
	to say	讲（一般意义上的说话）									
	the branch	树枝									
	to swell	肿、胀									
	to float	浮									
	inside	里面	a³³ku⁵⁵								
	correct (right)	对、正确									
	the rainbow	虹									
	the wood (material)	木头									
	to cry (weep)	哭泣									
	before										
	to flow	（水）流									
	the rice plant	水稻									
	the child	小孩									
	the child	小孩									
	to marry (a man marries a woman)	娶									
	horizontal	横									
