ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
17972	I [first person singular]		I	ŋɑ	ŋɑ	ŋ ɑ			17972		327
21766	above		over / above	wu prɐi	wu prɐi	w u _ p r ɐ i			21766		2290
17994	all		all / everything	kə tʃᴇt	kə tʃᴇt	k ə _ tʃ ᴇ t			17994		3969
18052	bad		bad	mɑ kə snɑ	mɑ kə snɑ	m ɑ _ k ə _ s n ɑ			18052		999
17866	below, under		below / under	wu spoi	wu spoi	w u _ s p o i			17866		930
17996	big		big / large	kə ktᴇ	kə ktᴇ	k ə _ k t ᴇ			17996		29701
18021	black		black	kə nɐk	kə nɐk	k ə _ n ɐ k		IA	18021	Tib nag	511
18059	cold (of temperature)		cold (weather, water)	kə mə ʃtɑk	kə mə ʃtɑk	k ə _ m ə _ ʃ t ɑ k			18059		1002
18047	correct (right)		right / correct	wɐ stot	wɐ stot	w ɐ _ s t o t			18047		3976
18028	dark		dark	mɐ kə khsɐl	mɐ kə khsɐl	m ɐ _ k ə _ kh s ɐ l		Tib gsal	18028		990
18071	dirty		dirty	mɑk ʃo	mɑk ʃo	m ɑ k _ ʃ o			18071		1009
18038	dry		dry	kə rɑm	kə rɑm	k ə _ r ɑ m			18038		993
18032	early		early	kə nə phso	kə nə phso	k ə _ n ə _ ph s o			18032	!	991
22081	eight		eight	wə rjɑt	wə rjɑt	w ə _ r j ɑ t			22081		183
18002	far		far / distant	kə cçhə	kə cçhə	k ə _ cçh ə			18002	!	973
17737	firewood		firewood	ʃᴇ	ʃᴇ	ʃ ᴇ			17737		6006
17916	five		five	kə mŋo	kə mŋo	k ə _ m ŋ o			17916	!	10357
21340	four		four	kə wdi	kə wdi	k ə _ w d i			21340	!	263
18009	full		full	kə mȵot	kə mȵot	k ə _ m ȵ o t			18009	!	978
18051	good		good	kə hou	kə hou	k ə _ h o u		Ch好	18051		998
18025	green		green	ldʒɐl kə	ldʒɐl kə	l dʒ ɐ l _ k ə		Tib[ldʑaŋ.ku]	18025	!	3142
18042	hard		hard	kə rko	kə rko	k ə _ r k o			18042	!	341
17976	he or she [third person singular]		he	wə jo	wə jo	w ə _ j o			17976		965
17975	he or she [third person singular]		he	mə	mə	m ə			17975		964
18029	heavy		heavy	kə li	kə li	k ə _ l i			18029		10379
17984	here		here	ʃtəi	ʃtəi	ʃ t ə i			17984	!	3989
17998	high / tall		high / tall	kə mbro	kə mbro	k ə _ m b r o			17998	!	896
18018	horizontal		horizontal	kɑ mkrɑk	kɑ mkrɑk	k ɑ _ m k r ɑ k			18018	!	982
18058	hot		hot	kə wɑ stsᴇ	kə wɑ stsᴇ	k ə _ w ɑ _ s ts ᴇ			18058	!	4221
17929	hundred		hundred	pə |rjɐ	pə |rjɐ	p ə _ r j ɐ			17929	!	185
17856	inside		inside	wu gu	wu gu	w u _ g u			17856		626
17750	knife		knife	mbə rtsɑ	mbə rtsɑ	m b ə _ r ts ɑ			17750	!	3645
22893	late		late	kə mə ŋku	kə mə ŋku	k ə _ m ə _ ŋ k u			22893	!	2538
22940	left		left	kɑ◦wi	kɑ◦wi	k ɑ w i			22940	!	422
17850	left		left	kou wlɑ	kou wlɑ	k o u _ w l ɑ			17850	!	918
18030	light (of weight)		light (weight)	kə jo	kə jo	k ə _ j o			18030		10542
18000	long		long	kə skrᴇn	kə skrᴇn	k ə _ s k r ᴇ n			18000	!	971
18010	many		many / much	kə ncçɑ	kə ncçɑ	k ə _ n cç ɑ			18010	!	979
17849	middle		middle	tə lɑ	tə lɑ	t ə _ l ɑ			17849		917
17876	morning		morning	tɑ nɑp	tɑ nɑp	t ɑ _ n ɑ p			17876		1142
18005	narrow		narrow	kə tʃor	kə tʃor	k ə _ tʃ o r			18005		671
18003	near		near	kə wɑt	kə wɑt	k ə _ w ɑ t			18003		974
18050	new		new	kə ʃək|	kə ʃək|	k ə _ ʃ ə k			18050		997
22084	nine		nine	kə ngu	kə ngu	k ə _ n g u			22084	!	24
17877	noon		noon	sɐk sə	sɐk sə	s ɐ k _ s ə			17877		936
17878	noon		noon	tə mtso	tə mtso	t ə _ m ts o			17878	!	937
18054	old (of person)		old / elderly	kə mtʂo	kə mtʂo	k ə _ m tʂ o			18054	!	1000
17912	one		one	kə tᴇk	kə tᴇk	k ə _ t ᴇ k			17912		302
21697	outside		outside	wu phji	wu phji	w u _ ph j i		tib[pʰʲi]	21697		267
18023	red		red	kə wu rnᴇ	kə wu rnᴇ	k ə _ w u _ r n ᴇ			18023	!	1306
17852	right		right	kɑ cçhɑ	kɑ cçhɑ	k ɑ _ cçh ɑ			17852	!	920
18012	round		circle / circular	kɐ pə rlor	kɐ pə rlor	k ɐ _ p ə _ r l o r			18012	!	980
18067	salty		salty	kə tsri	kə tsri	k ə _ ts r i			18067		1006
17918	seven		seven	kə ʃnəs	kə ʃnəs	k ə _ ʃ n ə s			17918		55
18034	sharp		sharp	kɑ mtʃok	kɑ mtʃok	k ɑ _ m tʃ o k			18034	!	992
18001	short		short	kə ktʃən	kə ktʃən	k ə _ k tʃ ə n			18001	!	972
18253	shy		shy, be / bashful	kɑ nɑ srɑk	kɑ nɑ srɑk	k ɑ _ n ɑ _ s r ɑ k			18253		2478
22071	six		six	kə tʂok	kə tʂok	k ə _ tʂ o k			22071		306
17997	small		small	kə ktsi	kə ktsi	k ə _ k ts i			17997	!	440
23511	smooth		smooth / glossy / sleek	kə mno	kə mno	k ə _ m n o			23511	!	2670
18043	soft		soft	kə ndʒɐm	kə ndʒɐm	k ə _ n dʒ ɐ m		tib[ɴdʑam]	18043	!	573
21640	stone (of fruit)		pit / stone	wui mo	wui mo	w u i _ m o			21640		0
18019	straight		straight	kɑ sto	kɑ sto	k ɑ _ s t o			18019	!	983
17921	ten		ten	ʃtʃᴇ	ʃtʃᴇ	ʃ tʃ ᴇ			17921	!	364
17986	that		that	wu tə	wu tə	w u _ t ə			17986		5244
17592	the ant		ant	kho |rok	kho |rok	kh o _ r o k			17592		2954
17392	the armpit		armpit	tɑ pjɑ kᴇ	tɑ pjɑ kᴇ	t ɑ _ p j ɑ _ k ᴇ			17392		3172
17613	the bamboo		bamboo	ɟjo	ɟjo	ɟj o			17613		821
24933	the barley (tibetan or highland)		barley	wə rjɐk	wə rjɐk	w ə _ r j ɐ k			24933		4037
25645	the belly		belly	tə pok	tə pok	t ə _ p o k			25645	!	10241
17559	the bird		bird	pɑ tsɑ	pɑ tsɑ	p ɑ _ ts ɑ			17559		462
19317	the blood		blood	tɑ ʃi	tɑ ʃi	t ɑ _ ʃ i			19317		29703
17519	the body hair (hair or fur)		hair / down	tɑ rȵᴇ	tɑ rȵᴇ	t ɑ _ r ȵ ᴇ			17519	!	141
17417	the bone		bone	ʃɐ rə	ʃɐ rə	ʃ ɐ _ r ə			17417	!	2
17600	the branch		branch / twig	tɐi jgɐ	tɐi jgɐ	t ɐ i _ j g ɐ			17600	!	681
17393	the breast (female)		breast	tə nu	tə nu	t ə _ n u			17393		10186
17442	the child (young human)		child	tɑ pu	tɑ pu	t ɑ _ p u		Tib[bu]	17442		4033
18801	the cloud		cloud	zdᴇm	zdᴇm	z d ᴇ m			18801	!	927
17479	the daughter		daughter	tə mi	tə mi	t ə _ m i			17479		746
17337	the dew		dew	tʃhə ri	tʃhə ri	tʃh ə _ r i			17337		10257
17536	the dog		dog	khənɑ	khənɑ	kh ə n ɑ			17536		2065
35710	the dog			khənɑ	khənɑ	kh ə n ɑ			35710		2065
17845	the dream		dream	tɑ rmo	tɑ rmo	t ɑ _ r m o			17845	!	10217
17359	the dust		dust	tɐ ndər	tɐ ndər	t ɐ _ n d ə r			17359	!	507
19125	the ear		ear	tə rnɑ	tə rnɑ	t ə _ r n ɑ			19125	!	32
18961	the earth (soil)		soil / earth	tɑ tʂo	tɑ tʂo	t ɑ _ tʂ o			18961		1275
17590	the earthworm		earthworm	khɐ rdə lu	khɐ rdə lu	kh ɐ _ r d ə _ l u			17590	!	811
17666	the egg		egg	tɑ gɑm	tɑ gɑm	t ɑ _ g ɑ m			17666		852
17382	the eye		eye	tə mȵɑk	tə mȵɑk	t ə _ m ȵ ɑ k			17382	!	4
17475	the father		father	tɐ pɐ	tɐ pɐ	t ɐ _ p ɐ			17475		107
20061	the feather		feather / plume	tɑ mŋi	tɑ mŋi	t ɑ _ m ŋ i			20061	!	1374
17340	the fire		fire	tə mtʃək	tə mtʃək	t ə _ m tʃ ə k			17340	!	670
17579	the fish		fish	pʃəu jo	pʃəu jo	p ʃ ə u _ j o			17579	!	804
20299	the flea		flea	ndzɑ jᴇ	ndzɑ jᴇ	n dz ɑ _ j ᴇ			20299	!	944
17603	the flower		flower	mən tok	mən tok	m ə n _ t o k		tib[me.tog]	17603		248
17338	the fog		fog	sɑ zdᴇm	sɑ zdᴇm	s ɑ _ z d ᴇ m			17338	!	668
17400	the foot		foot	tɑ mᴇ	tɑ mᴇ	t ɑ _ m ᴇ			17400		701
17363	the forest		forest	ʃə khɑ	ʃə khɑ	ʃ ə _ kh ɑ			17363		683
21858	the fox		fox	kə thwi	kə thwi	k ə _ th w i			21858		2312
17578	the frog		frog	khɑ ʃpɑ	khɑ ʃpɑ	kh ɑ _ ʃ p ɑ			17578	!	145
17853	the front (front side)		front	tə tʂi	tə tʂi	t ə _ tʂ i			17853		171
17336	the frost		frost	sŋɐr	sŋɐr	s ŋ ɐ r			17336		666
17604	the fruit		fruit	ʃəŋ tok	ʃəŋ tok	ʃ ə ŋ _ t o k		Tibetan[ɕiŋ tog]	17604		817
17526	the goat		goat	tʃhət	tʃhət	tʃh ə t			17526		774
17656	the grass		grass	kɑ tsɑ	kɑ tsɑ	k ɑ _ ts ɑ			17656		2792
17335	the hail		hail	tə rmo	tə rmo	t ə _ r m o			17335	!	1166
17379	the hair (of the head)		hair	tɑ ko rȵᴇ	tɑ ko rȵᴇ	t ɑ _ k o _ r ȵ ᴇ			17379	!	2014
19213	the hand		hand	tɐ jɐk	tɐ jɐk	t ɐ _ j ɐ k			19213	!	229
17378	the head		head	tɑ ko	tɑ ko	t ɑ _ k o			17378		1426
