ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	the father			æjə	æjə						
	the mother			æmə	æmə						
	tomorrow			æsʰi	æsʰi						
	ten			ætuʐo	ætuʐo						
	the frog			babaɪ	babaɪ						
	the frost			bamū	bamū						
	the husband			bətʰo	bətʰo						
	the belly			bɤ̄	bɤ̄						
	the snake			būʐǒ	būʐǒ						
	the ant			buʐwə	buʐwə						
	thin			ɕeɲeqʰaqʰa	ɕeɲeqʰaqʰa						
	thin (slim)			ɕeɲeqʰaqʰa	ɕeɲeqʰaqʰa						
	the wing			ɕəᵖto	ɕəᵖto						
	to walk			ɕʰâ	ɕʰâ						
	the night			ɕʰe	ɕʰe						
	the barley (tibetan or highland)			ɕʰə̄	ɕʰə̄						
	the bone			ɕʰəɻaɪ	ɕʰəɻaɪ						
	the wheat			ɕʰō	ɕʰō						
	the louse			ɕī	ɕī						
	thin (object)			ɕiᵖɕi	ɕiᵖɕi						
	the wolf			ɕoᵑkʰû	ɕoᵑkʰû						
	the tiger			dâ	dâ						
	to fly (move through air)			děɪ	děɪ						
	the armpit			dʑəɢəliwə	dʑəɢəliwə						
	the intestines			dʑəmwə	dʑəmwə						
	the star			gə̄mu	gə̄mu						
	the back			godə	godə						
	the fruit			gogo	gogo						
	the egg			goŋæ	goŋæ						
	to hit			ᵍɹə̂	ᵍɹə̂						
	the wife			gūdumə	gūdumə						
	the sand			ɣəvə	ɣəvə						
	left			ɣwaɪɕo	ɣwaɪɕo						
	the hair (of the head)			hair	hair						
	the knee			ʰŋə̄dō	ʰŋə̄dō						
	the ashes			ʰpʰī	ʰpʰī						
	outside			jaɢə	jaɢə						
	when			jetɕikʰe	jetɕikʰe						
	yesterday			jəsʰə̂	jəsʰə̂						
	the earth (soil)			ᵏɕā	ᵏɕā						
	noon			kʰəsɨ̄the	kʰəsɨ̄the						
	the noon			kʰəsɨ̄the	kʰəsɨ̄the						
	above			kʰō	kʰō						
	the smoke			kʰumə	kʰumə						
	the snow			kʰwa	kʰwa						
	inside			kū	kū						
	nine			kuʐo	kuʐo						
	the year			kwə	kwə						
	the leg			lə	lə						
	the thigh			lə	lə						
	the hand			ljē	ljē						
	the wind			ɬobə	ɬobə						
	hot			ɬuɬu	ɬuɬu						
	the bamboo			mā	mā						
	the name			mēɪ	mēɪ						
	the flower			mēɪdȳe	mēɪdȳe						
	the fire			mə̃̌	mə̃̌						
	the person			m̥ə	m̥ə						
	the tail			mətɕɨ̄ʐæ	mətɕɨ̄ʐæ						
	the sun			mətsʰɨ	mətsʰɨ						
	the eye			ᵐɲē	ᵐɲē						
	the dream			mǒ	mǒ						
	the sky			mȭ	mȭ						
	the sky			mōte	mōte						
	the shoulder			ᵐpʰi	ᵐpʰi						
	the body hair (hair or fur)			m̥ū	m̥ū						
	the hair			m̥ū	m̥ū						
	morning			nāʐi	nāʐi						
	the morning			nāʐi	nāʐi						
	two			nāʐo	nāʐo						
	the mud			ⁿdaᵐbā	ⁿdaᵐbā						
	the rainbow			ⁿdʑō	ⁿdʑō						
	the heart			nəmī	nəmī						
	the mouth			n̥əᵐpə	n̥əᵐpə						
	the breast (female)			nə̌nə	nə̌nə						
	green			n̥ən̥ə	n̥ən̥ə						
	the nose			n̥əqo	n̥əqo						
	smooth			n̥on̥o	n̥on̥o						
	twenty			nyɕŷ	nyɕŷ						
	the forest			ɲě	ɲě						
	black			ɲēɲē	ɲēɲē						
	the river			ɲuɹɨ	ɲuɹɨ						
	yellow			ŋã̄ɪŋã̄ɪ	ŋã̄ɪŋã̄ɪ						
	the front (front side)			ᵑgwə	ᵑgwə						
	five			ŋwaʐo	ŋwaʐo						
	to say			ᵖɕə̄	ᵖɕə̄						
	eight			ᵖɕə̄ʐo	ᵖɕə̄ʐo						
	the child			ᵖɕǐ	ᵖɕǐ						
	the child (young human)			ᵖɕǐ	ᵖɕǐ						
	the dust			pʰi	pʰi						
	today			pɨ̄sʰɨ	pɨ̄sʰɨ						
	the leaf			pjel̥a	pjel̥a						
	the ice			pȭtsaɪ	pȭtsaɪ						
	the fruit			ᵖsɨ	ᵖsɨ						
	the seed			ᵖsɨ	ᵖsɨ						
	white			ᵖtʂʰōᵖtʂō	ᵖtʂʰōᵖtʂō						
	the root			qã̄ɪ	qã̄ɪ						
	the lightning			qə̄lye	qə̄lye						
	the needle (for sewing)			qʰə̄	qʰə̄						
	the head			qʰȭ	qʰȭ						
	the horn (keratinized skin)			qʰȭᵐbɤ̄	qʰȭᵐbɤ̄						
	to sleep			ɹə	ɹə						
	the water			ɹɨ̌	ɹɨ̌						
	the lake			ɹɨkoʐɨ	ɹɨkoʐɨ						
	to laugh			ɻɨ̌	ɻɨ̌						
	the bird			ʁotɕʰi	ʁotɕʰi						
	near			səⁿtsʰo	səⁿtsʰo						
	to kill			sʰə̂	sʰə̂						
	full			sʰò	sʰò						
	three			sʰoʐo	sʰoʐo						
	the day (opposed to night)			sîzɨpʰe	sîzɨpʰe						
	old (of person)			tæ	tæ						
	the sea			tɕaᵐtsʰu	tɕaᵐtsʰu						
	to chew			tɕʰala	tɕʰala						
	to hunt			tɕʰəɕī	tɕʰəɕī						
	to steal			tɕʰə̄ˣke	tɕʰə̄ˣke						
	the salt			tɕʰî	tɕʰî						
	one			tə̄ʐo	tə̄ʐo						
	good			tʰəkō	tʰəkō						
	the meat			tʰȭ	tʰȭ						
	the rope			tʰotʰje	tʰotʰje						
	the fat (grease)			tsā	tsā						
	the sheep			tsʰə̂	tsʰə̂						
	the hail			tsɨpwə	tsɨpwə						
	to sew			tʂə̄	tʂə̄						
	the wood (material)			tʂī	tʂī						
	knife			tʂɨtɕō	tʂɨtɕō						
	the knife			tʂɨtɕō	tʂɨtɕō						
	the spider			tʂwəqāɻa	tʂwəqāɻa						
	the fox			vǎ	vǎ						
	the pig			vjē	vjē						
	below, under			wə	wə						
	the foot			ˣkʰɯ̄	ˣkʰɯ̄						
	the tooth (front)			ˣki	ˣki						
	to buy			ˣkū	ˣkū						
	the moon			ˣl̥əᵐnə	ˣl̥əᵐnə						
	the tongue			ˣl̥ī	ˣl̥ī						
	to smell (perceive odor) [transitive]			ˣn̥əˣn̥o	ˣn̥əˣn̥o						
	seven			ˣn̥əʐo	ˣn̥əʐo						
	to vomit			ˣpʰə̄	ˣpʰə̄						
	the shit			ˣqʰə̂	ˣqʰə̂						
	the blood			ˣsʰɨ	ˣsʰɨ						
	the fish			ˣsɨ	ˣsɨ						
	firewood			ˣsǒ	ˣsǒ						
	the stick			ˣtapu	ˣtapu						
	the nail (fingernail or claw)			ˣtɕæⁿdzə	ˣtɕæⁿdzə						
	the dog			ˣtɕʰɯ̄	ˣtɕʰɯ̄						
	middle			ˣtɕûkʰu	ˣtɕûkʰu						
	the cloud			ˣtēɪʐə̄mu	ˣtēɪʐə̄mu						
	right			ˣtōɕo	ˣtōɕo						
	straight			ˣtotu	ˣtotu						
	the lung			ˣtsʰopɤ	ˣtsʰopɤ						
	six			ˣtʂʰɨ̂ʐo	ˣtʂʰɨ̂ʐo						
	the rain			xū	xū						
	the liver			zěɪ	zěɪ						
	the man (male human)			zɨ̄	zɨ̄						
	the son			zɨ̄	zɨ̄						
	to fall			zō	zō						
	the daughter			zȭ	zȭ						
	the woman			zȭ	zȭ						
	the girl			zȭⁿdʑʉ	zȭⁿdʑʉ						
	the branch			ʐalǎ	ʐalǎ						
	the sickle			ʐə̄	ʐə̄						
	the skin			ʐī	ʐī						
	and			ʐɨ	ʐɨ						
	the mountain			ʐɨ̌	ʐɨ̌						
	dry			ʐo	ʐo						
	the grass			ʐū	ʐū						
	the house			ʑē	ʑē						
	the goat			ʑī	ʑī						
	the neck			χ^qã̄ɪ	χ^qã̄ɪ						
	the mouse or rat			χwā	χwā						
	all			tɕjālæ	tɕjālæ						
	bad			mæ-tɕʰi	mæ-tɕʰi						
	before			ŋgwə	ŋgwə						
	big			ndʑũ	ndʑũ						
	cold (of temperature)			tʂō	tʂō						
	correct (right)		(yes, OK)	ʑi	ʑi						
	dark			ɲe pɨ̄pɨ	ɲe pɨ̄pɨ						
	dirty			xtswəlyē	xtswəlyē						
	early			ʐje	ʐje						
	far			kwākwā	kwākwā						
	female			zȭntsʰɨ	zȭntsʰɨ						
	few			ninī	ninī						
	forget			xǣ	xǣ						
	four			bʑɨ̄ʐo	bʑɨ̄ʐo						
	hard			qãɪqã̄ɪ	qãɪqã̄ɪ						
	he or she [third person singular]			tʰə̌, tsə̌	tʰə̌, tsə̌						
	heavy			ləglə̄	ləglə̄						
	here			kə̄tʰə	kə̄tʰə						
	here			kə tʰə̄ qãɪ	kə tʰə̄ qãɪ						
	high / tall			tʰumtʰū	tʰumtʰū						
	horizontal			tʂʰə̄ptʂʰə	tʂʰə̄ptʂʰə						
	how			nde zɨ	nde zɨ						
	hundred			dʑjātʰampa	dʑjātʰampa						
	I [first person singular]			ŋə̌	ŋə̌						
	late			tʰye	tʰye						
	light (of weight)			ʑiʑī	ʑiʑī						
	long			sesē	sesē						
	male			zɨ̄ntsʰɨ	zɨ̄ntsʰɨ						
	many			ʑuʑū	ʑuʑū						
	narrow			ʐũʐũ̄	ʐũʐũ̄						
	new			sə̄pi	sə̄pi						
	not			mæ-	mæ-						
	other		other people	m̥ēɪno	m̥ēɪno						
	painful			ɲō ʐɨ	ɲō ʐɨ						
	red			ɲ̥īn̥i	ɲ̥īn̥i						
	rotten (of fruits)										
	round			tōlala	tōlala						
	salty			tɕʰī tə-qə̄ sʰɨ	tɕʰī tə-qə̄ sʰɨ						
	sharp			kʰikʰī	kʰikʰī						
	short			tsʰotsʰo	tsʰotsʰo						
	shy			xkwǣ	xkwǣ						
	sick			ɲo	ɲo						
	small			zæzǣ	zæzǣ						
	soft			vɨvɨ̄	vɨvɨ̄						
	some			kʰæɕī	kʰæɕī						
	stone (of fruit)			pəli	pəli						
	that			tʰə	tʰə						
	the bark										
	the child (descendant)			ɕʰjopɕī	ɕʰjopɕī						
	the dew			sɨ̄kwə̄	sɨ̄kwə̄						
	the ear			hnipūto	hnipūto						
	the earthworm			sʰəlēɪputɕo	sʰəlēɪputɕo						
	the feather										
	the flea			xlə̄	xlə̄						
	the fog			ˣtēɪʐə̄mu	ˣtēɪʐə̄mu						
	the hoof			qāɕye	qāɕye						
	the horse			bʐī	bʐī						
	the lip (the lips)			hnə̄ʐi	hnə̄ʐi						
	the mosquito			pɨɕī	pɨɕī						
	the nit										
	the otter			sǣmə	sǣmə						
	the rice plant			mtʂǣ	mtʂǣ						
	the road			dʑjālo	dʑjālo						
	the road			bʐɪ	bʐɪ						
	the roof										
	the sparrow										
	the stone (a piece of)			datɕī	datɕī						
	the thunder			mdʐū	mdʐū						
	the tree			sʰepū	sʰepū						
	the work			mõ	mõ						
	the worm			putɕō	putɕō						
	there										
	they [third person plural]			tsəntsʰɨ	tsəntsʰɨ						
