ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	they [third person plural]			tʰəntsʰɨ̄	tʰəntsʰɨ̄						
	thick			ɬeɬē	ɬeɬē						
	this			tʰə	tʰə						
	thou [second person singular]			nə̌	nə̌						
	to be alive										
	to bite			hŋwā	hŋwā						
	to blow (of wind)			fu	fu						
	to breathe										
	to burn [intransitive]		烫	xpū ʐye	xpū ʐye						
	to burn [transitive]			tɕʰjə	tɕʰjə						
	to choose			sʊ̄sʊ	sʊ̄sʊ						
	to climb										
	to come			tʊ, leɪ	tʊ, leɪ						
	to cook			χqwa	χqwa						
	to count			xtsɨ̄ ptʂū	xtsɨ̄ ptʂū						
	to cry (weep)			ptʂā	ptʂā						
	to cut		cut.1PL	qʰa	qʰa						
	to die			sʰi	sʰi						
	to dig			pɨqwō	pɨqwō						
	to drink		second person	tʰeɪ	tʰeɪ						
	to eat			tɕʰɨ	tɕʰɨ						
	to fear (be afraid)			xtɕə̄vʑo	xtɕə̄vʑo						
	to fight			tɕjətɕȳ	tɕjətɕȳ						
	to float			ptʰə	ptʰə						
	to flow			tʂɪptʂɪ̄	tʂɪptʂɪ̄						
	to forget			xǣ	xǣ						
	to freeze (intransitive)										
	to give			kʰwi	kʰwi						
	to grow										
	to hear			mə̃	mə̃						
	to hide (conceal)			vwa	vwa						
	to hold		拿	ptsō	ptsō						
	to knead		rub，揉	hnī 	hnī 						
	to know			xo go	xo go						
	to know (something)			xo go	xo go						
	to learn			bʑjo	bʑjo						
	to lick			pɨdʑjē	pɨdʑjē						
	to lie down			ptɕjʊ̃	ptɕjʊ̃						
	to lie, rest		rest 休息	hnēɪ	hnēɪ						
	to marry (a man marries a woman)										
	to open			tɕʰɪ (open the door)	tɕʰɪ (open the door)						
	to plant (vegetals, rice)		field = plough field = plant	leɪ	leɪ						
	to play			tɕiptɕjæ xku	tɕiptɕjæ xku						
	to pull			tʰəntʰē	tʰəntʰē						
	to push			tə̄teɪ	tə̄teɪ						
	to reside (live)			ptsū	ptsū						
	to rub		揉	hnī	hnī						
	to run			xtətɕȳ fla	xtətɕȳ fla						
	to scratch			qʰaʐā	qʰaʐā						
	to see			ndo	ndo						
	to shoot (an arrow)			bdə	bdə						
	to sing			ntʰēɪ	ntʰēɪ						
	to sit			ptsū	ptsū						
	to sow (broadcast, scatter seeds)			pɨ̄tʰu	pɨ̄tʰu						
	to spit										
	to split										
	to squeeze			ɕəɣlæ	ɕəɣlæ						
	to stab			xtɕʰʊ	xtɕʰʊ						
	to stand			kʰɪ	kʰɪ						
	to swell			pə̄ʐo	pə̄ʐo						
	to swim			xtɕō	xtɕō						
	to think (reflect)			xsʰwē	xsʰwē						
	to throw			ʐə	ʐə						
	to tie (together)		捆	do	do						
	to turn (around)			nkwəli	nkwəli						
	to wash										
	to wipe										
	to yawn			xa ə̄-tʊ	xa ə̄-tʊ						
	warm (hot)										
	we [first person plural inclusive]			ə̄ntsʰɨ	ə̄ntsʰɨ						
	wet			tsaɪtsāɪ	tsaɪtsāɪ						
	what			nde	nde						
	where			lǎ	lǎ						
	who			jě	jě						
	wide			xpixpī	xpixpī						
	you [second person plural]			nəntsʰɨ	nəntsʰɨ						
	young			lətɕʰjō	lətɕʰjō						
