ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	below, under		below (med. dist)	a³³jis⁵⁵							
	he or she [third person singular]			ai⁵⁵ti³³							
	that			ai⁵⁵ti³³							
	they [third person plural]			ai⁵⁵ti⁵⁵ɟjo⁵⁵							
	there			ai⁵⁵to³³							
	there			ai⁵⁵tos³³							
	knife			bər³³ze⁵⁵							
	the knife			bər³³ze⁵⁵							
	the snake			bi³³ri⁵⁵							
	thin (object)			biʔ⁵⁵							
	the feather			bja³³vər⁵⁵							
	to split		（瓷器、瓜）裂开	bjak⁵⁵							
	the wood (material)			bo⁵⁵li⁵⁵							
	shy			bom⁵⁵							
	all			boq⁵⁵							
	thin			boʔt⁵⁵							
	thin (slim)			boʔt⁵⁵							
	the rope			bre⁵⁵							
	high / tall			bro⁵⁵							
	the horse			bro⁵⁵							
	to swell			bup⁵⁵							
	to dig			cçʰo⁵³							
	to open			cçʰo⁵³							
	to stab		捅	cçʰo⁵³							
	this			cçi⁵⁵							
	here			ci⁵⁵to⁵⁵							
	here			ci⁵⁵tos⁵⁵							
	the bone			ɕa³³ru⁵⁵							
	above		above (dist)	ɕa³³rus⁵⁵							
	below, under		below (dist)	ɕa⁵⁵jis³³							
	the night		夜里	ɕɣar⁵⁵							
	male			ɕɣe⁵⁵ze³³							
	the husband			ɕɣe⁵⁵ze³³							
	the man (male human)			ɕɣe⁵⁵ze³³							
	young			ɕɣe⁵⁵ze⁵⁵							
	the tooth (front)			ɕɣi³³wom⁵³							
	the barley (tibetan or highland)			ɕi⁵⁵							
	left			ɕki³³							
	hot			ɕkiʔ⁵⁵							
	the ashes		灰烬	ɕŋer⁵³							
	to yawn			da³³χam⁵³							
	the year			dɣuk⁵⁵							
	the fat (grease)		肥膘	du³³ɣur³³							
	the flea			dza³³ji⁵⁵							
	to eat			dzəʔ⁵⁵							
	to sing			dʐo³³wo⁵⁵vzo⁵³							
	to hold			dʑe⁵⁵							
	the skin			dʑi⁵⁵dʑa³³							
	the nit			dʑu³³ru⁵⁵							
	the root			e³³sram⁵⁵							
	stone (of fruit)			e⁵⁵sne⁵⁵							
	below, under		below (prox)	ə³³cçʰe⁵⁵							
	the front (front side)			ə³³dʑi⁵⁵							
	inside			ə³³gu⁵⁵							
	outside			ə³³pʰji⁵⁵							
	above		above (medium dist)	ə³³rus⁵⁵							
	above		above (prox)	ə³³tʰa⁵³							
	some			ə⁵⁵ɣnes³³							
	the neck			fki⁵⁵							
	to steal			fkuʔ⁵⁵							
	to pull		拉	fse⁵³							
	to rub			fsə³³fsəʔ⁵³							
	the liver			fsje⁵⁵							
	to plant (vegetals, rice)		栽	fsjo⁵⁵							
	the tongue			fsɲi⁵⁵							
	tomorrow			fso⁵⁵na⁵⁵re³³							
	full			fsot⁵⁵							
	to walk			ftɕʰi⁵⁵ra⁵⁵							
	to count			ftsiʔ⁵⁵							
	we [first person plural inclusive]			gi⁵⁵ɟjo³³							
	the foot			gro⁵⁵							
	the bird			ɣbjam⁵⁵							
	to fly (move through air)			ɣbjam⁵⁵							
	four			ɣdi⁵⁵							
	to hit			ɣdoʔ⁵⁵							
	the river		小河	ɣdzaʔr⁵³							
	two			ɣnes⁵⁵							
	the water			ɣrə⁵⁵							
	the road			ɣrə⁵⁵ɣar³³							
	to buy			ɣruʔ⁵⁵							
	to knead		揉（皮子）	ɣzop⁵⁵							
	to plant (vegetals, rice)		种	je⁵³							
	the house			jem⁵⁵							
	the sparrow		家雀	jem⁵⁵pɣi³³zi⁵⁵							
	the hand			jək⁵⁵							
	thick			jək⁵⁵							
	light (of weight)			jo⁵⁵							
	to sleep			juʔp⁵⁵							
	other			ka³³ka⁵⁵ɟjo³³							
	the rainbow			kə³³fɕi⁵³rem³³rem⁵³							
	the frog			kʰa³³ɕpa⁵⁵							
	to give			kʰam⁵⁵							
	the wind			kʰar³³vu⁵⁵							
	the dog			kʰe³³ne⁵⁵							
	the mouth		口	kʰu⁵⁵							
	the worm			ku³³lu⁵⁵							
	good			la⁵⁵							
	to shoot (an arrow)			lat⁵⁵							
	the sand			lbək⁵⁵							
	the shit			le⁵⁵							
	the tail			lmi⁵⁵							
	the hail			lmu⁵⁵							
	to knead		揉（面）	lne⁵³							
	the leaf			lpʰaq⁵⁵							
	the shoulder			lvaq⁵⁵							
	the snow			lvi⁵⁵							
	not			ma-							
	bad			ma³³la⁵⁵							
	warm (hot)			mbjaʔ⁵⁵							
	the rice plant			mbraʔs⁵³							
	the thunder			mbruk⁵⁵							
	female			me³³le⁵⁵							
	the woman			me³³le⁵⁵							
	the girl		姑娘	me³³le⁵⁵sŋa³³lu⁵³							
	the flower			me³³toq⁵⁵							
	the mother			me⁵⁵							
	the night		晚上	mer⁵³							
	the body hair (hair or fur)			mə³³ma⁵⁵							
	the hair			mə³³ma⁵⁵							
	the eye			mək⁵⁵							
	nine			mgu⁵⁵							
	the daughter			mi⁵⁵							
	the smoke			mkʰut⁵⁵							
	few			mneʔ⁵⁵							
	red			mnik⁵⁵							
	five			mŋa⁵⁵							
	to blow (of wind)			moʔt⁵⁵							
	the lip (the lips)			mtɕʰi⁵⁵							
	the mouth		嘴	mtɕʰi⁵⁵							
	the lake			mtsʰo⁵⁵							
	the rain			mu⁵³							
	morning			na³³re⁵⁵							
	the morning			na³³re⁵⁵							
	to fall			na³³rɣət⁵⁵							
	to fall			na³³χɕot⁵⁵							
	when			nam⁵⁵							
	the intestines			naŋ³³tɕa⁵⁵							
	to play			ncçʰal⁵⁵							
	to throw			ncçoʔ⁵⁵							
	to fight			nda³³la⁵⁵lat⁵⁵							
	to marry (a man marries a woman)			ndvet⁵⁵							
	soft			ndvət⁵⁵							
	to cry (weep)		哭	ndvo³³vo⁵³							
	to lick			ndzok⁵⁵							
	to learn			ndzoʔs⁵³							
	to stand			ndzur⁵⁵							
	to swim			ndʑaq⁵⁵							
	soft			ndʑaʔm⁵⁵							
	twenty			nei⁵⁵sə³³							
	early			nə³³fso⁵³							
	thou [second person singular]			nə³³jo⁵⁵							
	late			nə³³moʔr⁵³							
	sick			ngoʔ⁵⁵							
	to fear (be afraid)			ni³³scçər⁵³							
	to hear			ni³³sme⁵³							
	to flow			ni³³vi⁵⁵							
	the ear			ni⁵⁵							
	the ant			nkʰo³³roq⁵⁵							
	to turn (around)		转回、转身	nkʰo³³rseʔ⁵⁵							
	hard			nkʰraʔŋ⁵⁵							
	dirty			nqaʔr⁵⁵							
	to climb		爬（树）	nqʰa³³rat⁵⁵							
	to laugh			nqʰat⁵⁵							
	to chew			ntɕaq⁵⁵tɕaq³³							
	to kill		杀（鸡)	ntɕʰi⁵⁵							
	to think (reflect)		想（去）	ntsʰo⁵³							
	to smell (perceive odor) [transitive]			ntʂə³³ma⁵³							
	the breast (female)			nu³³nu⁵⁵							
	black			ɲaʔq⁵⁵							
	you [second person plural]			ɲo³³ɟjo⁵⁵							
	thou [second person singular]			ɲo⁵⁵							
	painful			ŋam⁵³							
	I [first person singular]			ŋə⁵⁵							
	I [first person singular]			ŋo⁵⁵							
	where			ŋo⁵⁵to³³							
	to grow			o³³qʰra⁵³							
	the mosquito			pau⁵⁵sai³³							
	the pig			pʰak⁵⁵							
	the mountain			pʰat⁵⁵							
	to spit			pʰet⁵⁵							
	to wipe			pʰjiʔs⁵⁵							
	to climb		爬（山）、翻（山）	pʰoq⁵⁵							
	to cut		砍（树）	pʰoʔt⁵⁵							
	to tie (together)		拴（牛）	pʰrek⁵⁵							
	white			pʰrom⁵³							
	the armpit			pja⁵⁵qʰoq³³							
	the mouse or rat			pu³³juk⁵⁵							
	the earthworm			qar³³di⁵⁵ku⁵⁵lu⁵⁵							
	the spider			qʰa³³ɕna⁵⁵							
	big			qʰraʔ⁵⁵							
	the roof		房顶（最高层）	rbo⁵⁵bro⁵⁵							
	to bite		（人）咬	rcça³³qʰat⁵⁵							
	the shit			rcçaq³³pa⁵³							
	the bark			rcçʰaq⁵⁵							
	to tie (together)		绑	rcçʰeʔ⁵⁵							
	to pull		拖	rɕi⁵³							
	the stick			rdam⁵³							
	the ashes		尘土	rdus⁵⁵							
	the dust			rdus⁵⁵							
	the nail (fingernail or claw)			rdzək⁵⁵							
	to stab		扎	rdzoʔ⁵⁵							
	green			rdʑem³³ku⁵³							
	to say			reʔs⁵⁵							
	near			rə⁵⁵bat³³							
	one			rək⁵⁵							
	to lie down			rga⁵⁵la⁵⁵laŋ⁵⁵							
	to lie, rest			rga⁵⁵la⁵⁵laŋ⁵⁵							
	old (of person)			rgan⁵⁵							
	the stone (a piece of)			rge³³me⁵³							
	to float			rgo⁵³							
	the wife			rjap⁵⁵							
	to play			rje⁵⁵							
	to sit			rjeʔ⁵⁵							
	wide			rjeʔm⁵⁵							
	the sea			rɟja³³mtsʰo⁵⁵							
	to run			rɟjuk⁵⁵							
	cold (of temperature)			rkʰoʔ⁵⁵							
	the name			rme⁵⁵							
	forget			rmit⁵⁵							
	to forget			rmit⁵⁵							
	the dream			rmo⁵⁵							
	the grass		草（总称）	rno³³ba⁵³							
	to hunt			rŋa⁵⁵vzo⁵⁵							
	the knee			rŋe⁵⁵							
	the fish			roŋ⁵⁵jo³³							
	to cut		砍（肉、骨头）	rpe⁵⁵tset⁵⁵							
	the ice			rpʰam⁵³							
	to freeze (intransitive)			rpʰam⁵⁵							
	to squeeze		挤、拧	rtsʰop⁵⁵							
	the lung			rtsʰos⁵³							
	the horn (keratinized skin)			ru⁵⁵							
	the shoulder			rvak⁵⁵							
	stone (of fruit)			rvi⁵⁵							
	the seed			rvi⁵⁵							
	to wash			rʑi⁵⁵							
	the needle (for sewing)			ʁap⁵⁵							
	the sun			ʁbɣi⁵³							
	the person			ʁbji⁵⁵							
	many			ʁboʔ⁵⁵							
	horizontal			ʁdam³³daʔm⁵⁵							
	the wheat			ʁji⁵⁵							
	the bamboo			ʁji⁵⁵se³³							
	the sheep			ʁjo⁵⁵							
	round			ʁlo³³loʔr⁵⁵							
	the ashes		灰烬	ʁmu³³dom⁵⁵							
	the fire			ʁmu⁵⁵							
	dark			ʁni⁵⁵							
	the river		大河	ʁɲam⁵⁵							
	the mud		稀泥	ʁɲo³³mbe⁵⁵							
	heavy			ʁrdit⁵⁵							
	narrow			ʁroʔs⁵⁵							
	eight			ʁvjat⁵³							
