ID	CONCEPT	CHINESE	VALUE	FORM	GLOSS_IN_SOURCE	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	the rain	雨	tə-mu								
	the rainbow	虹	ⁿdʒa								
	the rice plant	水稻	ⁿbrɐs								
	the river	大河	smar-tʃʰu								
	the river	小河	tə-tʃi								
	the road	路	tʂu								
	the road	公路									
	the roof	房背（平顶）									
	the root	根	si-qa								
	the rope	绳子	tə-ⁿbri								
	the salt	盐	tsʰa								
	the sand	沙子	qa-ⁿbɐt								
	the sea	海									
	the seed	种子	tə-rɣi								
	the sheep	绵羊									
	the shit	屎	tə-ɣli								
	the shit	屎	tə-qɐj								
	the shoulder	肩膀	tə-rpak								
	the sickle	镰刀	tə-ⁿtʃi-ɣa								
	the skin	皮	tə-ⁿndʐi								
	the sky	天	tə-mu								
	the smoke	烟	ta-kʰu								
	the snake	蛇	qa-pri								
	the snow	雪	tɐ-jpa								
	the son	儿子	ta-tʃu								
	the sparrow	麻雀	kom-pɣa-tʃu								
	the spider	蜘蛛	qʰa-ʃna								
	the star	星星	ʒⁿgri								
	the stick	棍子	lɐ-ɣjək								
	the stone (a piece of)	石头	dɐ-stak								
	the string	细绳									
	the sun	太阳	ɣjum								
	the tail	尾巴	tɐ-jme								
	the thigh	大腿	pʰək-pa								
	the thunder	雷	ta-rmək								
	the tiger	老虎	kʰu								
	the tongue	舌头	tə-mdʒu								
	the tooth (front)	牙齿	tə-ʃɣa								
	the tree	树	siɣ-pʰu								
	the water	水	tə-tʃi								
	the wheat	小麦	qɐj								
	the wife	妻子	tɐ-rʒap								
	the wind	风	qa-lɐj								
	the wing	翅膀	ta-rkʰom								
	the wolf	狼	spjaŋku								
	the woman	女人、女性									
	the wood (material)	木头	si								
	the work	工作									
	the worm	虫	qa-ju								
	the year	年	ə-xpɐ								
	there	那里	nə-tʃu								
	thick	厚	kə-jak								
	thick	粗	kə-jpom								
	thin (object)	薄	kə-ⁿba								
	thin (object)	细	kə-xtsʰəm								
	thin (liquid)	稀	kə-ⁿgri								
	thin 	瘦	kə-nə-ɲem-kʰe								
	thou [second person singular]	你									
	three	三	xsum								
	to be alive	（动物）活了	kə-sə								
	to bite	（人）咬	kɐ-mtsək								
	to bite	（人）咬	kɐ-mdzək								
	to blow (of wind)	吹（灰）	kɐ-və-mət								
	to breathe	喘气									
	to burn [intransitive]	燃烧	kə-lu								
	to burn [transitive]	烧（香）									
	to buy	买	kə-χtu								
	to chew	嚼	kɐ-nɐ-ⁿka								
	to choose	挑选									
	to climb	爬（树）	kə-mə-tʃə-rɣa								
	to come	来	kə-ɣi								
	to cook	煮	kɐ-sqɐ								
	to count	数（数）	kɐ-rtsəs								
	to cry (weep)	哭	kɐ-kʰu								
	to cry (weep)	哭泣									
	to cut	剪	ka-rzək								
	to cut	剪	kɐ-prɐt								
	to die	死	kə-sɐj								
	to dig	掘	ka-lɣa								
	to drink	喝	ka-tsʰi								
	to eat	吃	ka-ⁿdzɐ								
	to fall	摔（下来）	kə-ⁿdʐɐp								
	to fall	倒	kə-ⁿbɣa								
	to fear (be afraid)	害怕	kə-zdɐr								
	to fight	打架、打仗	kɐ-lə-lɐt								
	to float	浮									
	to flow	（水）流	kə-ɬok								
	to fly (move through air)	飞	kə-ⁿbjom								
	to forget	忘记	kɐ-jmət								
	to freeze (intransitive)	冻	ko-jpɣom								
	to give	送给	kɐ-ⁿbi								
	to grow	长大									
	to grow	生长	kə-stʃi								
	to grow	长大									
	to grow high	长高									
	to hear	听见	kɐ-mtsʰɐm								
	to hide (conceal)	藏	kɐ-nɐ-pɐp								
	to hit	打（人）									
	to hold	握	kɐ-ⁿdo								
	to hold tightly	握紧									
	to hunt	打猎									
	to kill	杀（人）	kɐ-sɐt								
	to knead	揉（面）	kɐ-rɐ-lɐj								
	to know	知道	kə-tso								
	to laugh	笑	kə-nɐ-re								
	to learn	学（文化）	kɐ-βʒos								
	to learn	学（文化）	kɐ-rɐ-βʒos								
	to lick	舔	kɐ-nə-ⁿtsək								
	to lie down	躺									
	to marry (a man marries a woman)	娶									
	to open	打开	kɐ-tu								
	to plant (vegetals, rice)	种（菜）	kɐ-ji								
	to play	玩、耍	kɐ-nə-wro								
	to play	玩、耍	kɐ-rɐʒi								
	to play (instrument)	演奏（乐器）	kɐ-ʒi-ⁿbre								
	to pull	拉	kɐ-rɐ-ʃi								
	to pull	拉	kɐ-pʰət								
	to push	推	kɐ-stʰɔk								
	to reside (live)	居住	kə-rɐ-ʒi								
	to rub	擦									
	to run	跑	kə-rdʒək								
	to say	讲（一般意义上的说话）	kɐ-ti								
	to scratch	挠（痒）	kɐ-rɐ-vrɐk								
	to see	看见	kə-sɐ-mto								
	to sew	缝	kɐ-tʂəp								
	to shoot (an arrow)	射（箭）									
	to sing	唱歌	kɐ-nə-ro-ɣo								
	to sit	坐	kɐ-mdzət								
	to sleep	睡	kɐ-rⁿgu								
	to smell (perceive odor) [transitive]	闻、嗅	kɐ-nɐ-mnɐm								
	to sow (broadcast, scatter seeds)	下种									
	to spit	吐（痰）	tə-mtʃʰi kɐ-vde								
	to split	劈（柴）									
	to squeeze	挤（牙膏）									
	to stab	刺									
	to stand	站立	ka-ⁿdzur								
	to steal	偷	kə-mə-rku								
	to swell	肿、胀	kə-nə-ɣⁿbɐp								
	to swim	游泳、（鱼）游	kə-ⁿdʒak								
	to think (reflect)	想（去）	kɐ-sə-sɔ								
	to throw	扔	kɐ-vde								
	to tie (together)	绑	kɐ-rə-ⁿgəp								
	to turn (around)	转回、转身									
	to vomit	呕吐	kə-mə-jpʰɐt								
	to vomit; throw up	呕吐									
	to walk	走路	kɐ-ⁿke								
	to wash	洗	ka-xtʃi								
	to wipe	擦	kɐ-pʰjis								
	to yawn	打呵欠									
	today	今天	jə-sŋi								
	tomorrow	明天	fso								
	twenty	二十	ʁnɐ sqəj								
	two	二	ʃu								
	warm (hot)	暖和	kə-ⁿdʒem					Tib. ⁿdʑam			
	wet	湿	ka-tʃi								
	what	什么	xto								
	where	哪里	ŋɐ́-tʃu								
	white	白	ku-ɣrom								
	who	谁	ʃu								
	wide	宽	kə-rdʒom								
	yellow	黄	kə-qa-rŋej								
	yesterday	昨天	jə-fʃur								
	young	年轻	xləz kə-xtʃi								
