ID	CONCEPT	CHINESE	VALUE	FORM	GLOSS_IN_SOURCE	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	above	上方（近指）	ʃoŋ-lɔ								
	all	全部	kə-kutu								
	all	全部	tʃʰo-rəl								
	bad	坏	ma-kə-pɐj								
	bad	坏	ma-kə-sna								
	before		kh-ʃəj-ⁿgu								
	below, under	下方（近指）	ʃəŋ-pa								
	big	大	kə-xte								
	black	黑	kə-nak								
	cold (of temperature)	冷	kə-mə-ʃtak								
	correct (right)	对、正确									
	dark	暗、天黑	kə-qɐ-nej								
	dirty	脏	kə-ⁿqʰəj								
	dry	干	kə-rom								
	early	早	kə-nə-mtʃi								
	eight	八	kə-rtʃɐt								
	fallen rock (after landslide)	滚落的石头									
	far	远	ka-rqʰəj								
	few	少	kə-mni								
	firewood	柴	si								
	five	五	kə-mŋu								
	four	四	kə-vde								
	full	满	kə-mtsʰət								
	good	好	kə-sna								
	good	好	kə-pɐj								
	green	绿	ldʒɐ-ⁿku					Tib. ldʑaŋ.kʰu			
	hard	硬	kə-rko								
	heavy	重	kə-rʒi								
	here	这里	kə-tʃu								
	high / tall	高	kə-ⁿbro								
	horizontal	横	ka-χtʰɔm								
	hot (water)	热	kə-sɐ-ʃke								
	hot (whether)	热	kə-vɐ-su								
	how	怎样									
	hundred	百	wə-rʒa								
	I [first person singular]	我									
	inside	里面	ⁿgu								
	late	迟	kə-mɐ-qʰu								
	left	左	ʁɔj								
	light (of weight)	轻	kə-ʒo								
	long	长	kə-ɣsri								
	many	多	kə-dɐn								
	middle	中间	ta-χtʃɐl					Tib. dkyil			
	middle	中间、中介									
	morning	早晨									
	narrow	窄	kə-tʃɐr								
	narrow	狭窄（心胸）									
	near	近	kə-rⁿbɐt								
	new	新	kə-sɐk								
	nine	九	kə-ⁿgət								
	noon	中午									
	old (of person)	年老	kə-rgɐs					Tib. rgan			
	one	一	tək								
	other	其他									
	outside	外面	pʰji								
	painful	疼	kə-mŋɐm								
	red	红	kə-wə-rni								
	right	右	χtʃʰa								
	rotten (of fruits)	腐烂									
	round	圆（平面、立体）	ka-rtom								
	salty	咸	kə-tsri								
	seven	七	kə-ʃnəs								
	sharp	锋利	kə-mtʃok								
	short	短	kə-xtən								
	shy	害羞	tə-srɐk								
	sick	病	tə-ⁿgo								
	six	六	kə-tʂɐk								
	small	小	kə-xtʃi								
	smooth	光滑	kə-nɐ-ⁿbju								
	soft	软	kə-ⁿdʒem								
	soft	软	kə-ⁿpu								
	stone (of fruit)	核儿									
	straight	直	ka-stu								
	ten	十	sqəj								
	that	那	nə-tʃu								
	the ant	蚂蚁	qro								
	the armpit	腋下	tə-pjak-pa								
	the ashes	草木灰	sqa-tʰɔ								
	the ashes	草木灰	tʰɐ-lwa								
	the back	后背	tə-mkər								
	the bamboo	竹子	dʒu								
	the bark	桦树皮	sə-rqʰu								
	the barley (tibetan or highland)	青稞	ta-ʃi								
	the belly	肚子	tə-xtu								
	the bird	鸟	pɣa								
	the blood	血	ta-sɐj								
	the body hair (hair or fur)	毛	ta-rme								
	the bone	骨头	ʃɐ-ru								
	the branch	树枝	si-rtak								
	the breast (female)	乳房	tə-nu								
	the child	小孩	ta-po-tso								
	the cloud	云	zdəm								
	the cooked meat	熟肉									
	the day (opposed to night)	白天	ʒak-ma					Tib. ʑag.ma			
	the dew	露水	ta-ʃi-ri								
	the dog	狗	kʰə-na								
	the dream	梦	tə-jmɣɔ								
	the dust	灰尘	rdəl					Tib. rdul			
	the ear	耳朵	tə-rna								
	the earth (soil)	黄土	tʰɐ-rwa								
	the earthworm	蚯蚓	qa-ⁿdʐe								
	the egg	蛋	tɐ-ⁿgom								
	the eye	眼睛	tə-mɲak								
	the fat (grease)	肥膘	tɐ-ⁿgɐr								
	the feather	羽毛	ta-rme								
	the fire	火	smi								
	the fish	鱼	qa-dʒu								
	the flea	跳蚤	mdzɐ-ʒi								
	the flower	花	mən-tɔ					Tib. me.tog			
	the fog	雾	sɐ-zdəm								
	the foot	脚	tə-mə-pɐʴ								
	the forest	森林	sə-ⁿgu								
	the forest	森林	naχtʃən					Tib. nag.chen			
	the fox	狐狸	qa-tʃʰɣa								
	the frog	青蛙	qa-ʃpa								
	the front (front side)	前面、正面	ndʐi								
	the frost	霜	ʃi-ŋɐr								
	the fruit	果实									
	the girl	姑娘	tʃʰɐ-mɐj-pu								
	the goat	山羊	tsʰɐt								
	the grass	草（总称）	xʃa								
	the grass on the grassland	草原上的草									
	the hail	冰雹	sɐrwa								
	the hair (of the head)	头发	tu-ku-rme								
	the hand	手	tə-ʁla								
	the head	头	tu-ku								
	the heart	心脏	tə-sni								
	the hoof	马蹄	tɐ-qa								
	the horn (keratinized skin)	角	ta-ɣru								
	the horse	马	ⁿbro								
	the house	房子	kʰa								
	the husband	丈夫	a-n-mak								
	the ice	冰	tɐ-jpɣom								
	the intestines	肠	naŋ-tʃa								
	the knee	膝盖	tə-mdom								
	the knife	刀	ⁿbər-tsa								
	the lake	湖	mtshu								
	the leaf	叶子	si-jwa								
	the lightning	闪电									
	the lip (the lips)	嘴唇	tə-mtʃʰi								
	the liver	肝	tə-psi								
	the louse	虱子	sə-rɐk								
	the lung	肺	tə-rtsʰɐs								
	the man (male human)	男人、男性									
	the meat	肉	ʃa								
	the moon	月亮	sla								
	the mosquito	蚊子	wɣa-rtsʰi								
	the mountain	山	tɐ-ⁿbɐt								
	the mountain	山的总称									
	the mouse or rat	老鼠	vʒu								
	the mouth	嘴									
	the mud	泥巴	ta-rtʃok								
	the nail (fingernail or claw)	指甲	tɐ-jɐk-ⁿdzru								
	the name	姓	tə-rmi								
	the neck	脖子	tə-mke								
	the needle (for sewing)	针	ta-qap								
	the night	晚上	tə-rmu								
	the nit	虮子	ⁿdʒə-ru								
	the noon	中午									
	the nose	鼻子	tə-ʃna								
	the otter	水獭	tʃʰə ʃə-rɐm								
	the person	人	tə-rmɐj								
	the pig	猪	pak								
