ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	above			tʰa⁵³	tʰa⁵³						
	above		上方（泛指）	ə³³mgo⁵³	ə³³mgo⁵³						
	above		上方（近指）	ʁɑ⁵³χcçəl³³	ʁɑ⁵³χcçəl³³						
	above		上方（较远指）	ru⁵⁵tʰa³³	ru⁵⁵tʰa³³						
	above		上方（较远指）	ru⁵⁵tse⁵⁵tʰa³³	ru⁵⁵tse⁵⁵tʰa³³						
	above		上方（远指）	ɕa⁵⁵ru³³la³³	ɕa⁵⁵ru³³la³³						
	above		上方（远指）	χa⁵⁵ru³³la³³	χa⁵⁵ru³³la³³						
	all			tɛ³³tə⁵⁵	tɛ³³tə⁵⁵						
	all			pɑ⁵³	pɑ⁵³						
	all			xcçʰə³³fcçʰə⁵³	xcçʰə³³fcçʰə⁵³						
	and			ra⁵³	ra⁵³						
	bad			ŋən⁵³	ŋən⁵³						
	before			ə³³dʑə⁵⁵	ə³³dʑə⁵⁵						
	below, under		下方（泛指）	ə³³qe⁵³	ə³³qe⁵³						
	below, under		下方（近指）	ə³³cçʰu⁵³	ə³³cçʰu⁵³						
	below, under		下方（较远指）	ɕe⁵³tʰa⁵³	ɕe⁵³tʰa⁵³						
	below, under		下方（较远指）	ji³³tse⁵⁵tʰa	ji³³tse⁵⁵tʰa						
	below, under		下方（远指）	ɕe⁵⁵la³³	ɕe⁵⁵la³³						
	below, under		下方（远指）	ɕe⁵⁵ji³³la³³	ɕe⁵⁵ji³³la³³						
	big			qʰra⁵⁵	qʰra⁵⁵						
	big			cçʰɛ⁵³	cçʰɛ⁵³						
	black			ɲɑ⁵⁵	ɲɑ⁵⁵						
	cold (of temperature)			rkʰo⁵³	rkʰo⁵³						
	correct (right)			vɟji⁵³	vɟji⁵³						
	dark			ʁni⁵³	ʁni⁵³						
	dirty			lqʰal⁵⁵	lqʰal⁵⁵						
	dry			zbju⁵³	zbju⁵³						
	dry		（衣服）干	ʁru⁵⁵	ʁru⁵⁵						
	early			nvse⁵³	nvse⁵³						
	eight			vja⁵⁵	vja⁵⁵						
	far			ntʰɑŋ⁵⁵rɑŋ⁵⁵	ntʰɑŋ⁵⁵rɑŋ⁵⁵						
	female			mə⁵⁵le⁵⁵	mə⁵⁵le⁵⁵						
	female			və⁵⁵sme⁵⁵	və⁵⁵sme⁵⁵						
	few			tsɛ⁵⁵kɛ³³	tsɛ⁵⁵kɛ³³						
	firewood			se⁵³	se⁵³						
	five			mŋa⁵⁵	mŋa⁵⁵						
	forget			lmə⁵³	lmə⁵³						
	four			vdə⁵⁵	vdə⁵⁵						
	full			fsɛ⁵⁵	fsɛ⁵⁵						
	good			tsʰɑ⁵³	tsʰɑ⁵³						
	green			ldʑə⁵⁵kəɣ³³	ldʑə⁵⁵kəɣ³³						
	hard			rqo⁵⁵	rqo⁵⁵						
	he or she [third person singular]		他（亲见、近指）	cçə⁵³	cçə⁵³						
	he or she [third person singular]		他（亲见、远指）	ə⁵⁵tə³³	ə⁵⁵tə³³						
	he or she [third person singular]		他（未亲见）	a³³tə⁵³	a³³tə⁵³						
	heavy			ʁrdə⁵³	ʁrdə⁵³						
	here			cçə⁵³gə³³	cçə⁵³gə³³						
	here			cçə⁵³ʁɑ³³	cçə⁵³ʁɑ³³						
	high / tall			bre⁵³	bre⁵³						
	horizontal			ʁvdəm⁵³	ʁvdəm⁵³						
	hot			ski⁵³	ski⁵³						
	how			tʰi⁵⁵mɲi³³	tʰi⁵⁵mɲi³³						
	hundred			vrji⁵³	vrji⁵³						
	I [first person singular]			ŋa⁵³	ŋa⁵³						
	inside			gə⁵³	gə⁵³						
	knife			bər³³zi⁵⁵	bər³³zi⁵⁵						
	late			fskʰə⁵⁵	fskʰə⁵⁵						
	late			vle⁵⁵	vle⁵⁵						
	left			skə⁵⁵gə³³	skə⁵⁵gə³³						
	light (of weight)			je⁵³	je⁵³						
	long			xsre⁵³	xsre⁵³						
	male			bə⁵⁵lŋɑ⁵⁵	bə⁵⁵lŋɑ⁵⁵						
	male			zi⁵³	zi⁵³						
	many			vɟjɑχ³³tsə⁵³	vɟjɑχ³³tsə⁵³						
	many			ʁbo⁵³	ʁbo⁵³						
	middle			ə³³χcçəl⁵³	ə³³χcçəl⁵³						
	morning			nvse⁵³	nvse⁵³						
	narrow			tsra⁵³	tsra⁵³						
	near			kɛ⁵⁵ntʰa⁵⁵	kɛ⁵⁵ntʰa⁵⁵						
	near			tɕʰa³³ba⁵⁵	tɕʰa³³ba⁵⁵						
	new			sɛr⁵⁵pa³³	sɛr⁵⁵pa³³						
	nine			ŋgə⁵³	ŋgə⁵³						
	noon			vʑe⁵³	vʑe⁵³						
	not			mə³³-	mə³³-						
	old (of person)			rgan⁵³	rgan⁵³						
	one			rɑɣ⁵³	rɑɣ⁵³						
	other			kʰɛ³³kʰa⁵³ɟji³³	kʰɛ³³kʰa⁵³ɟji³³						
	outside			pʰji⁵³	pʰji⁵³						
	painful			ŋəm⁵³	ŋəm⁵³						
	red			mnəɣ⁵³	mnəɣ⁵³						
	right			scçʰi³³gə⁵³	scçʰi³³gə⁵³						
	rotten (of fruits)			χtsə⁵⁵	χtsə⁵⁵						
	round			χtəm⁵⁵	χtəm⁵⁵						
	salty			tsʰrə⁵³	tsʰrə⁵³						
	seven			sɲi⁵⁵	sɲi⁵⁵						
	sharp			zɑɣ⁵³	zɑɣ⁵³						
	short			xtəl⁵³	xtəl⁵³						
	shy			bəm⁵⁵	bəm⁵⁵						
	sick			tʰɛ³³ŋəm⁵³	tʰɛ³³ŋəm⁵³						
	six			xtɕu⁵⁵	xtɕu⁵⁵						
	small			zi³³zi⁵³	zi³³zi⁵³						
	small			zu³³zu⁵³	zu³³zu⁵³						
	small			tsu³³tsu⁵³	tsu³³tsu⁵³						
	smooth			vlɑɣ⁵⁵	vlɑɣ⁵⁵						
	soft			mnu⁵³	mnu⁵³						
	some			rɛ³³ri⁵³	rɛ³³ri⁵³						
	stone (of fruit)			ɕɛ³³rə⁵³	ɕɛ³³rə⁵³						
	straight			stu⁵³	stu⁵³						
	ten			sɣə⁵³	sɣə⁵³						
	that		那（亲见）	ə⁵⁵tə³³	ə⁵⁵tə³³						
	that		那（未亲见）	a³³tə⁵⁵	a³³tə⁵⁵						
	the ant			skʰrɑɣ⁵³	skʰrɑɣ⁵³						
	the armpit			pja³³qə³³vi⁵³	pja³³qə³³vi⁵³						
	the ashes			ʁmə³³ɣnu⁵⁵	ʁmə³³ɣnu⁵⁵						
	the back			ve⁵⁵ske³³	ve⁵⁵ske³³						
	the bamboo			ʁju⁵³	ʁju⁵³						
	the bark			cçhvɑ⁵³	cçhvɑ⁵³						
	the barley (tibetan or highland)			ɕə⁵³	ɕə⁵³						
	the belly			ɣdu⁵³	ɣdu⁵³						
	the bird			ɣbjem⁵³bja⁵⁵	ɣbjem⁵³bja⁵⁵						
	the blood			sə⁵³	sə⁵³						
	the body hair (hair or fur)			ba³³spə⁵³	ba³³spə⁵³						
	the bone			ɕɛ³³rə⁵⁵	ɕɛ³³rə⁵⁵						
	the branch			jal³³ga⁵³	jal³³ga⁵³						
	the breast (female)			na³³no⁵⁵	na³³no⁵⁵						
	the child			ɲɑ³³də⁵⁵	ɲɑ³³də⁵⁵						
	the child (descendant)			mɲə³³re⁵³	mɲə³³re⁵³						
	the child (young human)			ɲɑ³³də⁵⁵	ɲɑ³³də⁵⁵						
	the cloud			zdə̂m	zdə̂m						
	the daughter			mə⁵⁵le⁵⁵	mə⁵⁵le⁵⁵						
	the day (opposed to night)			snə⁵⁵go³³	snə⁵⁵go³³						
	the dew			vər⁵³	vər⁵³						
	the dog			kə⁵⁵tɑ⁵⁵	kə⁵⁵tɑ⁵⁵						
	the dream			rmo⁵³	rmo⁵³						
	the dust			χpʰi⁵⁵	χpʰi⁵⁵						
	the ear			ɲu⁵³	ɲu⁵³						
	the earth (soil)		黄土	χtɕʰe⁵⁵	χtɕʰe⁵⁵						
	the earthworm			χtɕʰe⁵⁵bə⁵⁵dʑa³³	χtɕʰe⁵⁵bə⁵⁵dʑa³³						
	the egg			stʰɑɣ⁵⁵	stʰɑɣ⁵⁵						
	the eye			mɑɣ⁵³	mɑɣ⁵³						
	the fat (grease)			də³³ɣur⁵³	də³³ɣur⁵³						
	the father			ə³³vi⁵³	ə³³vi⁵³						
	the feather			lŋə⁵⁵	lŋə⁵⁵						
	the fire			ʁmə⁵⁵	ʁmə⁵⁵						
	the fish			ʁdə³³ju⁵⁵	ʁdə³³ju⁵⁵						
	the flea			sə⁵⁵	sə⁵⁵						
	the flower			me³³tɑ⁵³	me³³tɑ⁵³						
	the fog			zdəm⁵³	zdəm⁵³						
	the foot			gɑv⁵³	gɑv⁵³						
	the foot			qɑ³³li⁵⁵	qɑ³³li⁵⁵						
	the forest			nɑχ³³tɕin⁵³	nɑχ³³tɕin⁵³						
	the fox			xtʰi⁵⁵	xtʰi⁵⁵						
	the frog			span³³cçʰɑ⁵³	span³³cçʰɑ⁵³						
	the front (front side)			dʑə⁵⁵	dʑə⁵⁵						
	the frost			sŋar⁵⁵	sŋar⁵⁵						
	the fruit			ɕɑŋ⁵⁵tsʰɑ⁵⁵	ɕɑŋ⁵⁵tsʰɑ⁵⁵						
	the girl			mə³³snam⁵⁵	mə³³snam⁵⁵						
	the goat			tsʰɛ⁵⁵	tsʰɛ⁵⁵						
	the grass			lnɛ⁵⁵ba⁵³	lnɛ⁵⁵ba⁵³						
	the grass		青草	χɕi⁵³	χɕi⁵³						
	the hail			lmu⁵⁵	lmu⁵⁵						
	the hair			rmə⁵³	rmə⁵³						
	the hair (of the head)			ʁɛ³³rmə⁵⁵	ʁɛ³³rmə⁵⁵						
	the hand			jɑɣ⁵⁵	jɑɣ⁵⁵						
	the head			ʁu⁵³	ʁu⁵³						
	the heart			sjar⁵³	sjar⁵³						
	the hoof			bre³³qei⁵³	bre³³qei⁵³						
	the horn (keratinized skin)			rə⁵³	rə⁵³						
	the horse			bre⁵⁵	bre⁵⁵						
	the house			jəm⁵³	jəm⁵³						
	the husband			kʰrɛl⁵⁵pa³³	kʰrɛl⁵⁵pa³³						
	the husband			vɟju⁵⁵	vɟju⁵⁵						
	the ice			rpʰəm⁵³	rpʰəm⁵³						
	the intestines			vu³³va⁵⁵	vu³³va⁵⁵						
	the knee			rŋi⁵³	rŋi⁵³						
	the knife			bər³³zi⁵⁵	bər³³zi⁵⁵						
	the lake			mtsʰo⁵³	mtsʰo⁵³						
	the leaf			lpʰɑ⁵⁵lɑ⁵⁵	lpʰɑ⁵⁵lɑ⁵⁵						
	the leg										
	the lightning			slav⁵⁵	slav⁵⁵						
	the lip (the lips)			mtɕʰə⁵³rkʰə³³	mtɕʰə⁵³rkʰə³³						
	the liver			fse⁵⁵	fse⁵⁵						
	the louse			sɛr⁵⁵	sɛr⁵⁵						
	the lung			rtsʰɛl⁵⁵	rtsʰɛl⁵⁵						
	the man (male human)			bə⁵⁵lŋɑ⁵⁵	bə⁵⁵lŋɑ⁵⁵						
	the man (male human)			zi⁵³	zi⁵³						
	the meat			sru⁵⁵	sru⁵⁵						
	the meat			tʰɛm⁵⁵	tʰɛm⁵⁵						
	the moon			snɑɣ⁵⁵li⁵⁵	snɑɣ⁵⁵li⁵⁵						
	the morning			nvse⁵³	nvse⁵³						
	the mosquito			xsje³³ɣva³³za⁵³	xsje³³ɣva³³za⁵³						
	the mother			ə³³me⁵³	ə³³me⁵³						
	the mountain			pʰa⁵⁵	pʰa⁵⁵						
	the mouse or rat			pi⁵³	pi⁵³						
