ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	above			rkiɛ̂	rkiɛ̂						
	above			ta-tō	ta-tō						
	above			a-tiɛ̄	a-tiɛ̄						
	all			kəʑē	kəʑē						
	all			stamtɕhāt	stamtɕhāt						
	and			nə	nə						
	bad			ŋân	ŋân						
	before			kâj	kâj						
	below, under			nō	nō						
	below, under			spōk	spōk						
	below, under			a-vī	a-vī						
	below, under			a-və̂	a-və̂						
	big			tī	tī						
	big			u-ktə̂	u-ktə̂						
	black			nâk	nâk						
	cold (of temperature)			mə-ɕtiâk	mə-ɕtiâk						
	correct (right)			va-sū	va-sū						
	dark			rɲīs	rɲīs						
	dirty			ŋkhiēr	ŋkhiēr						
	dirty			ŋkhiēr	ŋkhiēr						
	dry			rām	rām						
	early			nə-psōs	nə-psōs						
	eight			kərcēt	kərcēt						
	far			chɐ̂	chɐ̂						
	female			tə-mī	tə-mī						
	few			mənê	mənê						
	firewood			ɕê	ɕê						
	five			kəmŋɐ̂j	kəmŋɐ̂j						
	forget			jmə̂	jmə̂						
	four			kojdî	kojdî						
	full			məjōt	məjōt						
	good			bdɐ̂	bdɐ̂						
	green			tə-jnɐ-mdɐ̄k	tə-jnɐ-mdɐ̄k						
	hard			ŋkhrâŋ	ŋkhrâŋ						
	hard			ŋkhâŋ	ŋkhâŋ						
	he or she [third person singular]			omə̂	omə̂						
	heavy			dî	dî						
	here			ˈtə-tɕɐ	ˈtə-tɕɐ						
	high / tall			mbrô	mbrô						
	horizontal			o-mkrāk	o-mkrāk						
	hot			rtsê	rtsê						
	hot			ɕa-ɕkɐ̂j	ɕa-ɕkɐ̂j						
	how			ˈthə-ksən	ˈthə-ksən						
	hundred			pərɟē	pərɟē						
	I [first person singular]			ŋā	ŋā						
	inside			u-ŋgū	u-ŋgū						
	knife			mbərtsâ	mbərtsâ						
	late			nə-mɐ̄r	nə-mɐ̄r						
	left			kojū	kojū						
	light (of weight)			ɟô	ɟô						
	long			skrēn	skrēn						
	male			tə-ziɛ̂	tə-ziɛ̂						
	many			tsiēn	tsiēn						
	many			diāk	diāk						
	many			dân	dân						
	middle			u-liɛ̄	u-liɛ̄						
	morning			ta-niɛ̂p	ta-niɛ̂p						
	narrow			ŋgôr	ŋgôr						
	narrow			tɕôr	tɕôr						
	near			o-rmbiɛ̄t	o-rmbiɛ̄t						
	new			ɕə̄k	ɕə̄k						
	new			tsâr	tsâr						
	nine			kəngû	kəngû						
	noon			saksə̂	saksə̂						
	not			ma-	ma-						
	old (of person)			mtʂɐ̂	mtʂɐ̂						
	one			kərīk	kərīk						
	other			kə-maklâ	kə-maklâ						
	outside			ptɕhî	ptɕhî						
	painful			mə-ŋâm	mə-ŋâm						
	red			vərniê	vərniê						
	right			kochiɛ̄	kochiɛ̄						
	rotten (of fruits)			tɕə̂	tɕə̂						
	round			olɐrlɐ̄r	olɐrlɐ̄r						
	salty			tsrî	tsrî						
	seven			kəɕnɐ̄s	kəɕnɐ̄s						
	sharp			o-mtɕōk	o-mtɕōk						
	short			tɕîn	tɕîn						
	shy			tə-srāk	tə-srāk						
	sick			nə-ŋgô	nə-ŋgô						
	six			kətʂōk	kətʂōk						
	small			tsɐ̂j	tsɐ̂j						
	smooth			məliə̄k	məliə̄k						
	soft			rdɐ̂m	rdɐ̂m						
	some			toŋnə̂s	toŋnə̂s						
	stone (of fruit)			u-ɕnê	u-ɕnê						
	straight			o-stô	o-stô						
	ten			zɟē	zɟē						
	that			ma	ma						
	that			ˈmatə	ˈmatə						
	the ant			kharɐ̄k	kharɐ̄k						
	the armpit			ta-rpjakɐ̂j	ta-rpjakɐ̂j						
	the ashes			rdə̂	rdə̂						
	the back			zgû	zgû						
	the bamboo			ɟō	ɟō						
	the bark		红桦树皮	chwāk	chwāk						
	the bark		白桦树皮	saj-rkhō	saj-rkhō						
	the barley (tibetan or highland)			swɐ̂j	swɐ̂j						
	the belly			tə-vō	tə-vō						
	the bird			kəmbjâm	kəmbjâm						
	the blood			ta-ɕī	ta-ɕī						
	the body hair (hair or fur)			ta-rɲê	ta-rɲê						
	the body hair (hair or fur)			smɐ̂k	smɐ̂k						
	the bone			ɕarə̂	ɕarə̂						
	the branch			ɕɐ-jgiâk	ɕɐ-jgiâk						
	the breast (female)			tə-nū	tə-nū						
