ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
38840	I [first person singular]			ŋæ̂	ŋæ̂				38840		0
38797	above			tʰɑ	tʰɑ				38797		0
38798	all			tsʰôŋmu	tsʰôŋmu				38798		0
38799	all			tʰæ̂mtɕʰæd	tʰæ̂mtɕʰæd				38799		0
38800	all			ɕærɕæ̂r	ɕærɕæ̂r				38800		0
38801	all			ftɕɑmɑ̂	ftɕɑmɑ̂				38801		0
38802	all			tæ̂r	tæ̂r				38802		0
38803	all			mæ̂d	mæ̂d				38803		0
38804	all			rlæ̂ʁ	rlæ̂ʁ				38804		0
38805	and			zæ	zæ				38805		0
38806	bad			ŋə̂n	ŋə̂n				38806		0
38807	before			rêdʑəɣ	rêdʑəɣ				38807		0
38808	below, under			ví	ví				38808		0
38809	big			qʰrɑ́	qʰrɑ́				38809		0
38810	big			cʰæ̂d	cʰæ̂d				38810		0
38811	black			ɲǽʁ	ɲǽʁ				38811		0
38812	cold (of temperature)			rkʰô	rkʰô				38812		0
38813	correct (right)			vɟê	vɟê				38813		0
38814	dark			ʁnî	ʁnî				38814		0
38815	dirty			rqʰǽl	rqʰǽl				38815		0
38816	dry			ʁrú	ʁrú				38816		0
38817	early			dʑə́ɣne	dʑə́ɣne				38817		0
38818	eight			vjɑ́d	vjɑ́d				38818		0
38819	far			tɕʰêrdə	tɕʰêrdə				38819		0
38820	female			məlé	məlé				38820		0
38821	few			ɲóŋ	ɲóŋ				38821		0
38822	firewood			sê	sê				38822		0
38823	five			mŋɑ́d	mŋɑ́d				38823		0
38824	forget			lmə̂d	lmə̂d				38824		0
38825	four			vdə́	vdə́				38825		0
38826	full			fsód	fsód				38826		0
38827	good			tsʰæ̂ʁ	tsʰæ̂ʁ				38827		0
38828	green			vŋə́d	vŋə́d				38828		0
38829	hard			rɣê	rɣê				38829		0
38830	he or she [third person singular]			cə̂	cə̂				38830		0
38831	he or she [third person singular]			ætə̂	ætə̂				38831		0
38832	heavy			rdə̂d	rdə̂d				38832		0
38833	here			cə̂gə	cə̂gə				38833		0
38834	high / tall			brê	brê				38834		0
