ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	the father		vocative	a31ba53	a31ba53						
	the mother		vocative	a31ma53	a31ma53						
	ten			a55kõ55	a55kõ55						
	here			ã55na31	ã55na31						
	all			æ31wæ55	æ31wæ55						
	bad			æ31wæ55	æ31wæ55						
	the armpit			ɕã31tə55kɔ31kɔ31	ɕã31tə55kɔ31kɔ31						
	the wolf			ɕã55khu53	ɕã55khu53						
	the rope			ɕe53	ɕe53						
	eight			ɕɛ13	ɕɛ13						
	the tooth (front)			ɕi13	ɕi13						
	the fruit			ɕi55ndʐe55	ɕi55ndʐe55						
	the tree			ɕĩ55phu53	ɕĩ55phu53						
	the husband			dzu55ndʑu55	dzu55ndʑu55						
	the wife			dzu55ndʑu55	dzu55ndʑu55						
	to say			dʑa55	dʑa55						
	hundred			dʑe53	dʑe53						
	to fight		打架	dʑe55rɨ55ke31	dʑe55rɨ55ke31						
	the intestines			dʑy55me53	dʑy55me53						
	good			e31mi53	e31mi53						
	this			e55	e55						
	old (of person)			ɡæ31ŋɡɔ55	ɡæ31ŋɡɔ55						
	the needle (for sewing)			ɣa13	ɣa13						
	four			ɣə13	ɣə13						
	heavy			ɣɨ31tə55	ɣɨ31tə55						
	to push			je55	je55						
	he or she [third person singular]			jɛ55	jɛ55						
	the heart			jɛ55	jɛ55						
	light (of weight)			jɛ55tə55	jɛ55tə55						
	to sleep			ji31pa55	ji31pa55						
	yesterday			ji31si53	ji31si53						
	he or she [third person singular]			ji55	ji55						
	thick			ji55dʐe53	ji55dʐe53						
	right			ji55e53	ji55e53						
	left			jo55ko53	jo55ko53						
	the night			jo55xo55	jo55xo55						
	to pull			jũ53	jũ53						
	the mosquito			jy31mu53	jy31mu53						
	thin			ka55mbu53	ka55mbu53						
	thin (slim)			ka55mbu53	ka55mbu53						
	many			ke31e55	ke31e55						
	below, under			ke53re31	ke53re31						
	the star			ke55me53	ke55me53						
	the father			kə13	kə13						
	stone (of fruit)			khã31tsha53	khã31tsha53						
	near			khã31tshã53	khã31tshã53						
	the dog			khy53	khy53						
	to know			ko13	ko13						
	to know (something)			ko13	ko13						
	the egg			ko31ŋe53	ko31ŋe53						
	round			ko55ko53	ko55ko53						
	to cry (weep)			kɔ13	kɔ13						
	to dig			kɔ13	kɔ13						
	to turn (around)			ku55e55	ku55e55						
	the branch			la31pe53	la31pe53						
	the branch			la53	la53						
	the sheep			la55	la55						
	sharp			le31e55	le31e55						
	the leaf			lə31ma53	lə31ma53						
	the moon			li53	li53						
	the fog			lo31wu53	lo31wu53						
	the river		河(澜沧江)	lo55tɕhu53	lo55tɕhu53						
	the lung			lɔ55e53	lɔ55e53						
	the year			lu13	lu13						
	young			lu31tɕhũ53	lu31tɕhũ53						
	to smell (perceive odor) [transitive]			ɬi55ma31	ɬi55ma31						
	the wind			ma31mi55	ma31mi55						
	the frog			mbɛ31mbɛ55	mbɛ31mbɛ55						
	thin (object)			mbi31e55	mbi31e55						
	the name			me55	me55						
	to knead			mə53	mə53						
	the flower			mə55tɔ55	mə55tɔ55						
	female			mi13	mi13						
	the daughter			mi13	mi13						
	the woman			mi13	mi13						
	the girl			mi31the55	mi31the55						
	the fire			mi53	mi53						
	the mother			mo13	mo13						
	the body hair (hair or fur)			mɔ13	mɔ13						
	the feather			mɔ13	mɔ13						
	the hair			mɔ13	mɔ13						
	the mouth			mu13	mu13						
	bad			mu31lɔ55wu31	mu31lɔ55wu31						
	the worm			mu31ndɔ55	mu31ndɔ55						
	morning			mu31su55phe31phi31	mu31su55phe31phi31						
	the morning			mu31su55phe31phi31	mu31su55phe31phi31						
	the lip (the lips)			mũ31tɕhu53	mũ31tɕhu53						
	the sky			mu53	mu53						
	the smoke			mu55khu55	mu55khu55						
	the hoof			mu55pe53	mu55pe53						
	dark			na31khũ55	na31khũ55						
	inside			na31ŋe53	na31ŋe53						
	the forest			na31tshɛ55	na31tshɛ55						
	twenty			na53	na53						
	the mud			nda31mbe53	nda31mbe53						
	the flea			nde13	nde13						
	the tongue			ndə13	ndə13						
	to flow			ndə13	ndə13						
	where			ndə53	ndə53						
	where			ndə53na31	ndə53na31						
	to come			ndə55	ndə55						
	the cloud			ndə55rə55	ndə55rə55						
	the hand			ndi53	ndi53						
	the ashes			ndɔ55tʂhɔ55	ndɔ55tʂhɔ55						
	the earth (soil)			ndza13	ndza13						
	to eat			ndza13	ndza13						
	the ice			ndza55	ndza55						
	the nail (fingernail or claw)			ndzo53	ndzo53						
	to sit			ndzo53	ndzo53						
	the fox			ndzu31e55	ndzu31e55						
	to stab			ndzu55	ndzu55						
	to fall			ndʐe55	ndʐe55						
	to bite			ndʐə55	ndʐə55						
	the thunder			ndʐu53	ndʐu53						
	cold (of temperature)			ndʑa31li53	ndʑa31li53						
	soft			ndʑa31mə55	ndʑa31mə55						
	to fight		打斗	ndʑe13	ndʑe13						
	the rainbow			ndʑe53	ndʑe53						
	the bird			ndʑe55ndʑe55	ndʑe55ndʑe55						
	you [second person plural]			ne55dʐe31	ne55dʐe31						
	red			ne55ne53	ne55ne53						
	two			nɛ31ji53	nɛ31ji53						
	yellow			nɛ55nɛ53	nɛ55nɛ53						
	the grass			nɛ55rɛ55	nɛ55rɛ55						
	the thigh			ȵa31ndɨ53	ȵa31ndɨ53						
	few			ȵa31ȵo55	ȵa31ȵo55						
	the fish			ȵe13	ȵe13						
	the ear			ȵe31pe55	ȵe31pe55						
	seven			ȵɛ13	ȵɛ13						
	the sun			ȵi13	ȵi13						
	the knee			ȵi31mbu55	ȵi31mbu55						
	black			ȵi31ȵi53	ȵi31ȵi53						
	noon			ȵi31ŋɡa55	ȵi31ŋɡa55						
	the day (opposed to night)			ȵi31ŋɡa55	ȵi31ŋɡa55						
	the noon			ȵi31ŋɡa55	ȵi31ŋɡa55						
	the eye			ȵi55	ȵi55						
	to play			ȵi55ȵi55wi13	ȵi55ȵi55wi13						
	thou [second person singular]			ȵo53	ȵo53						
	the nose			ȵu53	ȵu53						
	five			ŋa13	ŋa13						
	the tail			ŋe55me53	ŋe55me53						
	we [first person plural inclusive]			ŋə55dʐe31	ŋə55dʐe31						
	the person			ŋə55ȵe55	ŋə55ȵe55						
