Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				
(	NULL				
(_n)_thei¹³	tʰ e i	( n) thei¹³	Zhaba	1	U+0028 U+0020 U+006e U+0029 U+0020 U+0074 U+0068 U+0065 U+0069 U+00b9 U+00b3
(kha¹³_me⁵⁵)_tə⁵⁵zo⁵⁵	kʰ a ¹³ + m e ⁵⁵ + t ə ⁵⁵ z o ⁵⁵	(kha¹³ me⁵⁵) tə⁵⁵zo⁵⁵	QueyuXinlong	1	U+0028 U+006b U+0068 U+0061 U+00b9 U+00b3 U+0020 U+006d U+0065 U+2075 U+2075 U+0029 U+0020 U+0074 U+0259 U+2075 U+2075 U+007a U+006f U+2075 U+2075
(lɛji)_mqhə_lə	m qʰ ə + l ə	(lɛji) mqhə lə	Daofu	1	U+0028 U+006c U+025b U+006a U+0069 U+0029 U+0020 U+006d U+0071 U+0068 U+0259 U+0020 U+006c U+0259
(mda³³)_ʑi¹³	m d a ³³ ʑ i ¹³	(mda³³) ʑi¹³	Zhaba	1	U+0028 U+006d U+0064 U+0061 U+00b3 U+00b3 U+0029 U+0020 U+0291 U+0069 U+00b9 U+00b3
(pər)_kɐ__ndʐət	p ə r + k ɐ + n ɖʐ ə t	(pər) kɐ ndʐət	MaerkangrGyalrong	1	U+0028 U+0070 U+0259 U+0072 U+0029 U+0020 U+006b U+0250 U+0020 U+006e U+0064 U+0290 U+0259 U+0074
(qha⁵⁵ʂn̥a⁵⁵)_kuə⁵⁵	qʰ a ⁵⁵ ʂ n̥ a ⁵⁵ + k u ə ⁵⁵	(qha⁵⁵ʂn̥a⁵⁵) kuə⁵⁵	QueyuXinlong	1	U+0028 U+0071 U+0068 U+0061 U+2075 U+2075 U+0282 U+006e U+0325 U+0061 U+2075 U+2075 U+0029 U+0020 U+006b U+0075 U+0259 U+2075 U+2075
(rlɯ⁵⁵)_tə⁵⁵mtɕhe⁵⁵	r l ɯ ⁵⁵ + t ə ⁵⁵ m tɕ h e ⁵⁵	(rlɯ⁵⁵) tə⁵⁵mtɕhe⁵⁵	QueyuXinlong	1	U+0028 U+0072 U+006c U+026f U+2075 U+2075 U+0029 U+0020 U+0074 U+0259 U+2075 U+2075 U+006d U+0074 U+0255 U+0068 U+0065 U+2075 U+2075
(se⁵⁵_ʂpe⁵⁵)_ble⁵⁵	s e ⁵⁵ + ʂ p e ⁵⁵ + b l e ⁵⁵	(se⁵⁵ ʂpe⁵⁵) ble⁵⁵	QueyuXinlong	1	U+0028 U+0073 U+0065 U+2075 U+2075 U+0020 U+0282 U+0070 U+0065 U+2075 U+2075 U+0029 U+0020 U+0062 U+006c U+0065 U+2075 U+2075
(tsi³³tʂu⁵⁵)_tə³³dʑɐ⁵³	ts i ³³ ʈʂ u ⁵⁵ + t ə ³³ dʑ ɐ ⁵³	(tsi³³tʂu⁵⁵) tə³³dʑɐ⁵³	MuyaKangding	1	U+0028 U+0074 U+0073 U+0069 U+00b3 U+00b3 U+0074 U+0282 U+0075 U+2075 U+2075 U+0029 U+0020 U+0074 U+0259 U+00b3 U+00b3 U+0064 U+0291 U+0250 U+2075 U+00b3
(tə_rpi)_kɐ_ktor	t ə + r p i + k ɐ + k t o r	(tə rpi) kɐ ktor	MaerkangrGyalrong	1	U+0028 U+0074 U+0259 U+0020 U+0072 U+0070 U+0069 U+0029 U+0020 U+006b U+0250 U+0020 U+006b U+0074 U+006f U+0072
