NUMBER	ENGLISH	LEXIBANK_GLOSS	HUANG_1992_1820	CONCEPTICON_ID	CONCEPTICON_GLOSS	REMOVE
219	the tiger	the tiger	304	846	TIGER	
203	the stone (a piece of)	the stone (a piece of)	43	857	STONE	
224	the tree	the tree	372	906	TREE	
7	the barley (tibetan or highland)	the barley (tibetan or highland)	411	932	BARLEY	
12	the bird	the bird	326	937	BIRD	
15	the blood	the blood	129	946	BLOOD	
229	the water	the water	47	948	WATER	
238	the wind	the wind	9	960	WIND	
242	the woman	the woman	174	962	WOMAN	
161	right	right	711	1019	RIGHT	
425	to yawn	to yawn		1028	YAWN	
76	good	good	1052	1035	GOOD	
80	the hair (of the head)	the hair (of the head)	75	1040	HAIR	
117	light (of weight)	light (of weight)	1015	1052	LIGHT (WEIGHT)	
233	the wheat	the wheat	410	1077	WHEAT	
359	the work	the work		1086	WORK (ACTIVITY)	
169	salty	salty	1076	1091	SALTY	
127	middle	middle	708	1093	MIDDLE	
159	to reside (live)	to reside (live)	1452	1099	RESIDE	
376	to cook	to cook		1100	COOK (SOMETHING)	
375	to climb	to climb		1102	CLIMB	
279	painful	painful		1129	PAINFUL	
218	the thunder	the thunder	8	1150	THUNDER	
397	to open	to open		1156	OPEN	
178	to shoot (an arrow)	to shoot (an arrow)	1611	1172	SHOOT	
247	yesterday	yesterday	739	1174	YESTERDAY	
124	many	many	987	1198	MANY	
237	the wife	the wife	248	1199	WIFE	
324	the husband	the husband		1200	HUSBAND	
52	the feather	the feather	299	1201	FEATHER	
11	big	big	964	1202	BIG	
120	long	long	972	1203	LONG	
298	the bark	the bark		1204	BARK	
222	the tongue	the tongue	139	1205	TONGUE	
249	young	young	1059	1207	YOUNG	
443	I [first person singular]	I [first person singular]		1209	I	
87	heavy	heavy	1014	1210	HEAVY	
446	thou [second person singular]	thou [second person singular]		1215	THOU	
165	the rope	the rope	619	1218	ROPE	
360	the worm	the worm		1219	WORM	
206	the tail	the tail	267	1220	TAIL	
146	the nose	the nose	80	1221	NOSE	
86	the heart	the heart	144	1223	HEART	
119	the liver	the liver	145	1224	LIVER	
305	the day (opposed to night)	the day (opposed to night)		1225	DAY (NOT NIGHT)	
245	the year	the year	777	1226	YEAR	
44	the earth (soil)	the earth (soil)	40	1228	EARTH (SOIL)	
36	dirty	dirty	1086	1230	DIRTY	
142	new	new	1050	1231	NEW	
426	warm (hot)	warm (hot)		1232	WARM	
339	the night	the night		1233	NIGHT	
191	smooth	smooth	1037	1234	SMOOTH	
236	who	who	953	1235	WHO	
232	what	what	954	1236	WHAT	
234	where	where	955	1237	WHERE	
267	how	how		1239	HOW	
259	few	few		1242	FEW	
210	thick	thick	980	1244	THICK	
188	small	small	965	1246	SMALL	
42	the ear	the ear	81	1247	EAR	
49	the eye	the eye	79	1248	EYE	
9	the belly	the belly	96	1251	BELLY	
97	the house	the house	494	1252	HOUSE	
84	the head	the head	74	1256	HEAD	
239	the wing	the wing	298	1257	WING	
183	to sing	to sing	1184	1261	SING	
90	high / tall	high / tall	968	1265	HIGH	
138	narrow	narrow	977	1267	NARROW	
168	the salt	the salt	61	1274	SALT	
81	the hand	the hand	107	1277	HAND	
227	to vomit	to vomit	1535	1278	VOMIT	
379	to fall	to fall		1280	FALL	
312	the fat (grease)	the fat (grease)		1282	FAT (FROM ANIMALS)	
220	today	today	738	1283	TODAY	
96	hot	hot	1062	1286	HOT	
26	cold (of temperature)	cold (of temperature)	1063	1287	COLD	
296	the back	the back		1291	BACK	
5	bad	bad	1053	1292	BAD	
202	the stick	the stick	586	1295	STICK	
64	the foot	the foot	103	1301	FOOT	
68	the fox	the fox	325	1312	FOX	
128	the moon	the moon	4	1313	MOON	
221	tomorrow	tomorrow	742	1329	TOMORROW	
177	the sheep	the sheep	275	1331	SHEEP	
140	the neck	the neck	89	1333	NECK	
235	white	white	1006	1335	WHITE	
46	to eat	to eat	1198	1336	EAT	
151	the pig	the pig	284	1337	PIG	
129	morning	morning // the morning	749	1339	MORNING	
205	the sun	the sun	2	1343	SUN	
328	the knife	the knife // knife		1352	KNIFE	
111	to laugh	to laugh	1735	1355	LAUGH	
106	the knee	the knee	101	1371	KNEE	
223	the tooth (front)	the tooth (front)	137	1380	TOOTH	
141	the needle (for sewing)	the needle (for sewing)	578	1382	NEEDLE (FOR SEWING)	
121	the louse	the louse	356	1392	LOUSE	
94	the horn (keratinized skin)	the horn (keratinized skin)	263	1393	HORN (ANATOMY)	
18	the bone	the bone	133	1394	BONE	
166	round	round	990	1395	ROUND	
176	sharp	sharp	1020	1396	SHARP	
40	dry	dry	1028	1398	DRY	
39	to drink	to drink	1370	1401	DRINK	
20	the breast (female)	the breast (female)	94	1402	BREAST	
13	to bite	to bite	1753	1403	BITE	
204	straight	straight	1003	1404	STRAIGHT	
137	the name	the name	687	1405	NAME	
50	far	far	974	1406	FAR	
370	to breathe	to breathe		1407	BREATHE	
85	to hear	to hear	1682	1408	HEAR	
173	to see	to see	1471	1409	SEE	
153	to play	to play	1703	1413	PLAY	
414	to squeeze	to squeeze		1414	SQUEEZE	
213	to think (reflect)	to think (reflect)	1726	1415	THINK (REFLECT)	
409	to sit	to sit		1416	SIT	
104	to kill	to kill	1602	1417	KILL	
35	to dig	to dig	1698	1418	DIG	
380	to fear (be afraid)	to fear (be afraid)		1419	FEAR (BE AFRAID)	
29	to count	to count	1640	1420	COUNT	
8	to be alive	to be alive	1087	1422	BE ALIVE	
53	to fight	to fight	1234	1423	FIGHT	
246	yellow	yellow	1008	1424	YELLOW	
78	green	green	1009	1425	GREEN	
21	to burn [intransitive]	to burn [intransitive]	1269	1428	BURNING	
73	full	full	984	1429	FULL	
200	the star	the star	5	1430	STAR	
384	to freeze (intransitive)	to freeze (intransitive)		1431	FREEZE	
378	to cut	to cut		1432	CUT	
388	to hit	to hit		1433	HIT	
415	to stab	to stab		1434	STAB	
99	to hunt	to hunt	1230	1435	HUNT	
171	to scratch	to scratch	1530	1436	SCRATCH	
413	to split	to split		1437	SPLIT	
419	to swim	to swim		1439	SWIM	
198	to spit	to spit	1688	1440	SPIT	
62	to fly (move through air)	to fly (move through air)	1318	1441	FLY (MOVE THROUGH AIR)	
199	to stand	to stand	1784	1442	STAND	
228	to walk	to walk	1815	1443	WALK	
421	to turn (around)	to turn (around)		1444	TURN AROUND	
27	to come	to come	1491	1446	COME	
74	to give	to give	1345	1447	GIVE	
91	to hold	to hold	1709	1448	HOLD	
401	to rub	to rub		1449	RUB	
155	to push	to push	1689	1452	PUSH	
423	to wash	to wash		1453	WASH	
240	to wipe	to wipe	1163	1454	WIPE	
154	to pull	to pull	1568	1455	PULL	
217	to throw	to throw	1687	1456	THROW	
406	to sew	to sew		1457	SEW	
403	to say	to say		1458	SAY	
172	the sea	the sea	32	1474	SEA	
180	the shoulder	the shoulder	90	1482	SHOULDER	
143	nine	nine	805	1483	NINE	
10	below, under	below, under	732	1485	BELOW OR UNDER	
152	to plant (vegetals, rice)	to plant (vegetals, rice)	1774	1486	PLANT (SOMETHING)	
25	the cloud	the cloud	7	1489	CLOUD	
148	one	one	797	1493	ONE	
34	to die	to die	1651	1494	DIE	
226	two	two	798	1498	TWO	
67	four	four	800	1500	FOUR	
75	the goat	the goat	276	1502	GOAT	
72	the fruit	the fruit	378	1507	FRUIT	
130	the mosquito	the mosquito	360	1509	MOSQUITO	
207	ten	ten	806	1515	TEN	
167	to run	to run	1544	1519	RUN	
383	to forget	to forget		1523	FORGET	
19	the branch	the branch	374	1531	BRANCH	
418	to swell	to swell		1573	SWELL	
59	to float	to float	1553	1574	FLOAT	
187	to sleep	to sleep	1646	1585	SLEEP	
189	to smell (perceive odor) [transitive]	to smell (perceive odor) [transitive]	1707	1586	SMELL (PERCEIVE)	
103	inside	inside	715	1606	INSIDE	
195	the son	the son	220	1620	SON	
98	hundred	hundred	824	1634	HUNDRED	
179	short	short	973	1645	SHORT	
320	the girl	the girl		1646	GIRL	
331	the lightning	the lightning		1654	LIGHTNING	
184	six	six	802	1703	SIX	
175	seven	seven	803	1704	SEVEN	
48	eight	eight	804	1705	EIGHT	
225	twenty	twenty	816	1710	TWENTY	
28	correct (right)	correct (right)	1045	1725	CORRECT (RIGHT)	
231	wet	wet	1029	1726	WET	
281	rotten (of fruits)	rotten (of fruits)		1728	ROTTEN	
186	the sky	the sky	1	1732	SKY	
157	the rainbow	the rainbow	11	1733	RAINBOW	
1	above	above	731	1741	ABOVE	
374	to choose	to choose		1750	CHOOSE	
289	stone (of fruit)	stone (of fruit)		1762	STONE (OF FRUIT)	
243	the wood (material)	the wood (material)	511	1803	WOOD	
30	to cry (weep)	to cry (weep)	1485	1839	CRY	
286	sick	sick		1847	SICK	
196	the sparrow	the sparrow	336	1854	SPARROW	
194	soft	soft	1035	1856	SOFT	
22	to buy	to buy	1516	1869	BUY	
252	before	before		1882	BEFORE	
82	hard	hard	1034	1884	HARD	
4	the armpit	the armpit	92	1886	ARMPIT	
420	to tie (together)	to tie (together)		1917	TIE	
6	the bamboo	the bamboo	389	1927	BAMBOO	
209	there	there	950	1937	THERE	
139	near	near	975	1942	NEAR	
33	the dew	the dew	15	1977	DEW	
326	the intestines	the intestines		1991	INTESTINES	
60	to flow	to flow	1502	2003	FLOW	
37	the dog	the dog	289	2009	DOG	
160	the rice plant	the rice plant	439	2026	RICE PLANT	
71	the frost	the frost	14	2034	FROST	
303	the child	the child		2099	CHILD	
123	the man (male human)	the man (male human) // male	173	2106	MALE PERSON	
147	old (of person)	old (of person)	1058	2112	OLD (AGED)	
136	the nail (fingernail or claw)	the nail (fingernail or claw)	113	2128	CLAW OR NAIL	
133	the mouse or rat	the mouse or rat	320	2139	MUROID (MOUSE OR RAT)	
125	to marry (a man marries a woman)	to marry (a man marries a woman)	1578	2164	MARRY (AS MAN)	
70	the front (front side)	the front (front side)	712	2194	FRONT (PART)	
365	thin (object)	thin (object)		2249	THIN (OF SHAPE OF OBJECT)	
45	the earthworm	the earthworm	363	2350	EARTHWORM	
38	the dream	the dream	699	2374	DREAM	
93	horizontal	horizontal	1001	2376	HORIZONTAL	
430	wide	wide		2531	BROAD	
391	to know	to know		3626	KNOW	
