ID,Name,Concepticon_ID,Concepticon_Gloss,Huang_1992_1820_ID,Number,Lexibank_Gloss
41_thedust,the dust,2,DUST,45,,the dust
55_firewood,firewood,10,FIREWOOD,534,,firewood
145_noon,noon,12,MIDDAY,750,,noon
341_thenoon,the noon,12,MIDDAY,,,the noon
149_theotter,the otter,15,OTTER,317,,the otter
208_that,that,78,THAT,947,,that
2_all,all,98,ALL,962,,all
265_here,here,136,HERE,,,here
372_toburntransitive,to burn [transitive],141,BURN (SOMETHING),,,to burn [transitive]
92_thehoof,the hoof,152,HOOF,264,,the hoof
158_red,red,156,RED,1007,,red
14_black,black,163,BLACK,1005,,black
16_toblowofwind,to blow (of wind),175,BLOW (OF WIND),1738,,to blow (of wind)
17_thebodyhairhairorfur,the body hair (hair or fur),189,HAIR (BODY),266,,the body hair (hair or fur) // the hair
278_other,other,197,OTHER,,,other
116_toliedown,to lie down,215,LIE DOWN,1661,,to lie down
54_thefire,the fire,221,FIRE,18,,the fire
56_thefish,the fish,227,FISH,351,,the fish
58_theflea,the flea,232,FLEA,355,,the flea
61_theflower,the flower,239,FLOWER,377,,the flower
114_left,left,244,LEFT,710,,left
63_thefog,the fog,249,FOG,16,,the fog
144_thenit,the nit,267,NIT,357,,the nit
105_toknead,to knead,274,KNEAD,1594,,to knead
115_tolick,to lick,319,LICK,1674,,to lick
23_tochew,to chew,321,CHEW,1424,,to chew
182_thesickle,the sickle,341,SICKLE,624,,the sickle
65_theforest,the forest,420,FOREST,50,,the forest
110_late,late,477,LATE,1019,,late
118_thelipthelips,the lip (the lips),478,LIP,85,,the lip (the lips)
385_togrow,to grow,479,GROW,,,to grow
181_shy,shy,487,SHY,1365,,shy
216_three,three,492,THREE,799,,three
57_five,five,493,FIVE,801,,five
69_thefrog,the frog,503,FROG,349,,the frog
113_tolearn,to learn,504,LEARN,1742,,to learn
241_thewolf,the wolf,522,WOLF,324,,the wolf
3_theant,the ant,587,ANT,365,,the ant
387_tohideconceal,to hide (conceal),602,HIDE (CONCEAL),,,to hide (conceal)
77_thegrass,the grass,606,GRASS,436,,the grass
79_thehail,the hail,609,HAIL,13,,the hail
95_thehorse,the horse,615,HORSE,268,,the horse
102_theice,the ice,617,ICE,17,,the ice
109_thelake,the lake,624,LAKE,31,,the lake
112_theleaf,the leaf,628,LEAF,376,,the leaf
126_themeat,the meat,634,MEAT,443,,the meat
132_themountain,the mountain,639,MOUNTAIN,23,,the mountain
135_themud,the mud,640,MUD,46,,the mud
295_theashes,the ashes,646,ASH,,,the ashes
156_therain,the rain,658,RAIN (PRECIPITATION),10,,the rain
162_theriver,the river,666,RIVER,30,,the river
163_theroad,the road,667,ROAD,38,,the road
164_theroot,the root,670,ROOT,375,,the root
170_thesand,the sand,671,SAND,44,,the sand
43_early,early,672,EARLY,1018,,early
134_themouth,the mouth,674,MOUTH,84,,the mouth
250_theshit,the shit,676,SHIT (DEFECATE),151,,the shit
343_theperson,the person,683,PERSON,,,the person
122_thelung,the lung,688,LUNG,143,,the lung
31_dark,dark,706,DARK,1013,,dark
201_tosteal,to steal,713,STEAL,1686,,to steal
174_theseed,the seed,714,SEED,405,,the seed
192_thesnake,the snake,730,SNAKE,347,,the snake
47_theegg,the egg,744,EGG,450,,the egg
244_tosowbroadcastscatterseeds,"to sow (broadcast, scatter seeds)",748,SOW SEEDS,1597,,"to sow (broadcast, scatter seeds)"
150_outside,outside,762,OUTSIDE,714,,outside
185_theskin,the skin,763,SKIN,120,,the skin
346_theroof,the roof,769,ROOF,,,the roof
190_thesmoke,the smoke,778,SMOKE (EXHAUST),19,,the smoke
193_thesnow,the snow,784,SNOW,12,,the snow
211_thethigh,the thigh,800,THIGH,100,,the thigh
197_thespider,the spider,843,SPIDER,361,,the spider
219_thetiger,the tiger,846,TIGER,304,,the tiger
203_thestoneapieceof,the stone (a piece of),857,STONE,43,,the stone (a piece of)
224_thetree,the tree,906,TREE,372,,the tree
7_thebarleytibetanorhighland,the barley (tibetan or highland),932,BARLEY,411,,the barley (tibetan or highland)
12_thebird,the bird,937,BIRD,326,,the bird
15_theblood,the blood,946,BLOOD,129,,the blood
229_thewater,the water,948,WATER,47,,the water
238_thewind,the wind,960,WIND,9,,the wind
242_thewoman,the woman,962,WOMAN,174,,the woman
161_right,right,1019,RIGHT,711,,right
425_toyawn,to yawn,1028,YAWN,,,to yawn
76_good,good,1035,GOOD,1052,,good
80_thehairofthehead,the hair (of the head),1040,HAIR,75,,the hair (of the head)
117_lightofweight,light (of weight),1052,LIGHT (WEIGHT),1015,,light (of weight)
233_thewheat,the wheat,1077,WHEAT,410,,the wheat
359_thework,the work,1086,WORK (ACTIVITY),,,the work
169_salty,salty,1091,SALTY,1076,,salty
127_middle,middle,1093,MIDDLE,708,,middle
159_toresidelive,to reside (live),1099,RESIDE,1452,,to reside (live)
376_tocook,to cook,1100,COOK (SOMETHING),,,to cook
375_toclimb,to climb,1102,CLIMB,,,to climb
279_painful,painful,1129,PAINFUL,,,painful
218_thethunder,the thunder,1150,THUNDER,8,,the thunder
397_toopen,to open,1156,OPEN,,,to open
178_toshootanarrow,to shoot (an arrow),1172,SHOOT,1611,,to shoot (an arrow)
247_yesterday,yesterday,1174,YESTERDAY,739,,yesterday
124_many,many,1198,MANY,987,,many
237_thewife,the wife,1199,WIFE,248,,the wife
324_thehusband,the husband,1200,HUSBAND,,,the husband
52_thefeather,the feather,1201,FEATHER,299,,the feather
11_big,big,1202,BIG,964,,big
120_long,long,1203,LONG,972,,long
298_thebark,the bark,1204,BARK,,,the bark
222_thetongue,the tongue,1205,TONGUE,139,,the tongue
249_young,young,1207,YOUNG,1059,,young
443_ifirstpersonsingular,I [first person singular],1209,I,,,I [first person singular]
87_heavy,heavy,1210,HEAVY,1014,,heavy
446_thousecondpersonsingular,thou [second person singular],1215,THOU,,,thou [second person singular]
165_therope,the rope,1218,ROPE,619,,the rope
360_theworm,the worm,1219,WORM,,,the worm
206_thetail,the tail,1220,TAIL,267,,the tail
146_thenose,the nose,1221,NOSE,80,,the nose
86_theheart,the heart,1223,HEART,144,,the heart
