ID,Name,Concepticon_ID,Concepticon_Gloss,Huang_1992_1820_ID,Number,Lexibank_Gloss
201_tosteal,to steal,713,STEAL,1686,201,['to steal']
174_theseed,the seed,714,SEED,405,174,['the seed']
192_thesnake,the snake,730,SNAKE,347,192,['the snake']
47_theegg,the egg,744,EGG,450,47,['the egg']
1597_tosowbroadcastscatterseeds,"to sow (broadcast, scatter seeds)",748,SOW SEEDS,244,1597,"['to sow (broadcast, scatter seeds)']"
150_outside,outside,762,OUTSIDE,714,150,['outside']
185_theskin,the skin,763,SKIN,120,185,['the skin']
346_theroof,the roof,769,ROOF,,346,['the roof']
190_thesmoke,the smoke,778,SMOKE (EXHAUST),19,190,['the smoke']
193_thesnow,the snow,784,SNOW,12,193,['the snow']
211_thethigh,the thigh,471,UPPER LEG (THIGH),100,211,['the thigh']
197_thespider,the spider,843,SPIDER,361,197,['the spider']
219_thetiger,the tiger,846,TIGER,304,219,['the tiger']
203_thestoneapieceof,the stone (a piece of),857,STONE,43,203,['the stone (a piece of)']
224_thetree,the tree,906,TREE,372,224,['the tree']
7_thebarleytibetanorhighland,the barley (tibetan or highland),932,BARLEY,411,7,['the barley (tibetan or highland)']
12_thebird,the bird,937,BIRD,326,12,['the bird']
15_theblood,the blood,946,BLOOD,129,15,['the blood']
229_thewater,the water,948,WATER,47,229,['the water']
238_thewind,the wind,960,WIND,9,238,['the wind']
242_thewoman,the woman,962,WOMAN,174,242,['the woman']
161_right,right,1019,RIGHT,711,161,['right']
425_toyawn,to yawn,1028,YAWN,,425,['to yawn']
76_good,good,1035,GOOD,1052,76,['good']
80_thehairofthehead,the hair (of the head),2648,HAIR (HEAD),75,80,['the hair (of the head)']
117_lightofweight,light (of weight),1052,LIGHT (WEIGHT),1015,117,['light (of weight)']
233_thewheat,the wheat,1077,WHEAT,410,233,['the wheat']
359_thework,the work,984,WORK (LABOUR),,359,['the work']
169_salty,salty,1091,SALTY,1076,169,['salty']
127_middle,middle,1093,MIDDLE,708,127,['middle']
159_toresidelive,to reside (live),363,"DWELL (LIVE, RESIDE)",1452,159,['to reside (live)']
376_tocook,to cook,1100,COOK (SOMETHING),,376,['to cook']
375_toclimb,to climb,1102,CLIMB,,375,['to climb']
279_painful,painful,1129,PAINFUL,,279,['painful']
218_thethunder,the thunder,1150,THUNDER,8,218,['the thunder']
397_toopen,to open,1156,OPEN,,397,['to open']
178_toshootanarrow,to shoot (an arrow),1172,SHOOT,1611,178,['to shoot (an arrow)']
247_yesterday,yesterday,1174,YESTERDAY,739,247,['yesterday']
124_many,many,1198,MANY,987,124,['many']
237_thewife,the wife,1199,WIFE,248,237,['the wife']
324_thehusband,the husband,1200,HUSBAND,,324,['the husband']
52_thefeather,the feather,1201,FEATHER,299,52,['the feather']
11_big,big,1202,BIG,964,11,['big']
120_long,long,1203,LONG,972,120,['long']
298_thebark,the bark,1204,BARK,,298,['the bark']
222_thetongue,the tongue,1205,TONGUE,139,222,['the tongue']
249_young,young,1207,YOUNG,1059,249,['young']
443_ifirstpersonsingular,I [first person singular],1209,I,,443,['I [first person singular]']
87_heavy,heavy,1210,HEAVY,1014,87,['heavy']
446_thousecondpersonsingular,thou [second person singular],1215,THOU,,446,['thou [second person singular]']
165_therope,the rope,1218,ROPE,619,165,['the rope']
360_theworm,the worm,1219,WORM,,360,['the worm']
206_thetail,the tail,1220,TAIL,267,206,['the tail']
146_thenose,the nose,1221,NOSE,80,146,['the nose']
86_theheart,the heart,1223,HEART,144,86,['the heart']
119_theliver,the liver,1224,LIVER,145,119,['the liver']
305_thedayopposedtonight,the day (opposed to night),1225,DAY (NOT NIGHT),,305,['the day (opposed to night)']
245_theyear,the year,1226,YEAR,777,245,['the year']
44_theearthsoil,the earth (soil),1228,EARTH (SOIL),40,44,['the earth (soil)']
36_dirty,dirty,1230,DIRTY,1086,36,['dirty']
142_new,new,1231,NEW,1050,142,['new']
426_warmhot,warm (hot),1232,WARM,,426,['warm (hot)']
339_thenight,the night,1233,NIGHT,,339,['the night']
