ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Benzi,Sagart_ID
Bantawa-57_five-1,33912,Bantawa,57_five,cʰuk-ka,cʰuk-ka,cʰ u k + k a,,Jongens2009,,,^cʰ u k-k a$,default,,33912
Bantawa-260_forget-1,33919,Bantawa,260_forget,manma,manma,m a n m a,,Jongens2009,,,^m a n m a$,default,,33919
Bantawa-261_four-1,33920,Bantawa,261_four,lek-ka,lek-ka,l e k + k a,,Jongens2009,,,^l e k-k a$,default,,33920
Bantawa-262_full-1,33926,Bantawa,262_full,bʰeplo,bʰeplo,bʱ e p l o,,Jongens2009,,,^bʰ e p l o$,default,,33926
Bantawa-76_good-1,33929,Bantawa,76_good,nuwak,nuwak,n u w a k,,Jongens2009,,,^n u w a k$,default,,33929
Bantawa-264_hard-1,33934,Bantawa,264_hard,cʰakma (cʰakta),cʰakma (cʰakta),cʰ a k m a + cʰ a k t a,,Jongens2009,,,^cʰ a k m a + ( cʰ a k t a ) $,default,,33934
Bantawa-83_heorshethirdpersonsingular-1,33935,Bantawa,83_heorshethirdpersonsingular,kʰo,kʰo,kʰ o,,Jongens2009,,,^kʰ o$,default,,33935
Bantawa-87_heavy-1,33939,Bantawa,87_heavy,gəhək,gəhək,g ə h ə k,,Jongens2009,,,^g ə h ə k$,default,,33939
Bantawa-265_here-1,33940,Bantawa,265_here,otni,otni,o t n i,,Jongens2009,,,^o t n i$,default,,33940
Bantawa-90_hightall-1,33942,Bantawa,90_hightall,ɨkiwaŋ,ɨkiwaŋ,ɨ k i w a ŋ,,Jongens2009,,,^ɨ k i w a ŋ$,default,,33942
Bantawa-90_hightall-2,33943,Bantawa,90_hightall,jʰonma (jʰonta),jʰonma (jʰonta),dzʱ o n m a + dzʱ o n t a,,Jongens2009,,,^jʰ o n m a + ( jʰ o n t a ) $,default,,33943
Bantawa-96_hot-1,33947,Bantawa,96_hot,hakma (hakta),hakma (hakta),h a k m a + h a k t a,,Jongens2009,,,^h a k m a + ( h a k t a ) $,default,,33947
Bantawa-103_inside-1,33952,Bantawa,103_inside,hut,hut,h u t,,Jongens2009,,,^h u t$,default,,33952
Bantawa-103_inside-2,33953,Bantawa,103_inside,hutda,hutda,h u t d a,,Jongens2009,,,^h u t d a$,default,,33953
Bantawa-107_knife-1,33957,Bantawa,107_knife,curi,curi,c u r i,,Jongens2009,,,^c u r i$,default,,33957
Bantawa-107_knife-2,33958,Bantawa,107_knife,dabi,dabi,d a b i,,Jongens2009,,,^d a b i$,default,,33958
Bantawa-268_late-1,33961,Bantawa,268_late,paŋma (paŋsa),paŋma (paŋsa),p a ŋ m a + p a ŋ s a,,Jongens2009,,,^p a ŋ m a + ( p a ŋs a ) $,default,,33961
Bantawa-269_left-1,33965,Bantawa,269_left,beŋwa,beŋwa,b e ŋ w a,,Jongens2009,,,^b e ŋw a$,default,,33965
Bantawa-270_lightofweight-1,33969,Bantawa,270_lightofweight,yaŋlok,yaŋlok,y a ŋ l o k,,Jongens2009,,,^y a ŋ l o k$,default,,33969
Bantawa-120_long-1,33972,Bantawa,120_long,ɨkiwaŋ,ɨkiwaŋ,ɨ k i w a ŋ,,Jongens2009,,,^ɨ k i w a ŋ$,default,,33972
Bantawa-272_many-1,33976,Bantawa,272_many,cɨlok,cɨlok,c ɨ l o k,,Jongens2009,,,^c ɨ l o k$,default,,33976
Bantawa-127_middle-1,33979,Bantawa,127_middle,majʰan,majʰan,m a dzʱ a n,,Jongens2009,,,^m a jʰ a n$,default,,33979
Bantawa-273_morning-1,33981,Bantawa,273_morning,wayɨŋ,wayɨŋ,w a y ɨ ŋ,,Jongens2009,,,^w a y ɨ ŋ$,default,,33981
Bantawa-275_new-1,33992,Bantawa,275_new,nuŋwa,nuŋwa,n u ŋ w a,,Jongens2009,,,^n u ŋw a$,default,,33992
