ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
38041	I [first person singular]			mjo	mjo	m j o			38041		105
5087	I [first person singular]	我	I	ŋa²	ŋa²	ŋ a ²			5087		327
38141	above			tɕhjaa	tɕhjaa	tɕh jaa			38141		10178
38176	all			zji	zji	z ji			38176		0
105	all	全部	all	zji¹	zji¹	z j i ¹			105		0
38196	all			rjur	rjur	r ju r			38196		0
38078	bad			niow	niow	n i o w			38078		10179
38146	below, under			khju	khju	kh ju			38146		10180
38013	big			khwej	khwej	kh w e j			38013		10181
741	black	黑	black	njaa¹	njaa¹	n j aa ¹			741		511
1536	cold (of temperature)	冷	cold	dạ²	dạ²	d ạ/a ²			1536		1002
38018	cold (of temperature)			dʑjij	dʑjij	dʑ ji j			38018		10187
1695	correct (right)	对		ɴgrig	ɴgrig				1695		0
38182	correct (right)			tɕjɨj	tɕjɨj	tɕ jɨ j			38182		0
38147	dark			mur	mur	m u r			38147		4209
38136	dirty			tɕior	tɕior	tɕ i o r			38136		10192
2278	dry	干	dry	rowr¹	rowr¹	r o w r ¹			2278		993
38119	eight			jar	jar	j a r			38119		183
38022	far			khwa	khwa	kh w a			38022		10197
38178	firewood			sjɨ mə	sjɨ mə	s jɨ m ə			38178		0
38040	five			ŋwə	ŋwə	ŋ wə			38040		10357
37958	four			ljɨɨr	ljɨɨr	l j ɨɨ/ɨː r			37958		263
3868	full	满	full	sə¹	sə¹	s ə ¹			3868		1357
3974	good	好	good	ŋạ²	ŋạ²	ŋ ạ/a ²			3974		1682
4080	green	绿	green	ŋwər¹	ŋwər¹	ŋ w ə r ¹			4080		1098
38025	hard			.jijr 1.74	.jijr 1.74	j ij r			38025		341
38133	he or she [third person singular]			tsjij	tsjij	ts ji j			38133		1296
37974	heavy			ljɨɨ	ljɨɨ	l j ɨɨ/ɨː			37974		10379
38167	here								38167		0
37999	high / tall			bjij	bjij	b ji j			37999		896
38148	horizontal								38148		0
38035	hot			tsja	tsja	ts ja		tib tsha	38035		586
38139	hundred			jir	jir	j i r			38139		185
38059	inside			u	u	u			38059		4214
38184	knife			bjɨr	bjɨr	b jɨ r			38184		0
38071	late			nej²	nej²	n e j ²			38071		4207
38015	left			ʑji.	ʑji.	ʑ j i./i			38015		816
37982	light (of weight)			jij	jij	j i j			37982		10542
38011	long			dʑjo	dʑjo	dʑ j o			38011		675
5882	long	长	long	zjir²	zjir²	z j i r ²			5882		547
38072	many			mjaa	mjaa	m jaa			38072		3473
38203	many			rejr	rejr	r e j r			38203		3496
38114	middle			zji.j	zji.j	z j i./i j			38114		1126
38031	morning			mji.j	mji.j	m j i./i j			38031		4208
38204	narrow			dʑjii	dʑjii	dʑ jii			38204		4146
38205	narrow			tɕhjɨ	tɕhjɨ	tɕh ji			38205		4147
38060	near			bjij	bjij	b ji j			38060		4148
6783	new	新	new	sjiw¹	sjiw¹	s j i w ¹			6783		997
38099	nine			gjɨɨ	gjɨɨ	g j ɨɨ/ɨː			38099		24
38142	noon			ljij	ljij	l ji j			38142		4217
6995	not	不	not	mji¹	mji¹	m j i ¹			6995		0
38067	old (of person)			nar	nar	n a r			38067		2051
7101	one	一	one	lew¹	lew¹	l e w ¹			7101		302
38190	one			gjɨ	gjɨ	g jɨ			38190		1249
38087	outside			djɨr 2.77	djɨr 2.77	d j ɨ r			38087		10562
7684	red	红	red	njij¹	njij¹	n j i j ¹			7684		1306
38021	right			tɕier	tɕier	tɕ i e r			38021		920
38090	round			io.	io.	i o./a			38090		4159
8161	round	圆	round	low²	low²	l o w ²			8161		403
38145	salty			tɕhjwi	tɕhjwi	tɕh jwi			38145		4200
38122	seven			ɕja.	ɕja.	ɕ j a./a			38122		4166
38006	sharp			rewr	rewr	r e w r			38006		4167
38088	short			wji.j	wji.j	w j i./i j			38088		4169
38181	shy			giee	giee	g i ee			38181		0
38098	six			tɕhjiw	tɕhjiw	tɕh ji w			38098		306
9327	small	小	small	tsəj¹	tsəj¹	ts ə j ¹			9327		440
38189	small			zji	zji	z ji			38189		4181
38207	smooth			lhə² lhie²	lhə² lhie²	lh ə lh ie			38207		4183
38019	soft			wəə	wəə	w əə			38019		3107
38069	straight			twu.	twu.	t w u./u			38069		983
38209	ten			ɣa.	ɣa.	ɣ a./a			38209		364
10599	that	那	that	thja¹	thja¹	tʰ j a ¹			10599		0
38174	that			thja	thja	th ja			38174		0
38210	that			tɕhju	tɕhju	tɕh ju			38210		0
38012	the ant			kjiwr	kjiwr	k ji w r			38012		2954
38107	the armpit								38107		0
211	the ashes	灰	ash	lhjwạ¹	lhjwạ¹	lʰ j w ạ ¹			211		0
38050	the bamboo			lhju.	lhju.	lh j u./u			38050		821
38186	the barley (tibetan or highland)			ɕjij	ɕjij	ɕ ji j			38186		0
476	the belly	肚子	belly	.o¹	.o¹	o ¹			476		10241
37997	the bird			dʑjwow	dʑjwow	dʑ jwo w			37997		3735
635	the bird	鸟	bird	.we¹	.we¹	w e ¹			635		462
794	the blood	血	blood	sjij¹	sjij¹	s j i j ¹			794		29703
38213	the body hair (hair or fur)			mej	mej	m e j			38213		141
953	the bone	骨头	bone	rjɨr¹	rjɨr¹	r j ɨ r ¹			953		2
38113	the branch			.war	.war	w a r			38113		410
1059	the breast (female)	乳房	breasts	ner²	ner²	n e r ²			1059		10185
38125	the breast (female)			new	new	n e w			38125		10186
38214	the child (young human)			gjɨ	gjɨ	g jɨ			38214		0
1483	the cloud	云	cloud	djɨ̣j²	djɨ̣j²	d j ɨ̣ j ²			1483		927
38215	the daughter			mji.j	mji.j	m ji. j			38215		746
38216	the dew			zər	zər	z ə r		tib zil	38216		10257
2119	the dog	狗	dog	khjwɨ¹	khjwɨ¹	kʰ j w ɨ ¹			2119		2065
37960	the dream			mjiij	mjiij	m jii j			37960		10217
38129	the dust			me	me	m e			38129		10194
38217	the dust			lhjɨ	lhjɨ	lh jɨ			38217		1176
2384	the ear	耳朵	ear	nju¹	nju¹	n j u ¹			2384		32
2437	the earth (soil)	土地	earth	dzjiw¹	dzjiw¹	d z j i w ¹			2437		10195
38143	the earthworm			ljɨ. ɕjii	ljɨ. ɕjii	l jɨ. ɕ jii			38143		4205
2543	the egg	鸡蛋	egg	tew¹	tew¹	t e w ¹			2543		10196
2649	the eye	眼睛	eye	mej¹	mej¹	m e j ¹			2649		4
2808	the fat (grease)	脂肪	grease	lhə	lhə	lʰ ə			2808		0
37981	the father			wja	wja	w ja			37981		10198
3179	the fire	火	fire	məə¹	məə¹	m əə ¹			3179		1746
3232	the fish	鱼	fish	ʑju²	ʑju²	ʑ j u ²			3232		804
38083	the flea			lə	lə	l ə			38083		944
38002	the flower			wja.	wja.	w j a./a			38002		10204
38062	the fog			le	le	l e			38062		10216
3603	the foot	脚	foot	khjɨ¹	khjɨ¹	kʰ j ɨ ¹			3603		966
38116	the forest			bo	bo	b o			38116		10219
38164	the fox			nə dʑiə	nə dʑiə	n ə dʑ i ə			38164		4210
38000	the frog			pie.	pie.	p i e./e			38000		145
38187	the front (front side)			rjir	rjir	r ji r			38187		4213
38111	the frost			nja	nja	n ja			38111		4204
37987	the fruit			dew	dew	d e w			37987		2498
38221	the fruit			mjaa	mjaa	m jaa			38221		4085
38112	the goat			tshjɨ	tshjɨ	tsh jɨ			38112		774
38061	the grass			ɕjɨ	ɕjɨ	ɕ jɨ			38061		1361
38058	the hail			mur	mur	m u r			38058		1166
4186	the hair (of the head)	头发	hair	mej²	mej²	m e j ²			4186		2014
38123	the hand			la.	la.	l a./a			38123		229
4239	the hand	手	hand	lạ¹	lạ¹	l ạ/a ¹			4239		229
4345	the head	头	head	ɣu¹	ɣu¹	ɣ u ¹			4345		1426
4451	the heart	心脏	heart	njiij¹	njiij¹	n j ii j ¹			4451		539
38265	the hoof			kwej	kwej	k we j			38265		4212
4769	the horn (keratinized skin)	角	horn	khiwə¹	khiwə¹	kʰ i w ə ¹			4769		312
38179	the horse			rjijr	rjijr	r ji j r			38179		0
38223	the house			kjɨɨr	kjɨɨr	k j ɨɨ/ɨː r			38223		128
38267	the house			jɨj	jɨj	j ɨ j			38267		209
38166	the husband			wə	wə	w ə			38166		0
38151	the ice			wo.	wo.	w o.			38151		1169
5299	the knee	膝	knee	ŋwer²	ŋwer²	ŋ w e r ²			5299		1193
38140	the lake								38140		0
5511	the leaf	叶子	leaf	bạ²	bạ²	b ạ/a ²			5511		881
38026	the lip (the lips)			mər	mər	m ə r			38026		2075
5829	the liver	肝	liver	sji¹	sji¹	s j i ¹			5829		2076
5935	the louse	虱子	louse	ɕjiw²	ɕjiw²	ɕ j i w ²			5935		2077
38047	the lung			tsə.	tsə.	ts ə./ə			38047		716
6041	the man (male human)	男人	man	goor¹	goor¹	g oo r ¹			6041		1210
6147	the meat	肉	flesh	tɕʰji¹	tɕʰji¹	tɕʰ j i ¹			6147		10227
38224	the meat			ɕju	ɕju	ɕ ju			38224		3936
6200	the moon	月亮	moon	lhjị²	lhjị²	lʰ j ị j ²			6200		2081
38149	the mosquito			mə tsji	mə tsji	m ə ts ji			38149		2689
37983	the mother			mja	mja	m ja			37983		3650
6359	the mountain	山	mountain	ŋər¹	ŋər¹	ŋ ə r ¹			6359		3760
38008	the mouse or rat			ɕiwə	ɕiwə	ɕ i wə			38008		10424
6412	the mouth	嘴	mouth	mər	mər	m ə r			6412		4137
38080	the mud			tɕior	tɕior	tɕ i o r			38080		2018
6465	the nail (fingernail or claw)	爪子	claw	dzjị¹	dzjị¹	d z j ị ¹			6465		1194
6518	the name	名字	name	mjiij²	mjiij²	m j ii j ²			6518		18
6677	the neck	脖子	neck	ljwịj¹	ljwịj¹	l j w ị j ¹			6677		122
38081	the needle (for sewing)			ɣa	ɣa	ɣ a			38081		10231
6836	the night	晚上	night	na¹	na¹	n a ¹			6836		0
38160	the nit			ɕju.	ɕju.	ɕ ju.			38160		190
6942	the nose	鼻子	nose	njii²	njii²	n j ii ²			6942		2090
38155	the otter			ɕiow	ɕiow	ɕ i o w			38155		1290
38042	the pig			wa	wa	w a			38042		2092
7578	the rain	雨	person	dzjwo²	dzjwo²	d z j w o ²			7578		4154
38048	the rain			dzju.	dzju.	dz j u./u			38048		4153
38130	the rainbow			tsjwu	tsjwu	ts jwu			38130		4206
38233	the rice plant			rer	rer	r e r			38233		0
38065	the river			mja	mja	m ja			38065		2838
38226	the river			ɕjwa	ɕjwa	ɕ jwa			38226		4156
7896	the road	路	path	tɕja¹	tɕja¹	tɕ j a ¹			7896		1175
8002	the root	根	root	dʑju²	dʑju²	dʑ j u ²			8002		4157
38228	the rope			kwə	kwə	k wə			38228		4158
38044	the salt			tshjɨ	tshjɨ	tsh jɨ			38044		4160
8320	the sand	沙子	sand	bẹ¹	bẹ¹	b ẹ ¹			8320		2415
38183	the sea			ŋjow	ŋjow	ŋ jo w			38183		0
38232	the seed			ljwi	ljwi	l jwi			38232		4165
38127	the sheep			jij	jij	j i j			38127		342
38235	the shit			njaa	njaa	n jaa			38235		4223
37991	the shoulder			wa.	wa.	w a./a			37991		13
38169	the sickle			dʑji.	dʑji.	dʑ ji.			38169		0
9168	the skin	皮肤	skin	dʑjɨ¹	dʑjɨ¹	dʑ j ɨ ¹			9168		2473
38236	the sky			mə	mə	m ə			38236		499
9433	the smoke	烟	smoke	ɣju¹	ɣju¹	ɣ j u ¹			9433		68
37977	the snake			phio	phio	ph i o			37977		70
38115	the snow			wji.	wji.	w j i./i			38115		2372
38238	the son			gji	gji	g ji			38238		4211
38185	the sparrow			so	so	s o			38185		0
38079	the spider			tsju.	tsju.	ts j u./u			38079		4184
10016	the star	星星	star	gjịj¹	gjịj¹	g j ị j ¹			10016		1073
38266	the stick			bo	bo	b o			38266		4186
10175	the stone (a piece of)	石头	stone	lụ¹	lụ¹	l ụ ¹			10175		10582
10334	the sun	太阳	sun	be²	be²	b e ²			10334		3166
38239	the sun			njɨɨ	njɨɨ	n j ɨɨ/ɨː			38239		83
10493	the tail	尾巴	tail	mjiij¹	mjiij¹	m j ii j ¹			10493		84
38118	the thigh			bia.	bia.	b i a./a			38118		4203
38256	the thunder			djii	djii	d jii			38256		4189
38017	the tiger			le	le	l e			38017		1053
11235	the tongue	舌头	tongue	lhjwa	lhjwa	lʰ j w a			11235		715
11288	the tooth (front)	牙齿	tooth	kowr²	kowr²	k o w r ²			11288		4191
11341	the tree	树	tree	sji¹	sji¹	s j i ¹			11341		3396
38192	the tree			phu	phu	p h u			38192		3679
11765	the water	水	water	zjɨɨr²	zjɨɨr²	z j ɨɨ/ɨː r ²			11765		4193
38177	the wheat			lhji.	lhji.	lh ji.			38177		0
38172	the wife			bjij	bjij	b ji j			38172		0
38240	the wife			gji	gji	g ji			38240		0
38241	the wife			mjaa	mjaa	m jaa			38241		0
38005	the wind			ljɨ	ljɨ	l jɨ			38005		994
38084	the wing			dzjwɨ	dzjwɨ	dz jwɨ			38084		282
38162	the wolf			ɕjwɨ	ɕjwɨ	ɕ jwɨ			38162		4201
38242	the wolf			ljɨ	ljɨ	l jɨ			38242		4202
12401	the woman	女人	woman	mjịj¹	mjịj¹	m j ị j ¹			12401		29768
38073	the woman			sji	sji	s ji			38073		4195
38165	the wood (material)			sji	sji	s ji			38165		0
38049	the year			kjiw	kjiw	k ji w			38049		4196
38171	there								38171		0
38245	thick			laa	laa	l aa			38245		977
38156	thin (object)			bji	bji	b ji			38156		3196
38246	this			thjɨ	thjɨ	th jɨ			38246		0
10917	this	这	this	thjɨ²	thjɨ²	tʰ j ɨ ²			10917		0
38168	this			thju	thju	th ju			38168		0
38043	thou [second person singular]			nja	nja	n ja			38043		10588
37959	three			so.	so.	s o./o			37959		283
38086	to be alive			sjwu.	sjwu.	s j w u./u			38086		280
688	to bite	咬	bite	gioo¹	gioo¹	g i oo ¹			688		10182
38134	to bite			kiej	kiej	k i e j			38134		10183
38150	to blow (of wind)			ljɨ wor	ljɨ wor	l jɨ wo r			38150		10184
38094	to burn [intransitive]			njwɨ	njwɨ	n jwɨ			38094		3198
1165	to burn [transitive]	烧	burn	njwɨ̣²	njwɨ̣²	n j w ɨ̣ ²			1165		0
38009	to buy			lwə	lwə	l wə			38009		2333
38089	to chew			gjii	gjii	g jii			38089		1534
1589	to come	来	come	ljịj²	ljịj²	l j ị j ²			1589		10244
38066	to count			sej	sej	s e j			38066		10189
37978	to cry (weep)			ŋwu	ŋwu	ŋ w u			37978		1127
38191	to cry (weep)			lwu.	lwu.	l w u./u			38191		10190
1960	to die	死	die	sji²	sji²	s j i ²			1960		163
37996	to dig			luu	luu	l uu			37996		10191
