ID	CONCEPT	CHINESE	VALUE	FORM	GLOSS_IN_SOURCE	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	the goat	山羊	tʃʰit2	tʃʰit2							
	the fruit	果实	tǝ-ʃi	tǝ-ʃi							
	the mosquito	蚊子	wɐstsɐ2	wɐstsɐ2							
	ten	十	ʃtʃe	ʃtʃe							
	to run	跑	kɐ-rɟǝk	kɐ-rɟǝk				tib. rgyug			
	to forget	忘记	kɐ-jmǝs2	kɐ-jmǝs2							
	the branch	树枝	tɐ-jgɐ2	tɐ-jgɐ2							
	to swell	肿、胀									
	to float	浮									
	to sleep	睡	ka-rma	ka-rma							
	to smell (perceive odor) [transitive]	闻、嗅	kɐ-nɐ-ŋkʰsǝŋkʰsǝt	kɐ-nɐ-ŋkʰsǝŋkʰsǝt							
	inside	里面	wǝ-ŋgu	wǝ-ŋgu							
	the son	儿子	tǝ-tsa	tǝ-tsa							
	hundred	百	pǝrjɐ2	pǝrjɐ2							
	short	短	kǝ-tʃin	kǝ-tʃin							
	the girl	姑娘	mbǝsnam	mbǝsnam							
	the lightning	闪电									
	six	六	kǝ-tʂok	kǝ-tʂok							
	seven	七	kǝ-ʃnǝs	kǝ-ʃnǝs							
	eight	八	wurjat	wurjat							
	twenty	二十	kǝnǝ-ʃtʃe2	kǝnǝ-ʃtʃe2							
	correct (right)	对、正确	ka-wasu	ka-wasu							
	wet	湿	kǝ-ʃtʃit	kǝ-ʃtʃit							
	rotten (of fruits)	腐烂	kǝ-tʃǝ2	kǝ-tʃǝ2							
	the sky	天	lɐmkʰɐ2	lɐmkʰɐ2				tib. nam.mkha'			
	the rainbow	虹									
	above	上方	ata2	ata2							
	to choose	挑选	ka-ntʃʰe	ka-ntʃʰe							
	stone (of fruit)	核儿	wu-ŋgu	wu-ŋgu							
	the wood (material)	木头	ʃe	ʃe							
	to cry (weep)	哭	ka-ŋa-kru	ka-ŋa-kru							
	sick	病	ka-nǝ-wo2	ka-nǝ-wo2							
	the sparrow	麻雀	patsa2	patsa2							
	soft	软	kǝ-nǝ-pu	kǝ-nǝ-pu							
	to buy	买	ka-ki2	ka-ki2							
	before	以前	wɐ-kɐ̂j	wɐ-kɐ̂j							
	hard	硬	kǝ-rko2	kǝ-rko2							
	the armpit	腋下	ta-pjake	ta-pjake							
	to tie (together)	绑	ta-zgrok	ta-zgrok							
	the bamboo	竹子	ɟo	ɟo							
	there	那里	wuti	wuti							
	near	近	kǝ-wat	kǝ-wat							
	the dew	露水	ʃiri	ʃiri							
	the intestines	肠	tǝ-po lɐŋtʃe2	tǝ-po lɐŋtʃe2							
	to flow	（水）流									
	the dog	狗	kʰǝna	kʰǝna							
	the rice plant	水稻	kʰri	kʰri							
	the frost	霜									
	the child	小孩	ta-pu	ta-pu							
	the man (male human)	男人、男性	tǝ-tsa	tǝ-tsa							
	old (of person)	年老	kǝ-mtʂo2	kǝ-mtʂo2							
	the nail (fingernail or claw)	指甲	ta-ndzru	ta-ndzru							
	the mouse or rat	老鼠	puju2	puju2							
	to marry (a man marries a woman)	娶									
	the front (front side)	前面、正面	tǝ-tʂi	tǝ-tʂi							
	thin (object)	薄	kǝ-mba2	kǝ-mba2							
	the earthworm	蚯蚓	kʰɐ-rdulu	kʰɐ-rdulu							
	the dream	梦	ta-rmô	ta-rmô							
	horizontal	横	kǝ-ŋa-mgra	kǝ-ŋa-mgra							
	wide	宽	kǝ-rɟam2	kǝ-rɟam2							
	wide	宽	kǝ-jam2	kǝ-jam2							
	to know	知道	kɐ-ʃi2	kɐ-ʃi2							
