ID	CONCEPT	CHINESE	VALUE	FORM	GLOSS_IN_SOURCE	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	the dust	灰尘	tə-pke2	tə-pke2							
	firewood	柴	ʃe	ʃe							
	noon	中午	saksə2	saksə2							
	the noon	中午	saksə2	saksə2							
	the otter	水獭	tʃʰisram2	tʃʰisram2				tib. chu.sram			
	that	那	wutət	wutət							
	all	全部	kə-tʃet	kə-tʃet							
	here	这里	ʃti	ʃti							
	to burn [transitive]	烧（及物）	ka-plu2	ka-plu2							
	to burn [transitive]	烧（及物）	ka-tʃop	ka-tʃop							
	the hoof	马蹄									
	red	红	kǝ-wu-rne2	kǝ-wu-rne2							
	black	黑	kǝ-nɐk	kǝ-nɐk							
	to blow (of wind)	吹（灰）	ka-wa-pʰo2	ka-wa-pʰo2							
	the body hair (hair or fur)	毛	ta-rɲe2	ta-rɲe2							
	other	其他	kǝ-mak	kǝ-mak							
	to lie down	躺	kə-rmɐ̂	kə-rmɐ̂							
	the fire	火									
	the fish	鱼	tʃibjo	tʃibjo							
	the flea	跳蚤	sor2	sor2							
	the flower	花	tɐ-pɐt	tɐ-pɐt							
	left	左	ka-wu	ka-wu							
	the fog	雾									
	the nit	虮子	mdʒiru	mdʒiru							
	to knead	揉（面）	ka-lni2	ka-lni2							
	to lick	舔	ka-nǝ-ntsok	ka-nǝ-ntsok							
	to chew	嚼	ka-wa-ŋkɐj	ka-wa-ŋkɐj							
	the sickle	镰刀	tǝ-ntwa2	tǝ-ntwa2							
	the forest	森林	ʃikʰa	ʃikʰa				part. tib. kha			
	late	迟	kǝ-mǝ-ŋkʰu	kǝ-mǝ-ŋkʰu							
	the lip (the lips)	嘴唇	tǝ-ʃnos2	tǝ-ʃnos2							
	to grow	生长	kə-ndzɐt	kə-ndzɐt							
	shy	害羞	ka-na-srak2	ka-na-srak2							
	three	三	kǝsam2	kǝsam2							
	five	五	kǝ-mŋo2	kǝ-mŋo2							
	the frog	青蛙	kʰaʃpa2	kʰaʃpa2							
	to learn	学（文化）	kə-slap2	kə-slap2				tib. slob			
	the wolf	狼	spjaŋkǝ2	spjaŋkǝ2				tib. spyang.ku			
	the ant	蚂蚁	kʰɐrok	kʰɐrok							
	to hide (conceal)	藏	ka-ŋa-pki	ka-ŋa-pki							
	the grass	草（总称）	katsa	katsa							
	the hail	冰雹									
	the horse	马	mbro	mbro							
	the ice	冰	ta-rpam2	ta-rpam2							
	the lake	湖	mtsʰo2	mtsʰo2				tib. mtsho			
	the leaf	叶子	tɐ-jwɐk	tɐ-jwɐk							
	the meat	肉	ʃa2	ʃa2				tib. sha			
	the mountain	山	ta-wat	ta-wat							
	the mud	泥巴	tǝ-pke2	tǝ-pke2							
	the mud	黃泥巴 (房背上铺的)	ta-tʂo	ta-tʂo							
	the ashes	草木灰	tɐ-mǝk	tɐ-mǝk							
	the rain	雨	tǝ-mu2	tǝ-mu2							
	the river	大河	mjɐngun2	mjɐngun2							
	the road	路	tʂǝla	tʂǝla							
	the root	根	tɐ-srɐm2	tɐ-srɐm2							
	the sand	沙子									
	early	早	kǝ-nǝ-pʰso2	kǝ-nǝ-pʰso2							
	the mouth	嘴	tǝ-kʰa2	tǝ-kʰa2				tib. kha			
	the shit	屎	tǝ-pʰʃe	tǝ-pʰʃe							
	the person	人	tǝ-rmi2	tǝ-rmi2							
	the lung	肺	tǝ-rtsʰos2	tǝ-rtsʰos2							
	dark	暗、天黑	kǝ-rɲip	kǝ-rɲip							
	to steal	偷	ka-nǝ-ʃmo	ka-nǝ-ʃmo							
	the seed	种子	tǝ-rpi	tǝ-rpi							
	the snake	蛇	kʰabre	kʰabre							
	the egg	蛋	ta-gam	ta-gam							
	to sow (broadcast, scatter seeds)	下种									
	outside	外面	wǝ-pʰo2	wǝ-pʰo2							
	the skin	皮	tǝ-ndʐi	tǝ-ndʐi							
	the roof	房背（平顶）	tǝ-bjo	tǝ-bjo							
	the smoke	烟	tɐ-kʰǝ	tɐ-kʰǝ							
	the snow	雪	tɐ-jpa2	tɐ-jpa2							
	the thigh	大腿									
	the spider	蜘蛛	kʰaʃna2	kʰaʃna2							
	the tiger	老虎	kʰuŋ2	kʰuŋ2							
	the stone (a piece of)	石头	ɟilǝk	ɟilǝk							
	the stone (a piece of)	大石头	rǝgu2	rǝgu2							
	the tree	树	ʃikpʰu2	ʃikpʰu2							
	the barley (tibetan or highland)	青稞	swi2	swi2							
	the bird	鸟	patsa2	patsa2							
	the blood	血	ta-ʃi	ta-ʃi							
	the water	水	tǝ-tʃi	tǝ-tʃi							
	the wind	风	kʰali2	kʰali2							
	the woman	女人、女性	tǝ-mi	tǝ-mi							
	right	右	kǝ-cʰa	kǝ-cʰa							
	to yawn	打呵欠	tɐ-hɐm2	tɐ-hɐm2							
	good	好	kǝ-haw	kǝ-haw				ch.			
	the hair (of the head)	头发	ta-ko rɲe2	ta-ko rɲe2							
	light (of weight)	轻	kǝ-jo2	kǝ-jo2							
	the wheat	小麦	ti	ti							
	the work	工作	ta-ma	ta-ma							
	salty	咸	kǝ-tsri2	kǝ-tsri2							
	middle	中间	tǝ-la	tǝ-la							
	to reside (live)	居住	kə-ɲi2	kə-ɲi2							
	to cook	煮									
	to climb	爬（树）	kɐ-mɐ-jkǝ2	kɐ-mɐ-jkǝ2							
	painful	疼	ka-zor2	ka-zor2							
	the thunder	雷	ta-rmok	ta-rmok							
	to open	打开	ka-tu2	ka-tu2							
	to shoot (an arrow)	射（箭）									
	yesterday	昨天	məʃer2	məʃer2							
	many	多	kǝ-mca2	kǝ-mca2							
	the wife	妻子	ta-rɟap	ta-rɟap							
	the husband	丈夫	pʰoja	pʰoja							
	the feather	羽毛	tǝ-mŋi	tǝ-mŋi							
	big	大	kǝ-kte2	kǝ-kte2							
	long	长	kǝ-skren2	kǝ-skren2							
	the bark	桦树皮	ntʰwak	ntʰwak							
	the tongue	舌头	tǝ-ʃme2	tǝ-ʃme2							
	young	年轻	ta-bli kǝ-tsi2	ta-bli kǝ-tsi2							
	I [first person singular]	我	ŋa	ŋa							
	heavy	重	kǝ-li2	kǝ-li2							
	thou [second person singular]	你	no	no							
	the rope	绳子	tə-mbre	tə-mbre							
	the worm	虫	kǝ-lu	kǝ-lu							
	the tail	尾巴	tɐ-jmi	tɐ-jmi							
	the nose	鼻子	tǝ-ʃna	tǝ-ʃna							
	the heart	心脏	tǝ-ʃne	tǝ-ʃne							
	the liver	肝	tǝ-pʃu	tǝ-pʃu							
	the day (opposed to night)	白天	sniŋgla	sniŋgla							
	the year	年	wa-pa	wa-pa							
	the earth (soil)	黄土									
	dirty	脏	kǝ-ŋkǝr2	kǝ-ŋkǝr2							
	new	新	kǝ-ʃik	kǝ-ʃik							
	warm (hot)	暖和	kǝ-stse2	kǝ-stse2							
	warm (hot)	温的	kǝ-mpja2	kǝ-mpja2							
	the night	晚上	tǝ-mor	tǝ-mor							
	smooth	光滑	kǝ-mǝ-lek	kǝ-mǝ-lek							
	who	谁	se	se							
	what	什么	tʰe	tʰe							
	where	哪里	kǝti	kǝti							
	how	怎样	tʰe na-psot	tʰe na-psot							
	few	少	kǝ-mne	kǝ-mne							
	thick	厚	kǝ-jak	kǝ-jak							
	small	小	kǝ-tsi2	kǝ-tsi2							
	the ear	耳朵	tǝ-rna2	tǝ-rna2							
	the eye	眼睛	tǝ-mɲak	tǝ-mɲak							
	the belly	肚子	tǝ-pok	tǝ-pok							
	the house	房子	tǝ-tʃim	tǝ-tʃim							
	the head	头	ta-ko	ta-ko							
	the wing	翅膀	ta-rkʰam	ta-rkʰam							
	to sing	唱歌									
	high / tall	高	kǝ-mbro2	kǝ-mbro2							
	narrow	窄	kǝ-wor	kǝ-wor							
	narrow	狭窄	kǝ-tʃor	kǝ-tʃor							
	the salt	盐	tsʰɐ2	tsʰɐ2							
	the hand	手	tɐ-jɐk	tɐ-jɐk							
	to vomit	呕吐	kɐ-mǝ-mpʰɐt	kɐ-mǝ-mpʰɐt							
	to fall	掉落  (to come off) （壁纸之类的）脱落	ka-ʒa	ka-ʒa							
	the fat (grease)	肥膘	wɐ-tʂɐm2	wɐ-tʂɐm2							
	today	今天	mǝsni2	mǝsni2							
	hot	热	kǝ-saʃki	kǝ-saʃki							
	cold (of temperature)	冷	kǝ-mǝʃtak	kǝ-mǝʃtak							
	the back	后背	tɐ-zgǝn2	tɐ-zgǝn2							
	bad	坏	ma kǝ-haw	ma kǝ-haw							
	the stick	棍子	tɐ-dɐr	tɐ-dɐr							
	the foot	脚	ta-me	ta-me							
	the fox	狐狸	kǝtʰuj	kǝtʰuj							
	the moon	月亮	tsǝla	tsǝla							
	tomorrow	明天	sosni	sosni							
	the sheep	绵羊	kǝjo	kǝjo							
	the neck	脖子	tǝ-mki2	tǝ-mki2							
	white	白	kǝ-pram2	kǝ-pram2							
	to eat	吃	ka-za	ka-za							
	the pig	猪	pak	pak							
	morning	早晨	ta-nap2	ta-nap2							
	the sun	太阳	kǝjam	kǝjam							
	the knife	刀	mbǝrtsa2	mbǝrtsa2							
	to laugh	笑	ka-nari2	ka-nari2							
	the knee	膝盖	tə-mŋa	tə-mŋa							
	the tooth (front)	牙齿	tǝ-swa2	tǝ-swa2							
	the needle (for sewing)	针	ta-kap	ta-kap							
	the louse	虱子	sor2	sor2							
	the horn (keratinized skin)	角	tǝ-ru	tǝ-ru							
	the bone	骨头	ʃɐrǝ2	ʃɐrǝ2				tib. sha.rus			
	round	圆（平面、立体）	kǝ-pǝrlor	kǝ-pǝrlor							
	sharp	锋利	ka-mtʃok	ka-mtʃok							
	dry	干	kǝ-ram	kǝ-ram							
	to drink	喝	ka-mot	ka-mot							
	the breast (female)	乳房	tǝ-nu	tǝ-nu							
	to bite	（人）咬	kʰa mtʃik kɐ-lɐt	kʰa mtʃik kɐ-lɐt							
	straight	直	ka-sto2	ka-sto2							
	the name	名字	tǝ-rme2	tǝ-rme2							
	far	远	kǝ-cʰi2 	kǝ-cʰi2 							
	to breathe	喘气									
	to hear	听见	ka-msam	ka-msam							
	to see	看见	ka-mto	ka-mto							
	to play	玩、耍	ka-mbri2	ka-mbri2							
	to squeeze	挤（牙膏）	ka-snar2	ka-snar2							
	to think (reflect)	想（去）	ka-səso2	ka-səso2							
	to sit	坐	ka-ɲi2	ka-ɲi2							
	to kill	杀（人）	ka-sat	ka-sat							
	to dig	掘	ka-lwa2	ka-lwa2							
	to fear (be afraid)	害怕	kɐ-ʒdɐr2	kɐ-ʒdɐr2							
	to count	数（数）	kɐ-rtsǝ2	kɐ-rtsǝ2				tib. rtsis			
	to be alive	（动物）活了	kǝ-sǝso2	kǝ-sǝso2							
	to fight	打架、打仗									
	yellow	黄	kʰserpo	kʰserpo				tib. gser.po			
	green	绿	mdʒamkǝ2	mdʒamkǝ2				tib. ljang.ku			
	to burn [intransitive]	燃烧	kǝ-nat	kǝ-nat							
	full	满	kǝ-mɲot	kǝ-mɲot							
	the star	星星	tsǝwri2	tsǝwri2							
	to freeze (intransitive)	冻									
	to cut	切、剪	ka-ra-ntsik	ka-ra-ntsik							
	to hit	打（人）	ka-top	ka-top							
	to stab	刺	ka-tu2	ka-tu2							
	to hunt	打猎	tɐ-rwɐk ka-pa	tɐ-rwɐk ka-pa							
	to scratch	挠（痒）									
	to split	劈（柴）	ka-pʰja2	ka-pʰja2							
	to swim	游泳、（鱼）游	tǝ-ndʒak ka-pa1	tǝ-ndʒak ka-pa1							
	to spit	吐（痰）									
	to fly (move through air)	飞	ka-bjam2	ka-bjam2							
	to stand	站立	ka-rjap	ka-rjap							
	to walk	走路	ka-ptʂe2	ka-ptʂe2							
	to turn (around)	转回、转身									
	to come	来	ka-po2	ka-po2							
	to give	送给	kɐ-wu2	kɐ-wu2							
	to hold	握	kɐ-ndʐǝt2	kɐ-ndʐǝt2							
	to rub	揉搓	ka-kle2	ka-kle2							
	to push	推	kɐ-ktʂɐk2	kɐ-ktʂɐk2							
	to wash	洗	ka-rtʃi2	ka-rtʃi2							
	to wipe	擦	kɐ-klɐk	kɐ-klɐk							
	to pull	拉	kɐ-ntʰǝn2	kɐ-ntʰǝn2				tib. 'then			
	to throw	扔	kɐ-pʰʃit	kɐ-pʰʃit							
	to sew	缝	ka-tʂop	ka-tʂop							
	to say	说	ka-rjo2	ka-rjo2							
	to say	说	kɐ-tsəs	kɐ-tsəs							
	the sea	海	rɟɐmmtsʰo2	rɟɐmmtsʰo2				tib. rgya.mtsho			
	the shoulder	肩膀	tǝ-rpak	tǝ-rpak							
	nine	九	kǝ-ngu2	kǝ-ngu2							
	below, under	下方（近指）	ana2	ana2							
	to plant (vegetals, rice)	种（菜）	ka-plu2	ka-plu2							
	the cloud	云	zdem	zdem							
	one	一	kǝ-tek	kǝ-tek							
	to die	死	ka-ʃi2	ka-ʃi2							
	two	二	kǝ-nes2	kǝ-nes2							
	four	四	kǝ-wdi2	kǝ-wdi2							
