ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
22957	I [first person singular]		I	ŋə⁵³	ŋə⁵³	ŋ ə ⁵³			22957		0
22825	above		over / above	jɐ̃³³tɕhø⁵³	jɐ̃³³tɕhø⁵³	j ɐ̃ ∼ ³³ ◦ tɕh ø ⁵³			22825		0
22826	above		over / above	tə³³to²⁴	tə³³to²⁴	t ə ³³ ◦ t o ²⁴			22826		0
21476	all		all / everything	me³³me⁵⁵	me³³me⁵⁵	m e ³³ ◦ m e ⁵⁵			21476		0
22519	bad		bad	tsho⁵⁵βə⁵³	tsho⁵⁵βə⁵³	tsh o ⁵⁵ ◦ β ə ⁵³			22519		0
19044	below, under		below / under	mɐ̃³³tɕhø⁵³	mɐ̃³³tɕhø⁵³	m ɐ̃ ∼ ³³ ◦ tɕh ø ⁵³			19044		0
22828	below, under		below / under	nɑ³³to²⁴	nɑ³³to²⁴	n ɑ ³³ ◦ t o ²⁴			22828		0
22985	big		big / large	ki³³kɐ⁵³	ki³³kɐ⁵³	k i ³³ ◦ k ɐ ⁵³			22985		0
23022	black		black	ȵi⁵⁵ȵi³³	ȵi⁵⁵ȵi³³	ȵ i ⁵⁵ ◦ ȵ i ³³			23022		0
23454	cold (of temperature)		cold (weather, water)	ndza³³ndza⁵⁵	ndza³³ndza⁵⁵	ndz a ³³ ◦ ndz a ⁵⁵			23454	!?	0
20865	correct (right)		right / correct	ɴa³³ (ti⁵⁵)	ɴa³³ (ti⁵⁵)	ɴ a ³³			20865	!	0
23093	dirty		dirty	tɕhɑ⁵⁵mɑ⁵³	tɕhɑ⁵⁵mɑ⁵³	tɕh ɑ ⁵⁵ ◦ m ɑ ⁵³			23093		0
23039	dry		dry	ra³³ra⁵³	ra³³ra⁵³	r a ³³ ◦ r a ⁵³			23039		0
20762	early		early	thɐ⁵⁵xæ⁵³	thɐ⁵⁵xæ⁵³	th ɐ ⁵⁵ ◦ x æ ⁵³			20762		0
22878	eight		eight	ɕuɐ⁵³	ɕuɐ⁵³	ɕ u ɐ ⁵³			22878		0
22879	eight		eight	dʑue⁵³	dʑue⁵³	dʑ u e ⁵³			22879		0
22993	far		far / distant	qhuɐ⁵⁵rɐ⁵³	qhuɐ⁵⁵rɐ⁵³	qh u ɐ ⁵⁵ ◦ r ɐ ⁵³			22993		0
22863	firewood		firewood	tshə³³rø⁵³	tshə³³rø⁵³	tsh ə ³³ ◦ r ø ⁵³			22863		0
23738	five		five	ɴɑ⁵³	ɴɑ⁵³	ɴ ɑ ⁵³			23738		0
22873	five		five	ŋæ⁵³	ŋæ⁵³	ŋ æ ⁵³			22873		0
22871	four		four	ʑi⁵³	ʑi⁵³	ʑ i ⁵³			22871		0
22870	four		four	rə̱⁵³	rə̱⁵³	r ə̱ ⁵³			22870		0
20693	full		full	to⁵⁵sə³³	to⁵⁵sə³³	t o ⁵⁵ ◦ s ə ³³			20693		0
21884	full		full	tə³³sə⁵³	tə³³sə⁵³	t ə ³³ ◦ s ə ⁵³			21884		0
23062	good		good	si⁵⁵βə⁵³	si⁵⁵βə⁵³	s i ⁵⁵ ◦ β ə ⁵³			23062		0
23959	green		green	dʑɑ̃³³khu⁵³	dʑɑ̃³³khu⁵³	dʑ ɑ̃ ∼ ³³ ◦ kh u ⁵³			23959		0
23043	hard		hard	ɴGua³³ɴGua⁵³	ɴGua³³ɴGua⁵³	ɴ ɢ u a ³³ ◦ ɴ ɢ u a ⁵³			23043	?! ɴG	0
22962	he or she [third person singular]		he	wɐ²⁴ tsə³³	wɐ²⁴ tsə³³	w ɐ ²⁴ _ ts ə ³³			22962		0
20390	he or she [third person singular]		he	ɐ⁵³ tsə³³	ɐ⁵³ tsə³³	ɐ ⁵³ _ ts ə ³³			20390		0
23029	heavy		heavy	ɣə³³ɣə⁵³	ɣə³³ɣə⁵³	ɣ ə ³³ ◦ ɣ ə ⁵³			23029		0
