ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	not			-mʌ-							
	the barley (tibetan or highland)			1ɕa							
	the skin			1ɕɛtsɛ							
	the fruit			1ɕindɔ̠							
	male			1ɕipɛ							
	the husband			1ɕipɛ							
	the man (male human)			1ɕipɛ							
	the shit			1ɕʌ̠							
	eight			1ɕʌ-							
	wide			1dede							
	hundred			1dʑɛ							
	the stone (a piece of)			1dʑɔ̠							
	the otter			1dʑʌ̠							
	the road			1dʑʌlʌ							
	the sea			1dʑʌntshy							
	round			1ɡøɡø							
	heavy			1ɣəɣə							
	to tie (together)			1ɣətɕətɕʌ							
	to burn [intransitive]			1ɣətshə							
	to stab		捅（用刀）	1ɣətshɛ							
	the horse			1ɣi							
	round			1ɣøɣø							
	the grass			1ɣu							
	narrow			1ɣuɣu							
	to dig			1ɦa̠qɔ̠							
	to drink			1ɦɛ2tɕhə							
	how			1ɦɛmənə							
	to eat			1ɦɛndzə							
	who			1ɦɛnə							
	to come			1ɦɛthi							
	the rope			1ɦʌ							
	there			1ɦʌkhʌ							
	yesterday			1isə							
	the branch			1jɛɡɛ							
	bad			1kæ̠tɕhæ̠							
	many			1kɛɦi							
	the star			1kɛmɛ							
	the dog			1khə							
	the hail			1khəmba̠dʑɔ̠lɔ̠							
	to stab		percer扎(扎刺)	1khəndzu							
	to marry (a man marries a woman)			1khəthə							
	to pull			1khətshu							
	to bite			1khəvʌ							
	to plant (vegetals, rice)			1khəʐə							
	to sleep			1khi							
	to steal			1khukə							
	to wipe		étaler擦，抹	1khumɛ							
	the year			1ki							
	big			1kikʌ							
	outside			1le							
	the thigh			1lɛɕɛ							
	the work			1lɛkɛ							
	the year			1lø							
	young			1løntɕhɔ̠							
	the wind			1lɔ̠							
	the frog			1mbəmba							
	to reside (live)			1mbi							
	to sit			1mbi							
	the mountain			1mbu							
	the wolf			1mbuletsə							
	the fire			1mə							
	the tail			1mə							
	the dream			1məlʌ							
	the rain			1məndʑa̠							
	the sky			1məɴɢɔ̠							
	the smoke			1məŋkhə							
	female			1məzæ̠							
	the girl			1məzæ̠							
	the daughter			1məzæ̠ 							
	noon			1mɛtə							
	the noon			1mɛtə							
	the eye			1mi							
	the name			1mi							
	right			1miʐʌ							
	the body hair (hair or fur)			1mɔ̠							
	the hair			1mɔ̠							
	the front (front side)			1mɔ̠khɛ							
	the wife			1mɔ̠ɲɔ̠							
	the woman			1mɔ̠ɲɔ̠							
	the ashes			1mɔ̠ʐa̠							
	smooth			1næ̠næ̠							
	the forest			1na̠ɦu							
	to cry (weep)			1na̠ɴɢa̠							
	old (of person)			1ndɛndɛ							
	the meat			1ndɔ̠							
	to hear			1ndɔ̠							
	the fox			1ndzʌ							
	the rice plant			1ndʐe							
	the thunder			1ndʐu							
	wet			1ndʑæ̠ndʑæ̠							
	the bird			1ndʑeɦu							
	the feather			1ndʑeɦumɔ̠							
	thin (object)			1ndʑəndʑə							
	two			1nə-							
	thou [second person singular]			1nəne							
	you [second person plural]			1nɛ							
	to cut			1nɛ̠qʌ̠							
	to flow			1niɣe							
	red			1nini							
	the sun			1nʌ̠							
	rotten (of fruits)			1nʌmbə							
	morning			1nʌnʌ							
	the morning			1nʌnʌ							
	yellow			1nʌ̠nʌ̠							
	to kill			1nʌsʌ							
	to burn [transitive]			1nʌtshə							
	to cut			1nʌtʂhi							
	five			1ɴa̠-							
	correct (right)			1ɴæ̠							
	dark			1ɲiɕuɕu							
	black			1ɲiɲi							
	the ear			1ɲʌ̠qʌ̠søʐø							
	seven			1ɲy-							
	I [first person singular]			1ŋə							
	we [first person plural inclusive]			1ŋənə							
	the lip (the lips)			1ŋətsəʐəmbʌ 							
	nine			1ŋɡə-							
	the foot			1ŋɡʌ							
	today			1pəsə							
	the child			1pətshi							
	the child (young human)			1pətshi							
	middle			1pɛmɛ							
	shy			1phəɣi							
	the dust			1phəlʌ̠							
	above			1pu							
	near			1qæ̠ʐʌ							
	far			1qha̠ʐʌ							
	to cook		煮(肉)	1qhɛ̠ʁæ̠							
	to rub			1qhɔ̠sɔ̠							
	to learn			1qhʌ̠dʑa̠							
	to buy			1qhʌ̠tʌ̠ 							
	to hide (conceal)			1qhʌ̠vʌ̠ 							
	the needle (for sewing)			1ʁa̠							
	the sheep			1ʁæ̠							
	the head			1ʁa̠ lø							
	the hair (of the head)			1ʁa̠mɔ̠ 							
	left			1ʁa̠ʐʌ							
	the neck			1ʁʌ̠tsæ̠							
	the blood			1sæ̠							
	the nose			1sə							
	tomorrow			1sɛsə							
	the day (opposed to night)			1si							
	good			1sivə							
	three			1sɔ̠-							
	the tiger			1ta̠							
	to see			1tæ̠							
	the house			1tɕe							
	the river			1tɕə							
	the water			1tɕə							
	the sand			1tɕəmɛ							
	dirty			1tɕha̠ma̠							
	the bone			1tɕheʐə							
	inside			1tɕhʌ							
	six			1tɕhy-							
	the sparrow			1tɕiŋəuzə							
	warm (hot)			1tɕødidi							
	to grow			1təndzʌ							
	to climb			1təndʑə							
	to fight			1təsəsʌ							
	to split			1təʂə							
	to float			1tətɕhə							
	to say			1tətə							
	to burn [intransitive]			1tətʂy							
	to sing		chanter ; parler ; discuter 唱;说;商量	1təvə							
	to hold			1təzø							
	to stand			1təʐə							
	to fear (be afraid)			1tha̠qa̠							
	to wipe		essuyer (un objet) 擦 (一个整体)	1tha̠sʌ̠sa̠							
	to give			1thʌkhe							
	to cut		cueillir ; couper ; abattre ; moissonner 摘(摘花); 割 ; 砍(砍 树); 收割	1thʌkʌ							
	to play			1thʌntɕhʌ							
	to die			1thʌsə							
	to run			1thʌtsʌxə							
	to push			1thyndy							
	to grow		pousser ; hausser ; grandir 生长 ; 涨(涨水) ; 长大	1tikʌ							
	the lightning			1tilʌ							
	to lick			1tindʑɛlɛ							
	to choose			1tisi							
	to open			1tixɛ							
	full			1tɔ̠sə							
	the fat (grease)			1tsa̠							
	that			1tsə							
	the root			1tsɛɦɛ							
	narrow			1tshetshe							
	the goat			1tshə							
	the salt			1tshə							
	the tree			1tshəphɔ̠							
	firewood			1tshəʐø							
	the wood (material)			1tshəʐø							
	short			1tshøtshø							
	the lung			1tshʌ̠							
	the mouse or rat			1tshʌ̠							
	the lake			1tshy							
	hot			1tsʌtsʌ							
	horizontal			1tʂhentʂhe							
	white			1tʂhøtʂhø							
	warm (hot)			1tʂytʂy							
	to vomit			1tuphʌ							
	one			1tʌ-							
	to hit			1tʌ̠dæ̠							
	other			1tʌphe							
	some			1tʌpi							
	below, under			1væ̠							
	the snow			1və							
	the belly			1vəlø							
	soft			1vəvə							
	the frost			1vɔ̠							
	here			1ʌkhʌ							
	they [third person plural]			1ʌnə							
	he or she [third person singular]			1ʌtsə							
	the tooth (front)			1xə							
	late			1xu							
	the night			1xu							
	where			1xʌti							
	to be alive			1zəzə							
	the horn (keratinized skin)			1zy							
	the earth (soil)			1ʐa̠							
	the wheat			1ʐæ̠							
	dry			1ʐæ̠ʐæ̠							
	the mud			1ʐa̠ta̠mba̠ 							
	the hand			1ʐi							
	thick			1ʐiʐi							
	the snake			1ʐɔ̠							
	the dew			1ʐʌ							
	the tongue			1ʐʌ							
	four			1ʐʌ̠-							
	the earthworm			1ʐʌmbətʂa̠							
	the stick			2dəmbʌ̠							
	green			2dʑæ̠ŋkhu							
	the mother			2ɛmʌ							
	the father			2ɛvʌ							
	the back			2ɡitshi							
	the seed			2ɣə							
	light (of weight)			2ɣiɣi							
	to lie down			2ɦɛɡʌ							
	to lie, rest			2ɦɛɡʌ							
	ten			2ɦɛko-							
	to knead			2ɦɛni							
	what			2ɦɛzə							
	the wing			2ɦuphɛ							
	the heart			2jʌʌ							
	before			2kɛxʌ							
	early			2kɛxʌ							
	to know			2khəkø							
	to know (something)			2khəkø							
	to smell (perceive odor) [transitive]			2khəsønɛ							
	to sew			2khətʂʌ							
	to cook			2khitsə							
	the moon			2lɛ̠nʌ̠							
	the leaf			2lɔ̠ma̠							
	the worm			2mbətʂa̠							
	the roof			2mbʌtʌ							
	all			2meme							
	the flower			2metɔ̠							
	the person			2məni							
	thin			2na̠qha̠							
	thin (slim)			2na̠qha̠							
	to chew			2na̠tsʌ̠tsa̠							
	the mud			2nda̠mba̠							
	the cloud			2ndəʐe							
	the fog			2ndəʐe							
	cold (of temperature)			2ndzæ̠ndzæ̠							
	sharp			2ndza̠ndza̠							
	stone (of fruit)			2ndʐʌbu							
	the ice			2ndʑeku							
	to spit			2nɛdɛ							
	to throw			2nɛdɛ							
	to wash			2nɛ̠tɕhæ̠							
	to wipe			2nɛ̠tɕhæ̠							
	few			2nini							
	to laugh			2niʐi							
	to freeze (intransitive)			2nʌku							
	to play			2nʌndʑundʑə							
	to fall			2nʌzi							
	hard			2ɴɢæ̠ɴɢæ̠							
	the knee			2ɴʌ̠phəla̠							
	the bamboo			2ɲumɛ							
	the mouth			2ŋətsø							
	to shoot (an arrow)			2qhɔ̠lʌ̠							
	to scratch			2qhʌ̠tʂʌ̠na̠							
	the armpit			2qʌ̠lʌ̠æ̠							
	the hoof			2qʌ̠tshʌ̠							
	the shoulder			2ʁæ̠							
	the fish			2ʁʌ̠							
	new			2sɛpɛ							
	to think (reflect)			2sɔ̠							
	the sickle			2sɔ̠le							
	the son			2tɕe							
	the mosquito			2tɕɛntɕhə							
	to count			2tədʑʌ							
	sick			2təŋe							
	to swell			2təʐe							
	to squeeze			2tɛ̠tɕa̠							
	to wipe		essuyer (une surface) 擦(桌子，擦一个面)	2thɛ̠sæ̠							
	to fly (move through air)			2thindʑe							
	high / tall			2thønthø							
	forget			2thʌmə							
	to forget			2thʌmə							
	to play			2thʌtɕhʌ							
	small			2tsətsɛ							
	the nit			2tsheʐʌ̠							
	the louse			2tshʌmʌ							
	the ant			2tʂa̠ni							
	straight			2tʌ̠tʌ̠							
	the egg			2va̠va̠							
	the intestines			2vytɕhæ̠							
	the liver			2zə							
	the nail (fingernail or claw)			2ʐæ̠ndzæ̠							
	knife			2ʐətɕe							
	the knife			2ʐətɕe							
	long			2ʐəʐə							
	to come			2ʐʌ							
	to walk			2ʐʌ̠qæ̠							
	the flea			2ʐʌ̠tshi							
	the pig			2ʑi							
	and			1ʐə							
	painful			2təŋe							
	salty			2tʌ̠qʰæ̠							
	the bark			1kømʌ							
	the breast (female)			2nønø							
	the child (descendant)										
	the leg										
	the rainbow										
	the spider			1ɦimʌqa̠ʐa̠							
	this			1ʌtsə							
	to blow (of wind)			2tuʐə							
	to breathe										
	to hunt			2ŋgɛnʌvə							
	to sow (broadcast, scatter seeds)			1khətə							
	to swim			2tɕhətɕɛkʰədʑʌ							
	to turn (around)			2ɦæ̠ʐʌ̠							
	to yawn			1χa̠							
	twenty			1ɲiɕə							
	when			2zəmʌxʌ							
