ID	CONCEPT	CHINESE	VALUE	FORM	GLOSS_IN_SOURCE	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	below, under	下方（近指）	a-no								
	above	上方（近指）	a-te								
	the horse	马	boro								
	the wolf	狼	ɕɐŋqʌ					Tib. spʲaŋ.ku			
	the ashes	草木灰	ɕe-kʰa-kɯrpi								
	ten	十	ɕi								
	the bamboo	竹子	dʒup								
	left	左	kaɣle								
	other	其他	kake								
	right	右	katʃʰe								
	the wind	风	kʰalɯ								
	the spider	蜘蛛	kʰasne								
	the frog	青蛙	kʰaʃpe								
	the snake	蛇	kʰavri								
	the earthworm	蚯蚓	kʰɐⁿdʐɐj								
	the tiger	老虎	kʰɯm								
	the ant	蚂蚁	kʰwarak								
	to burn [transitive]	烧（香）	ko-va-net								
	narrow	窄	kɯ-gwɐr								
	thick	厚	kɯ-je								
	light (of weight)	轻	kɯ-jo								
	the sheep	绵羊	kɯ-jo								
	big	大	kɯ-kti								
	small	小	kɯ-ktsɐj								
	good	好	kɯ-le								
	wide	宽	kɯ-lom								
	heavy	重	kɯ-lɯ 								
	many	多	kɯ-mne								
	high / tall	高	kɯ-mo-ro								
	cold (of temperature)	冷	kɯ-mɯ-ʃtak								
	to laugh	笑	kɯ-na-rɐj								
	black	黑	kɯ-nak								
	warm (hot)	暖和	kɯ-ntʃɯ-mtʃe								
	four	四	kɯ-plɯ								
	few	少	kɯ-ptsʰo								
	wide	宽	kɯ-rdʑoŋ								
	old (of person)	年老	kɯ-rgan								
	the goat	山羊	kɯ-su								
	to die	死	kɯ-ʃɯ								
	narrow	窄	kɯ-tʃɐr								
	to hear	听见	kɯ-va-ŋak 								
	thin (object)	薄	kɯ-ve								
	red	红	kɯ-vɯ-rni								
	to swell	肿、胀	kɯ-wup								
	to fear (be afraid)	害怕	kɯ-ʒdar								
	the worm	虫	kɯlɯm								
	five	五	kɯmŋo								
	nine	九	kɯngʌ								
	the sun	太阳	kɯnɯ								
	the road	路	kɯri								
	three	三	kɯsam								
	seven	七	kɯʃnɯs								
	the dog	狗	kɯʃɯ								
	the fox	狐狸	kɯtʰwɐj								
	six	六	kɯtʂok								
	all	全部	kɯtʃit								
	the sand	沙子	kɯviɯk								
	the river	小河	kɯziɯr								
	to hold	握	kwa-ndʐit								
	to forget	忘记	kwɐ-jmɯs								
	to sit	坐	kwɐ-ni								
	to play	玩、耍	kwɐ-ntʃʰar								
	to play	玩、耍	kwɐ-nɯ-rkʰe								
	to count	数（数）	kwɐ-rtsɯs								
	to hunt	打猎	kwɐ-rwak								
	to kill	杀（人）	kwɐ-sit								
	straight	直	kwɐ-stu 								
	to fly (move through air)	飞	kwɐ-vjan								
	to give	送给	kwɐ-vɯ								
	to eat	吃	kwɐ-ze								
	to see	看见	kwo-mto								
	to drink	喝	kwo-mup								
	to hear	听见	kwo-mɯs								
	to run	跑	kwo-nɯ-rdʒɯk								
	to come	来	kwo-pû								
	to run	跑	kwo-sku								
	to sew	缝	kwo-tʂup								
