ID	CONCEPT	CHINESE	VALUE	FORM	GLOSS_IN_SOURCE	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	to hit	打（人）	kwo-tup								
	the flea	跳蚤	mdzeji								
	the nit	虮子	mdʒɯrʌ								
	the river	大河	mjamgɯn								
	the flower	花	mwɐtak					Tib. me.tog			
	the forest	森林	nakʃan					Tib. nag.chen			
	thou [second person singular]	你	no								
	I [first person singular]	我	ŋo								
	before		ŋɯme								
	the pig	猪	pak								
	the road	公路	parge								
	the egg	蛋	pɑ-gom								
	the feather	羽毛	pɑ-mwɐj								
	the mosquito	蚊子	pʰɐsi								
	today	今天	pɯ-ʃnɯ								
	hundred	百	pɯrje								
	yesterday	昨天	pɯʃɐ-ʃnɯ								
	the bird	鸟	pwɐ-tse								
	the mouse or rat	老鼠	pwɐjʌ								
	the sea	海	rdʑamtsʰu								
	green	绿	rdʒaⁿgʌ								
	the mud	泥巴	rpi								
	the mountain	山	rɯ					Tib. ri			
	the stone (a piece of)	石头	rɯɢʌ					part. tib. ri			
	the mountain	山	rɯŋgu					Tib. ri.mgo			
	the rope	绳子	sa-lɐk								
	new	新	sarpe								
	the louse	虱子	sɐr								
	yellow	黄	sɐrpu					Tib. sar.po			
	the fog	雾	sŋar-dɯm								
	tomorrow	明天	so-ʃnɯ								
	the roof	房背（平顶）	spʌ								
	the otter	水獭	sram					Tib. sram			
	the barley (tibetan or highland)	青稞	swɐj								
	the meat	肉	ʃapu					Tib. ʃa.po			
	the cooked meat	熟肉	ʃapu kɯ-smi					part. tib. ʃa.po			
	the bone	骨头	ʃarʌ								
	firewood	柴	ʃi								
	the tree	树	ʃi								
	two	二	ta-gʌ								
	below, under	下方（近指）	ta-gwe								
	the grass	草（总称）	ta-jno								
	the snow	雪	ta-jpe								
	the smoke	烟	ta-kʰʌ								
	the head	头	ta-ku								
	the lightning	闪电	ta-le								
	the thigh	大腿	ta-ndi								
	morning	早晨	ta-nep								
	the child	小孩	ta-pʌ 								
	the girl	姑娘	ta-pʌ tɯ-mɯ								
	one	一	ta-rgɐj								
	the wing	翅膀	ta-rkʰom								
	the thunder	雷	ta-rmok								
	the breast (female)	乳房	ta-ro								
	the ice	冰	ta-rpam								
	the shoulder	肩膀	ta-rpiɯk								
	the blood	血	ta-ʃɯ								
	the stick	棍子	ta-tiɯr 								
	young	年轻	ta-vlɯ kɯ-ktsɐj								
	the tail	尾巴	tɐ-jmɯ								
	the wheat	小麦	tɐj								
	the year	年	te-pe								
	the moon	月亮	tsɯle								
	the star	星星	tsɯvrɯ								
	the house	房子	tʃɐm								
	here	这里	tʃi-tɯ								
	the fish	鱼	tʃoŋju								
	the lung	肺	tɯ-ɣlu								
	the hand	手	tɯ-jak								
	the belly	肚子	tɯ-ktu								
	the husband	丈夫	tɯ-kɯ-tʃʰɯ								
	middle	中间	tɯ-li								
	the foot	脚	tɯ-me								
	the neck	脖子	tɯ-mkɯ								
	the eye	眼睛	tɯ-mɲɯk								
	the knee	膝盖	tɯ-mŋa-pa								
	the night	晚上	tɯ-mor								
	noon	中午	tɯ-mtso								
	the armpit	腋下	tɯ-mtʃa-ke								
	the fire	火	tɯ-mɯ								
	the woman	女人、女性	tɯ-mɯ								
	the rain	雨	tɯ-mʌ								
	the sky	天	tɯ-mʌ								
	the wife	妻子	tɯ-mwɐ-tsɐj								
	the sickle	镰刀	tɯ-ntwe								
	the shit	屎	tɯ-pʰʃi								
	the liver	肝	tɯ-pʃi								
	the intestines	肠	tɯ-pu								
	above	上方（近指）	tɯ-rke								
	the name	姓	tɯ-rmi								
	the person	人	tɯ-rmɯ								
	the ear	耳朵	tɯ-rne								
	the hail	冰雹	tɯ-rŋu								
	the horn (keratinized skin)	角	tɯ-rʌ								
	the tooth (front)	牙齿	tɯ-swe								
	the nose	鼻子	tɯ-ʃne								
	the lip (the lips)	嘴唇	tɯ-ʃnɯs								
	the mouth	嘴	tɯ-ʃnɯs								
	the body hair (hair or fur)	毛	tɯ-ʃu								
	the fruit	果实	tɯ-ʃɯ								
	the front (front side)	前面、正面	tɯ-tʂi								
	the man (male human)	男人、男性	tɯ-tʃʰɯ								
	the water	水	tɯ-tʃɯ								
	the rope	绳子	tɯ-vri								
	the hoof	蹄	u-ko-tʂʰʌ								
	the leaf	叶子	wɐ-jmak								
	the skin	皮	wo-dʐɯ								
	inside	里面	wu-gʌ								
	outside	外面	wu-ptʃʰɯ								
	the knife	刀	za-krɯ								
	the cloud	云	zdim								
	the dust	灰尘	zdɯr								
	bad	坏									
	correct (right)	对、正确									
	dark	暗、天黑	ko-rnɯ								
	dirty	脏	ma-kɯ-ʃo								
	dry	干									
	early	早									
	eight	八	vɯ-rje								
	fallen rock (after landslide)	滚落的石头									
	far	远	kɯ-rɐ-tʃʰi								
	full	满									
	hard	硬	kɯ-rko								
	horizontal	横									
	hot	热	kɯ-va-ssi								
	how	怎样									
	late	迟									
	long	长									
	middle	中间、中介									
	narrow	狭窄（心胸）									
	near	近	kə-vet								
	painful	疼									
	rotten (of fruits)	腐烂									
	round	圆（平面、立体）									
	salty	咸									
	sharp	锋利	kɯ-mɯ-rtse								
	short	短	kɯ-ktʃʌn								
	shy	害羞	kwə-na-wan								
	sick	病	u-go								
	smooth	光滑	kɯ-ptʃon								
	soft	软									
	stone (of fruit)	核儿									
	that	那									
	the back	后背	na-rpiɯk								
	the bark	桦树皮									
	the branch	树枝									
	the day (opposed to night)	白天									
	the dew	露水									
	the dream	梦									
	the earth (soil)	黄土									
	the fat (grease)	肥膘									
	the frost	霜									
	the grass on the grassland	草原上的草									
	the hair (of the head)	头发									
	the heart	心脏									
	the lake	湖									
	the nail (fingernail or claw)	指甲									
	the needle (for sewing)	针									
	the rainbow	虹									
	the rice plant	水稻									
	the root	根									
	the salt	盐									
	the seed	种子									
	the son	儿子									
	the sparrow	麻雀									
	the string	细绳									
	the tongue	舌头									
	the wood (material)	木头									
	the work	工作									
	there	那里									
	to be alive	（动物）活了									
	to bite	（人）咬									
	to blow (of wind)	吹（灰）									
	to breathe	喘气									
	to burn [intransitive]	燃烧									
	to buy	买									
	to chew	嚼									
	to choose	挑选									
	to climb	爬（树）									
	to cook	煮									
	to cry (weep)	哭									
	to cry (weep)	哭泣									
	to cut	剪									
	to dig	掘									
	to fall	摔（下来）									
	to fall	倒									
	to fight	打架、打仗									
	to float	浮									
	to flow	（水）流									
	to freeze (intransitive)	冻									
	to grow	长大									
	to grow	生长									
	to grow	长大									
	to grow high	长高									
	to hide (conceal)	藏									
	to hold tightly	握紧									
	to knead	揉（面）									
	to know	知道									
	to learn	学（文化）									
	to lick	舔									
	to lie down	躺									
	to marry (a man marries a woman)	娶									
	to open	打开									
	to plant (vegetals, rice)	种（菜）									
	to pull	拉									
	to pull	拉									
	to push	推									
	to reside (live)	居住									
	to rub	擦									
	to say	讲（一般意义上的说话）									
	to scratch	挠（痒）									
	to shoot (an arrow)	射（箭）									
	to sing	唱歌									
	to sleep	睡									
	to smell (perceive odor) [transitive]	闻、嗅									
	to sow (broadcast, scatter seeds)	下种									
	to spit	吐（痰）									
	to split	劈（柴）									
	to squeeze	挤（牙膏）									
	to stab	刺									
	to stand	站立									
	to steal	偷									
	to swim	游泳、（鱼）游									
	to think (reflect)	想（去）									
	to throw	扔									
	to tie (together)	绑									
	to turn (around)	转回、转身									
	to vomit	呕吐									
	to vomit; throw up	呕吐									
	to walk	走路									
	to wash	洗									
	to wipe	擦									
	to yawn	打呵欠									
	twenty	二十									
	wet	湿									
	what	什么									
	where	哪里									
	white	白									
	who	谁									
