ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	above			tɕʰjæ	tɕʰjæ						
	all			χsəmbə	χsəmbə						
	and			reɡɛ	reɡɛ						
	bad			qʰəmæ	qʰəmæ						
	before			ŋə	ŋə						
	below, under			və	və						
	big			cʰɛ	cʰɛ						
	black			ɲæ	ɲæ						
	cold (of temperature)			rkʰu	rkʰu						
	correct (right)			ŋe	ŋe						
	dark			ʁnɛ	ʁnɛ						
	dirty			rdzɛ	rdzɛ						
	dry			ɣro	ɣro						
	early			ɕwæ	ɕwæ						
	early			bo	bo						
	early			sŋæ	sŋæ						
	eight			rjɛ	rjɛ						
	far			dʑɛdʑi	dʑɛdʑi						
	few			mtɕʰe	mtɕʰe						
	few			ske	ske						
	firewood			ɣməsi	ɣməsi						
	five			nɢvɛ	nɢvɛ						
	four			ɣɮə	ɣɮə						
	full			sɛ	sɛ						
	good			ŋe	ŋe						
	green			rŋə	rŋə						
	hard			rɡi	rɡi						
	heavy			nɮə	nɮə						
	high / tall			mtʰu	mtʰu						
	horizontal			kə-ro ɣə-ro	kə-ro ɣə-ro						
	hot			cʰu	cʰu						
	hundred			rjə	rjə						
	I [first person singular]			ŋæ	ŋæ						
	inside			nə	nə						
	knife			pərzi	pərzi						
	late			tʰo	tʰo						
	left			ʁjuku	ʁjuku						
	light (of weight)			ɣji	ɣji						
	long			dʑi	dʑi						
	many			ɣri	ɣri						
	middle			χcuqu	χcuqu						
	morning			kæɕæ	kæɕæ						
	narrow			toq	toq						
	narrow			xtɕʰe	xtɕʰe						
	near			ɣdo	ɣdo						
	near			skʰədzi	skʰədzi						
	near			nɡɛvdzi	nɡɛvdzi						
	new			χsɛrpæ	χsɛrpæ						
	nine			nɡə	nɡə						
	noon			sɲəχci	sɲəχci						
	not			mjæ	mjæ						
	old (of person)			rɡevʑə	rɡevʑə						
	one			ro	ro						
	other			kʰækʰæ	kʰækʰæ						
	outside			pʰjə	pʰjə						
	painful			ʁzɛr	ʁzɛr						
	red			ndji	ndji						
	right			rcʰəɮæ	rcʰəɮæ						
	rotten (of fruits)			tsə	tsə						
	round			ʁərʁər	ʁərʁər						
	salty			tɕʰə	tɕʰə						
	seven			zɲe	zɲe						
	sharp			skʰfɛ	skʰfɛ						
	short			rji	rji						
	shy			məkæcʰɛ	məkæcʰɛ						
	sick			nɛ	nɛ						
	sick			ŋo	ŋo						
	six			xtɕʰo	xtɕʰo						
	small			de	de						
	small			tse	tse						
	smooth			ndʑɛm	ndʑɛm						
	soft			ndvə	ndvə						
	some			pʰæji	pʰæji						
	some			roji	roji						
	stone (of fruit)			rqʰərqʰæ	rqʰərqʰæ						
	straight			rtəkʰæ	rtəkʰæ						
	ten			zʁɑ	zʁɑ						
	the ant			skʰro	skʰro						
	the armpit			mpʰjɛkəvə	mpʰjɛkəvə						
	the ashes			fɬɛ	fɬɛ						
	the back			qʰosto	qʰosto						
	the bamboo			ʁɮə	ʁɮə						
	the bark			rtɕʰwɑ	rtɕʰwɑ						
	the barley (tibetan or highland)			ɕi	ɕi						
	the belly			vo	vo						
	the bird			vɟo	vɟo						
	the blood			si	si						
	the body hair (hair or fur)			spəspæ	spəspæ						
	the bone			rəræ	rəræ						
	the branch			rɑlɑ	rɑlɑ						
	the branch			qɑvlɑ	qɑvlɑ						
	the breast (female)			nene	nene						
	the child			kedi	kedi						
	the cloud			zdo	zdo						
	the daughter			smi	smi						
	the day (opposed to night)			sɲele	sɲele						
	the dew			rze	rze						
	the dog			kʰətæ	kʰətæ						
	the dream			rɲi	rɲi						
	the dust			fɬɛ	fɬɛ						
	the ear			ɲə	ɲə						
	the earth (soil)			χtsʰə	χtsʰə						
	the earthworm			ɕɑ̃ndʑu	ɕɑ̃ndʑu						
	the earthworm			pæbə	pæbə						
	the egg			zɡəŋæ	zɡəŋæ						
	the eye			mo	mo						
	the fat (grease)			rtsʰirtsʰæ	rtsʰirtsʰæ						
	the father			æpæ	æpæ						
	the feather			spəspæ	spəspæ						
	the fire			ɣmə	ɣmə						
	the fish			ʁjə	ʁjə						
	the flea			zɮu	zɮu						
	the flower			meto	meto						
	the fog			zdomə	zdomə						
	the foot			rko	rko						
	the forest			nɑ	nɑ						
	the fox			ɟwɛ	ɟwɛ						
	the frog			spəncʰɛr	spəncʰɛr						
	the front (front side)			ŋusti	ŋusti						
	the frost			pɛmu	pɛmu						
	the fruit			ɕõtʰo	ɕõtʰo						
	the goat			tsʰɛ	tsʰɛ						
	the grass			tsi	tsi						
	the hail			rmə	rmə						
	the hair			spəspæ	spəspæ						
	the hair (of the head)			ʁəbræ	ʁəbræ						
	the hand			ɮæ	ɮæ						
	the head			ʁə	ʁə						
	the heart			zjær	zjær						
	the hoof			rnupæ	rnupæ						
	the horn (keratinized skin)			qrəmbə	qrəmbə						
	the horse			rji	rji						
	the house			jo	jo						
	the husband			ɣdʑəvə	ɣdʑəvə						
	the husband			pətʰõ	pətʰõ						
	the husband			ndzuvə	ndzuvə						
	the ice			rwo	rwo						
	the intestines			vævə	vævə						
	the knee			rŋə	rŋə						
	the lake			mtsʰu	mtsʰu						
	the leaf			rbɑlɑ	rbɑlɑ						
	the leg			rko	rko						
	the lightning			fɬɛftsə	fɬɛftsə						
	the lip (the lips)			ɣmur	ɣmur						
	the liver			si	si						
	the louse			ɕo	ɕo						
	the lung			rtsʰe	rtsʰe						
	the man (male human)			pəŋæ	pəŋæ						
	the meat			pjɛno	pjɛno						
	the moon			sɬəɣnə	sɬəɣnə						
	the mosquito			pukʰu	pukʰu						
	the mother			æmə	æmə						
	the mountain			rənɡu	rənɡu						
	the mouse or rat			fcə	fcə						
	the mouth			jæ	jæ						
	the mud			nɟɑpɑ	nɟɑpɑ						
	the nail (fingernail or claw)			rnɛrdzə	rnɛrdzə						
	the name			rmə	rmə						
	the neck			vɮi	vɮi						
	the needle (for sewing)			ʁɑv	ʁɑv						
	the night			ɕwæ	ɕwæ						
	the nit			rbænɢe	rbænɢe						
	the noon			sɲəχcʰi	sɲəχcʰi						
	the nose			sni	sni						
	the otter			rsɛm	rsɛm						
	the person			vdzi	vdzi						
	the pig			væ	væ						
	the rain			məqʰi	məqʰi						
	the rainbow			ndʑæ	ndʑæ						
	the rice plant			mbre	mbre						
	the river			ɣrə	ɣrə						
	the road			tɕɛ	tɕɛ						
	the roof			jəʁo	jəʁo						
	the root			lupʰu=ji rko	lupʰu=ji rko						
	the rope			sæmærætsæ	sæmærætsæ						
	the salt			tsʰə	tsʰə						
	the sand			pjəmæ	pjəmæ						
	the sea			mtsʰu	mtsʰu						
	the seed			fɬə	fɬə						
	the sheep			lɑʁɑ	lɑʁɑ						
	the shit			rcɑχpɑ	rcɑχpɑ						
	the shit			ʁɲæ	ʁɲæ						
	the shit			kʰre	kʰre						
	the shoulder			χpõ	χpõ						
	the sickle			ɕɑʁrə	ɕɑʁrə						
	the skin			tɕitɕjæ	tɕitɕjæ						
	the sky			mqo	mqo						
	the smoke			mkʰə	mkʰə						
	the snake			mpʰri	mpʰri						
	the snow			kʰævæ	kʰævæ						
	the son			zi	zi						
	the sparrow			ɣəzə	ɣəzə						
	the spider			mbæqæræ	mbæqæræ						
	the star			skærmæ	skærmæ						
	the star			zɡri	zɡri						
	the stick			pəcæ	pəcæ						
	the stone (a piece of)			rɡəmɛ	rɡəmɛ						
	the sun			ɣnətso	ɣnətso						
	the sun			ɣbə	ɣbə						
	the tail			rŋɑmɑ	rŋɑmɑ						
	the thigh			plɛ	plɛ						
	the thunder			scɑʁlə	scɑʁlə						
	the tiger			stɑ	stɑ						
	the tongue			vɮɛ	vɮɛ						
	the tooth (front)			ɕjə	ɕjə						
	the tree			lupʰu	lupʰu						
	the tree			nɑ	nɑ						
	the water			ɣrə	ɣrə						
	the wheat			ɮi	ɮi						
	the wife			vədæ	vədæ						
	the wind			χpurju	χpurju						
	the wing			fɕoqpæ	fɕoqpæ						
	the wolf			spjõkʰə	spjõkʰə						
	the woman			smi	smi						
	the wood (material)			ɕõ	ɕõ						
	the work			leskæ	leskæ						
	the worm			ɕɑ̃ndʑu	ɕɑ̃ndʑu						
	the year			kwo	kwo						
	there			tʰɛqʰe	tʰɛqʰe						
	thick			rwo	rwo						
	thick			ɣɮæ	ɣɮæ						
	thin (object)			xtsʰo	xtsʰo						
	thin (slim)			pəpə	pəpə						
	this			ədɛ	ədɛ						
	thou [second person singular]			ɲi	ɲi						
	three			xsu	xsu						
	to be alive			xsə	xsə						
	to bite			rcʰɛ	rcʰɛ						
	to blow (of wind)			ɣmɛ	ɣmɛ						
	to blow (of wind)			fu	fu						
	to burn [intransitive]			pərjɛ	pərjɛ						
	to burn [intransitive]			nə	nə						
	to burn [transitive]			spərjɛ	spərjɛ						
	to burn [transitive]			snə	snə						
	to buy			rə	rə						
	to chew			ntɕʰɑχcə	ntɕʰɑχcə						
	to choose			mtsɛr	mtsɛr						
	to climb			ndʑɑlɑ	ndʑɑlɑ						
	to come			ɮɛ	ɮɛ						
	to cook			zʁe	zʁe						
	to count			rtsutʂu	rtsutʂu						
	to cry (weep)			zjoræ	zjoræ						
	to cut			dʐæ	dʐæ						
	to cut			prɑ	prɑ						
	to cut			rtu	rtu						
	to cut			spjæ	spjæ						
	to die			sɛ	sɛ						
	to dig			rnu	rnu						
	to dig			nqʰuræ	nqʰuræ						
	to drink			tʰi	tʰi						
	to eat			nɡə	nɡə						
	to fall			tsæ	tsæ						
	to fall			ɡvɛ	ɡvɛ						
	to fall			zili	zili						
	to fear (be afraid)			scɛr	scɛr						
	to fight			ncʰəncʰə	ncʰəncʰə						
	to fly (move through air)			pjo	pjo						
	to forget			rmə	rmə						
	to freeze (intransitive)			rwo	rwo						
	to give			kʰo	kʰo						
	to grow			jo 	jo 						
	to hear			ntɕʰi	ntɕʰi						
	to hide (conceal)			ndzə	ndzə						
	to hit			ncʰə	ncʰə						
	to hold			zu	zu						
	to hunt			rŋæ	rŋæ						
	to hunt			rmun	rmun						
	to kill			v-sɛ	v-sɛ						
	to knead			rni	rni						
	to know			si	si						
	to know (something)			χɑɡu	χɑɡu						
	to laugh			qʰæ	qʰæ						
	to learn			ndʑi	ndʑi						
	to lick			ndjælæ	ndjælæ						
	to lie down			rɡə	rɡə						
	to open			xcʰi	xcʰi						
	to plant (vegetals, rice)			ɮə	ɮə						
	to play			ncʰæræ	ncʰæræ						
	to play			mɟəɟə	mɟəɟə						
	to pull			ndʑədʑə	ndʑədʑə						
	to push			rko	rko						
	to reside (live)			ndzu	ndzu						
	to rub			xsərni	xsərni						
	to run			nɟəræ	nɟəræ						
	to say			jə	jə						
	to scratch			vzɛvzə	vzɛvzə						
	to scratch			znædʐæ	znædʐæ						
	to see			sciki	sciki						
	to sew			vzu	vzu						
	to shoot (an arrow)			qʰe	qʰe						
	to sing			ʁlə və	ʁlə və						
	to sit			ndzu	ndzu						
	to sleep			ɡə	ɡə						
	to sleep			ndjɛv	ndjɛv						
	to smell (perceive odor) [transitive]			nəno	nəno						
	to spit			pʰɛ	pʰɛ						
	to split			xtɕæ	xtɕæ						
	to split			qrə	qrə						
	to split			χtsɑχtsə	χtsɑχtsə						
	to split			tɕʰoqæ	tɕʰoqæ						
	to split			pjæ	pjæ						
	to squeeze			χtɕər	χtɕər						
	to squeeze			ftsər	ftsər						
	to squeeze			rgorgo	rgorgo						
	to stab			ndə	ndə						
	to stand			rjɛ	rjɛ						
	to steal			rkə	rkə						
	to swell			ro	ro						
	to swim			dʑwæ	dʑwæ						
	to think (reflect)			ntsʰə	ntsʰə						
	to throw			qʰe	qʰe						
	to tie (together)			rtɕʰu	rtɕʰu						
	to tie (together)			rcʰəlæ	rcʰəlæ						
	to turn (around)			nkʰərvæ	nkʰərvæ						
	to vomit			pʰe	pʰe						
	to walk			rkõtʰo ɕə	rkõtʰo ɕə						
	to wash			rʁe	rʁe						
	to wipe			ɕəɕæ	ɕəɕæ						
	to yawn			zʁoræ	zʁoræ						
	today			pəsɲi	pəsɲi						
	tomorrow			qʰəsji	qʰəsji						
	twenty			ɣnəsqɑ	ɣnəsqɑ						
	two			ɣne	ɣne						
	we [first person plural inclusive]			ŋæji	ŋæji						
	wet			ɬə	ɬə						
	what			æ-tɕʰə	æ-tɕʰə						
	when			sə də tɕʰjæ	sə də tɕʰjæ						
	where			lo-rə	lo-rə						
	white			pʰru	pʰru						
	who			sə	sə						
	wide			lo	lo						
	yellow			rɲərɲə	rɲərɲə						
	yesterday			ævəsɲi	ævəsɲi						
	you [second person plural]			ɲi	ɲi						
	young			lutɕʰõ	lutɕʰõ						
