ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
19223	I [first person singular]		I	ŋa	ŋa	ŋ a			19223		327
19109	above		over / above	rə nkhvɛ	rə nkhvɛ	r ə + n kʰ v ɛ			19109		1310
19256	all		all / everything	thəm tɕɛ	thəm tɕɛ	th ə m _ tɕ ɛ		tib[tʰams.tɕad]	19256		3682
18948	bad		bad	qhə mɛ	qhə mɛ	qʰ ə + m ɛ			18948		1271
19360	bad		bad	gɛ qhə mɛ	gɛ qhə mɛ	g ɛ + qʰ ə + m ɛ			19360		1271
19110	below, under		below / under	nə nkhvɛ	nə nkhvɛ	n ə + n kʰ v ɛ			19110		10180
19258	big		big / large	gɛ cçhɛ	gɛ cçhɛ	g ɛ + cçʰ ɛ			19258		1349
19300	black		black	ȵa ȵa	ȵa ȵa	ȵ a + ȵ a			19300		511
19301	black		black	ga ȵa	ga ȵa	g a + ȵ a			19301		511
19366	cold (of temperature)		cold (weather, water)	ʂkhu ʂkhu	ʂkhu ʂkhu	ʂ kʰ u + ʂ kʰ u			19366	!	1384
19349	correct (right)		right / correct	ŋi ŋi	ŋi ŋi	ŋ i _ ŋ i		tibetan ŋes	19349	doubtful	5043
19312	dark		dark	ʁnɛ ʁnɛ	ʁnɛ ʁnɛ	ʁ n ɛ + ʁ n ɛ			19312		1363
19313	dark		dark	gɛ ʁnɛ	gɛ ʁnɛ	g ɛ + ʁ n ɛ			19313		1363
19384	dirty		dirty	mi xtsoŋ	mi xtsoŋ	m i + x ts o ŋ		Tibetan[mi.gtsaŋ]	19384		1005
19328	dry		dry	ɣro ɣro	ɣro ɣro	ɣ r o + ɣ r o			19328		993
19319	early		early	də ɕva	də ɕva	d ə + ɕ v a			19319	!	991
19155	eight		eight	rjɛ	rjɛ	r j ɛ			19155		183
19271	far		far / distant	gɛ tɕe dʑi	gɛ tɕe dʑi	g ɛ + tɕ e + dʑ i			19271		1354
17659	firewood		firewood	mə si	mə si	m ə _ s i			17659		6006
23891	five		five	ɴɢvɛ	ɴɢvɛ	ɴ ɢ v ɛ			23891	! bad character «G»	10357
19151	four		four	ɤɮə	ɤɮə	ɣ ɮ ə			19151	!	263
19281	full		full	rə xsɛ	rə xsɛ	r ə + x s ɛ			19281	!	1357
19357	good		good	ʁjɛ	ʁjɛ	ʁ j ɛ			19357		2852
19358	good		good	gɑ ʁjɛ	gɑ ʁjɛ	g ɑ + ʁ j ɛ			19358		2852
19805	green		green	sŋur ma	sŋur ma	s ŋ u r + m a			19805		1098
19309	green		green	rŋə rŋə	rŋə rŋə	r ŋ ə + r ŋ ə			19309	!	1098
21529	hard		hard	gɛ rgi	gɛ rgi	g ɛ + r g i			21529	!	341
19332	hard		hard	rgi rgi	rgi rgi	r g i + r g i			19332	!	341
15772	he or she [third person singular]		he	thə	thə	tʰ ə			15772		3955
19833	heavy		heavy	gɛ nɮə	gɛ nɮə	g ɛ + n ɮ ə			19833		10379
19240	here		here	ɛ de qhɛ	ɛ de qhɛ	ɛ _ d e _ qh ɛ			19240		1864
19262	high / tall		high / tall (of trees)	gɛ mthu	gɛ mthu	g ɛ + m tʰ u		tib[mtʰo]	19262	!	139
19263	high / tall		high / tall (of person's physique)	gɛ cçhɛ	gɛ cçhɛ	g ɛ + cçʰ ɛ			19263		1351
19297	horizontal		horizontal	gə ro ɣə ro	gə ro ɣə ro	g ə + r o + ɣ ə + r o			19297		1360
19365	hot		hot	xtsɛ xtsɛ	xtsɛ xtsɛ	x ts ɛ + x ts ɛ			19365	!	4221
19167	hundred		hundred	rjə	rjə	r j ə			19167		185
19094	inside		inside	noŋ	noŋ	n o ŋ		tib[naŋ]	19094		255
17738	knife		knife	pə rzi	pə rzi	p ə _ r z i			17738	!	3645
21590	late		late	skhrə skhrə	skhrə skhrə	s kʰ r ə + s kʰ r ə			21590	!	1365
19321	late		late	gɛ skhrə	gɛ skhrə	g ɛ + s kʰ r ə			19321	!	1365
18458	left		left	ʁjun	ʁjun	ʁ j u n		Tibetan[gjon]	18458		200
19316	light (of weight)		light (weight)	gɛ ɣje	gɛ ɣje	g ɛ + ɣ j e			19316		10542
19315	light (of weight)		light (weight)	ɣjə ɣje	ɣjə ɣje	ɣ j ə + ɣ j e			19315		10542
19584	long		long	gɛ dʑi	gɛ dʑi	g ɛ + dʑ i			19584		1504
19285	many		many / much	gɛ ɣre	gɛ ɣre	g ɛ + ɣ r e			19285		1358
19667	many		many / much	ɣre ɣre	ɣre ɣre	ɣ r e + ɣ r e			19667		1358
21969	middle		middle	bar ma	bar ma	b a r + m a		tib[bar.ma]	21969		1026
19120	morning		morning	ga ɕha	ga ɕha	g a + ɕʰ a			19120		1317
19274	narrow		narrow	xtɕhe xtɕhe	xtɕhe xtɕhe	x tɕʰ e + x tɕʰ e			19274	!	671
19272	near		near	nthɑ ne	nthɑ ne	n tʰ ɑ + n e		Tibetan[thag ɲe]	19272	!	1355
18850	new		new	xso xso	xso xso	x s o + x s o			18850	!	23
23960	nine		nine	ngə	ngə	n g ə			23960	!	24
19121	noon		noon	sȵə xcçən	sȵə xcçən	s ȵ ə + x cç ə n		tib[dkʲil]	19121	!	1318
19363	old (of person)		old / elderly	gə dar	gə dar	g ə + d a r		Tibetan[dar]	19363		2051
19148	one		one	ro	ro	r o			19148		302
19093	outside		outside	phi su	phi su	pʰ i + s u		tib[pʰʲi]	19093		267
17824	red		red	gɛ ngi	gɛ ngi	g ɛ + n g i			17824	!	911
19788	red		red	ngi ngi	ngi ngi	n g i + n g i			19788	!	911
19088	right		right	ʁje	ʁje	ʁ j e		Tibetan[gjas]	19088		10429
19288	round		circle / circular	ʁɑr ʁɑr	ʁɑr ʁɑr	ʁ ɑ r + ʁ ɑ r			19288		1359
17690	salty		salty	tshɛ khə	tshɛ khə	tsʰ ɛ + kʰ ə		tib	17690		324
19154	seven		seven	zȵe	zȵe	z ȵ e			19154		55
19322	sharp		sharp	skhvɛ skhvɛ	skhvɛ skhvɛ	s kʰ v ɛ + s kʰ v ɛ			19322	!	1366
19323	sharp		sharp	gɛ skhvɛ	gɛ skhvɛ	g ɛ + s kʰ v ɛ			19323	!	1366
19270	short		short	lji lje	lji lje	l j i + l j e			19270		1353
19605	shy		shy, be / bashful	mə ka cçhɛ	mə ka cçhɛ	m ə _ k a _ cçh ɛ			19605		2477
19153	six		six	xtɕho	xtɕho	x tɕʰ o			19153	!	306
19259	small		small	ge de	ge de	g e + d e			19259		1350
19337	smooth		smooth / glossy / sleek	mbla mbla	mbla mbla	m b l a + m b l a			19337	!	876
19338	smooth		smooth / glossy / sleek	ga mbla	ga mbla	g a + m b l a			19338	!	876
21589	soft		soft / spongy / loose	ndvə ndvə	ndvə ndvə	n d v ə + n d v ə			21589	!	3693
19335	soft		soft	ɬɑv ɬav	ɬɑv ɬav	ɬ ɑ v + ɬ a v			19335		1368
18832	stone (of fruit)		pit / stone	ʂqhə cçha	ʂqhə cçha	ʂ qh ə _ cçh a			18832	!	2640
19759	straight		straight	dʐoŋ dʐoŋ	dʐoŋ dʐoŋ	ɖʐ o ŋ + ɖʐ o ŋ		Tibetan[draŋ]	19759		1595
19157	ten		ten	zʁa	zʁa	z ʁ a			19157		364
25256	the ant		ant	skhro	skhro	s kʰ r o			25256	!	2954
18626	the armpit		armpit	phjɛ kə və	phjɛ kə və	pʰ j ɛ + k ə + v ə			18626		3172
18839	the bamboo		bamboo	ʁɮə	ʁɮə	ʁ ɮ ə			18839	!	821
18629	the belly		belly	vo	vo	v o			18629		10241
18787	the bird		bird	vdʑɛ vdʑu	vdʑɛ vdʑu	v dʑ ɛ + v dʑ u		tibetan[bya] (yunfan 15/02/19)	18787	!	1236
18645	the blood		blood	she	she	sʰ e			18645		29703
18741	the body hair (hair or fur)		hair / down	spə	spə	s p ə		tib[spu]	18741	!	137
18742	the body hair (hair or fur)		hair / down	spə spa	spə spa	s p ə + s p a		tib[spu]	18742	!	137
18648	the bone		bone	rə ra	rə ra	r ə + r a			18648		2
16930	the branch		branch / twig	qa rvɐ	qa rvɐ	q a + r v ɐ			16930	!	410
18628	the breast (female)		breast	nu nu	nu nu	n u + n u			18628		10186
18671	the child (young human)		child	ge de	ge de	g e _ d e			18671		3110
18566	the cloud		cloud	zdo	zdo	z d o			18566	!	927
18698	the daughter		daughter	sme	sme	s m e			18698		746
24023	the dew		dew	rze	rze	r z e			24023	!	10257
18756	the dog		dog	kə ta	kə ta	k ə + t a			18756		2065
19079	the dream		dream	rȵi lam	rȵi lam	r ȵ i + l a m		Tibetan[rmi.lam]	19079	!	10555
18594	the dust		dust	fɬɛ fɬa	fɬɛ fɬa	f ɬ ɛ + f ɬ a			18594		1176
18616	the ear		ear	ȵə	ȵə	ȵ ə			18616		32
18592	the earth (soil)		soil / earth	xtshə	xtshə	x tsʰ ə			18592	!	29756
25217	the earthworm		earthworm	ɕhɑ ndʑu	ɕhɑ ndʑu	ɕʰ ɑ + n dʑ u			25217	!	1289
18888	the egg		egg	zgə ŋa	zgə ŋa	z g ə + ŋ a		Tibetan[sgoŋa]	18888	!	850
18614	the eye		eye	mo	mo	m o			18614		4
18695	the father		father	a pa	a pa	a + p a			18695	exclude languages where *a does not remain a	107
18763	the feather		feather / plume	ɣra spə	ɣra spə	ɣ r a + s p ə		Tibetan spu	18763	!	921
18577	the fire		fire	ɣmə	ɣmə	ɣ m ə			18577		1746
18809	the fish		fish	ʁjə	ʁjə	ʁ j ə			18809		804
25076	the flea		flea	zɮu	zɮu	z ɮ u			25076		944
18830	the flower		flower	me to	me to	m e + t o		tib[me.tog]	18830		248
18575	the fog		fog	zdo mə	zdo mə	z d o + m ə			18575	!	668
18635	the foot		foot	ʂko	ʂko	ʂ k o			18635	!	866
18597	the forest		forest	nɑ	nɑ	n ɑ		Tibetan[nags]	18597		840
18786	the fox		fox	dʑi vɛ	dʑi vɛ	dʑ i + v ɛ			18786		4210
18807	the frog		frog	spu ntɕhɛn	spu ntɕhɛn	s p u + n tɕʰ ɛ n			18807	!	145
19089	the front (front side)		front	ŋə ste	ŋə ste	ŋ ə + s t e			19089	!	1305
19090	the front (front side)		front	ŋə	ŋə	ŋ ə			19090		1305
18573	the frost		frost	bɛ mu	bɛ mu	b ɛ + m u		Tibetan[ba.mo]	18573		97
24625	the fruit		fruit	ɕhõ tho	ɕhõ tho	ɕʰ õ ∼ + tʰ o		Tibetan[ɕiŋ tog]	24625		817
18747	the goat		goat	tshɛ	tshɛ	tsʰ ɛ			18747		774
18748	the goat		goat (male)	tɛ pu	tɛ pu	t ɛ + p u			18748		3576
17203	the grass		grass	rŋə rŋa	rŋə rŋa	r ŋ ə + r ŋ a			17203	!	311
18572	the hail		hail	lmə	lmə	l m ə			18572	!	1166
18613	the hair (of the head)		hair	ʁə rmi	ʁə rmi	ʁ ə + r m i			18613	!	2014
18636	the hand		hand	ɮa	ɮa	ɮ a			18636		229
18612	the head		head	ʁə	ʁə	ʁ ə			18612		1426
15886	the heart		heart	zjar	zjar	z j a r			15886		3753
18740	the hoof		hoof	rȵu pa	rȵu pa	r ȵ u + p a		tib[rmig.pa]	18740	!	912
18739	the horn (keratinized skin)		horn	qrə mbə	qrə mbə	q r ə + m b ə			18739	!	312
18744	the horse		horse	rɣi	rɣi	r ɣ i			18744	!	3151
18927	the house		house	jo	jo	j o			18927		209
18724	the husband		husband (reference)	pə ŋa	pə ŋa	p ə _ ŋ a			18724		1940
18725	the husband		husband (address)	ɣdʑə və	ɣdʑə və	ɣ dʑ ə _ v ə			18725	!	1938
18576	the ice		ice	lvo	lvo	l v o			18576	!	1169
18632	the knee		knee	rŋə mo	rŋə mo	r ŋ ə + m o			18632	!	1193
18633	the knee		knee	rŋə	rŋə	r ŋ ə			18633	!	1193
18587	the lake		lake	mtshu	mtshu	m tsʰ u		tib[mtsʰo]	18587	!	387
18829	the leaf		leaf	lba lə	lba lə	l b a + l ə			18829	!	881
18619	the lip (the lips)		lip	ɣumur	ɣumur	ɣ u m u r			18619	!	2075
18657	the liver		liver	shi	shi	sʰ i			18657		2076
18813	the louse		louse	ɕo	ɕo	ɕ o		tib[shig] (yunfan 15/02/19)	18813		2077
15884	the lung		lung	ʂtse	ʂtse	ʂ ts e			15884	!	716
18675	the man (male human)		man	pə ŋa	pə ŋa	p ə + ŋ a			18675		1205
18881	the meat		meat	bjoŋ noŋ	bjoŋ noŋ	b j o ŋ + n o ŋ			18881		1256
18564	the moon		moon	ɬə ɣnə	ɬə ɣnə	ɬ ə + ɣ n ə			18564		2081
18696	the mother		mother	a mə	a mə	a + m ə			18696		1213
18582	the mountain		hill / mountain	ri rav	ri rav	r i + r a v		Tibetan[ri rab]	18582		121
18581	the mountain		hill / mountain	la	la	l a		Tibetan[la]	18581		963
18783	the mouse or rat		mouse	ftɕə	ftɕə	f tɕ ə			18783	!	10424
18833	the mouth		mouth	jɑ	jɑ	j ɑ			18833		1246
18595	the mud		mud	ndʑɑ mbɑ	ndʑɑ mbɑ	n dʑ ɑ + m b ɑ			18595	!	1177
15738	the nail (fingernail or claw)		nail	ldzə	ldzə	l dz ə			15738	!	1194
18639	the nail (fingernail or claw)		nail	nɛ ldzə	nɛ ldzə	n ɛ + l dz ə			18639	!	1194
19070	the name		name	mȵoŋ	mȵoŋ	m ȵ o ŋ			19070	!	18
18622	the neck		neck	vɮe	vɮe	v ɮ e			18622		122
17862	the needle (for sewing)		needle	ʁɑr	ʁɑr	ʁ ɑ r			17862	!	10231
18665	the nit		nit	ɕə	ɕə	ɕ ə			18665		190
18615	the nose		nose	sni	sni	s n i			18615		2090
18781	the otter		otter	ʂsəm	ʂsəm	ʂ s ə m			18781	!	1290
18753	the pig		pig	va	va	v a			18753		2092
18569	the rain		rain	mə qhi	mə qhi	m ə + qʰ i			18569		1164
18570	the rainbow		rainbow	ndʑa	ndʑa	n dʑ a		Tibetan[ɴdʑa]	18570	!	94
18586	the river		river	ɣrə	ɣrə	ɣ r ə			18586		2346
18591	the road		road	tɕɛ	tɕɛ	tɕ ɛ			18591		1175
25477	the root		root	shə rko	shə rko	sʰ ə + r k o			25477	!	3068
19024	the rope		rope / string	sku lu	sku lu	s k u + l u			19024	!	3993
18593	the sand		sand	bji ma	bji ma	b j i + m a		Tibetan[bje.ma]	18593		118
18588	the sea		sea	mtshu	mtshu	m tsh u		tib[mtsho]	18588	!	3122
17073	the seed		seed	fɬhə	fɬhə	f ɬʰ ə			17073		4007
18746	the sheep		sheep	lɑ ʁɑ	lɑ ʁɑ	l ɑ + ʁ ɑ			18746		231
30580	the shit		excrement (noun)	ʂcçɑ xpɑ	ʂcçɑ xpɑ	ʂ cç ɑ + x p ɑ		tib skʲag.pa (yunfan, 14/02/2019), combien cç (yunfan 19/02/19)	30580		544
18623	the shoulder		shoulder	lva	lva	l v a			18623	!	13
18624	the shoulder		shoulder	lva tɕha	lva tɕha	l v a + tɕʰ a			18624	!	13
18625	the shoulder		shoulder	lva poŋ	lva poŋ	l v a + p o ŋ			18625	!	13
19026	the sickle		sickle	ɕha re	ɕha re	ɕh a _ r e			19026		3297
19027	the sickle		sickle	ɕha ren	ɕha ren	ɕh a _ r e n			19027		3297
18642	the skin		skin	dʑi dʑa	dʑi dʑa	dʑ i + dʑ a			18642		2473
18561	the sky		sky	pqɑ	pqɑ	p q ɑ			18561	!	3390
18562	the sky		sky	mɑ mqɑ	mɑ mqɑ	m ɑ + m q ɑ			18562	!	499
18578	the smoke		smoke	m◦khə	m◦khə	m kʰ ə			18578	!	68
18804	the snake		snake	mtʂhi	mtʂhi	m ʈʂʰ i			18804	!	70
16815	the snake		snake	mphri	mphri	m pʰ r i			16815	!	70
18571	the snow		snow	kha va	kha va	kʰ a + v a		Tibetan[kha.ba]	18571		131
18697	the son		son	ze	ze	z e			18697		73
18794	the sparrow		sparrow	ɣzə	ɣzə	ɣ z ə			18794	!	3599
18817	the spider		spider	a mbə	a mbə	a + m b ə			18817	!	2659
18565	the star		star	zgre	zgre	z g r e			18565	!	1073
17893	the stick		rod / stick	pə cçha	pə cçha	p ə + cçʰ a			17893		3063
30712	the stone (a piece of)		stone (noun)	rgə ma	rgə ma	r g ə + m a			30712		3598
18563	the sun		sun	ɣbə	ɣbə	ɣ b ə			18563	!	3166
18743	the tail		tail	rŋa ma	rŋa ma	r ŋ a + m a		Tibetan[rŋa.ma]	18743	!	914
18631	the thigh		thigh	blɛ	blɛ	b l ɛ		tib[brla]	18631		865
18567	the thunder		thunder	scçɑ lu	scçɑ lu	s cç ɑ + l u			18567	!	1162
18768	the tiger		tiger	stɑ	stɑ	s t ɑ		tib[stag]	18768	!	1105
15868	the tongue		tongue	vɮɛ	vɮɛ	v ɮ ɛ			15868		4190
18650	the tooth (front)		tooth	ɕə	ɕə	ɕ ə			18650		10482
18825	the tree		tree	lə phu	lə phu	l ə + pʰ u			18825		3679
18596	the water		water	ɣrə	ɣrə	ɣ r ə			18596		2787
18856	the wheat		wheat	ɮe	ɮe	ɮ e			18856		3234
