ID	CONCEPT	CHINESE	VALUE	FORM	GLOSS_IN_SOURCE	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	the flower	花	mwɐtɔ								
	the fog	雾	zdomo								
	the foot	脚	rko								
	the forest	森林	nɔ								
	the fox	狐狸	wdʒwɐ								
	the frog	青蛙	spɔŋqe								
	the front (front side)	前面、正面	ŋwi								
	the frost	霜	sŋɐr								
	the fruit	果实	ʃʰɔŋ-tɔ								
	the girl	姑娘	smɐŋa								
	the goat	山羊	tsʰɐ								
	the grass	草（总称）	rura								
	the grass on the grassland	草原上的草									
	the hail	冰雹	jmu								
	the hair (of the head)	头发	rwə-rmi								
	the hand	手	ʒa								
	the head	头	ʁwə								
	the heart	心脏	zdʒɐr								
	the hoof	马蹄	tʰɐqwe								
	the horn (keratinized skin)	角	qrə								
	the horse	马	rji								
	the house	房子	jo								
	the husband	丈夫	vdzi								
	the ice	冰	jwɐ								
	the intestines	肠	wūwa								
	the knee	膝盖	rŋə								
	the knife	刀	zɐgrə								
	the lake	湖	mtsʰwər								
	the leaf	叶子	jba-la								
	the lightning	闪电									
	the lip (the lips)	嘴唇	ʁmo-rdʒɐ								
	the liver	肝	sʰi								
	the louse	虱子	wʃəw								
	the lung	肺	rtsʰej								
	the man (male human)	男人、男性	vdzi								
	the meat	肉	mdʒɐno								
	the meat	肉	na-na								
	the moon	月亮	ʃə-wnu								
	the mosquito	蚊子	tʃɔpʰji								
	the mountain	山	qa								
	the mountain	山的总称									
	the mouse or rat	老鼠	vtʃə								
	the mouth	嘴	ʁmo								
	the mud	泥巴	rtʃʰo								
	the nail (fingernail or claw)	指甲	jdzə								
	the name	姓	jmə								
	the neck	脖子	vʒɐlə								
	the needle (for sewing)	针	ʁɐv								
	the night	晚上	gəʃʰo								
	the nit	虮子	ʃʰwə								
	the noon	中午									
	the nose	鼻子	sní								
	the otter	水獭	srɐn								
	the person	人	vdzəsme								
	the pig	猪	va								
	the rain	雨	mwɐ								
	the rainbow	虹	ⁿdʒatsʰɐ								
	the rice plant	水稻	ⁿbrɐj								
	the river	大河	rɲo								
	the river	小河									
	the road	路	tʃɐ								
	the road	公路									
	the roof	房背（平顶）									
	the root	根	sʰə-sqʰa								
	the rope	绳子	ʁsəri								
	the salt	盐	tsʰə								
	the sand	沙子	ʁbu								
	the sea	海	mtsʰwər								
	the seed	种子	vʃʰə								
	the sheep	绵羊	ji								
	the shit	屎	ʁʒə								
	the shoulder	肩膀	jva								
	the sickle	镰刀	wdʒwə								
	the skin	皮	dʒədʒa								
	the sky	天	mwɐrŋə								
	the smoke	烟	mkʰə								
	the snake	蛇	ⁿpʰri								
	the snow	雪	jvi								
	the son	儿子	bəʒə								
	the sparrow	麻雀	wəzə								
	the spider	蜘蛛	grɔ-grɔ								
	the star	星星	zgre								
	the stick	棍子(粗)	lɐndje								
	the stick	棍子(细)	ʁbɐtʰa								
	the stone (a piece of)	石头	rgɐvɐ								
	the string	细绳									
	the sun	太阳	ʁbə								
	the tail	尾巴	wtswɐj								
	the thigh	大腿	blɐ								
	the thunder	雷	ⁿbru								
	the tiger	老虎	ʁʒi								
	the tongue	舌头	vʒɐ								
	the tooth (front)	牙齿	ʃwə								
	the tree	树	sʰə-pʰo								
	the water	水	wrə								
	the wheat	小麦	ʒe								
	the wife	妻子	jova								
	the wife	妻子	rjɐr								
	the wind	风	wlɐ								
	the wing	翅膀	bjwər								
	the wolf	狼	spjɔŋkə								
	the woman	女人、女性	sme								
	the wood (material)	木头	bwɐlji								
	the work	工作	leska								
	the worm	虫	bwəʒo								
	the year	年	kəw								
	there	那里									
	thick	厚	wʒa wʒa								
	thin (object)	薄	bi								
	thou [second person singular]	你	ɲi								
	three	三	wsʰu								
	to be alive	（动物）活了	wsʰə-wsʰə								
	to bite	（人）咬	rtʃʰɐ								
	to blow (of wind)	吹（灰）	ʁmə								
	to breathe	喘气									
	to burn [intransitive]	燃烧	dwər								
	to burn [intransitive]	燃烧	ⁿbɐr								
	to burn [transitive]	烧（香）	spə								
	to buy	买	rə								
	to chew	(牛)嚼	ⁿdʐu								
	to chew	嚼(零食)	ⁿgu								
	to chew	嚼	ⁿgwəla								
	to choose	挑选	ⁿtsʰi								
	to climb	爬（树）	ⁿqav.rɐ								
	to come	来	ʒɐ								
	to cook	煮	zʁe								
	to count	数（数）	rtsə-rtsi								
	to cry (weep)	哭	ŋə								
	to cry (weep)	哭泣									
	to cut	剪布	ⁿtsəntɐr								
	to cut	剪	qʰri								
	to cut	剪纸	tsəntɐr rkʰi								
	to die	死	sʰɐ								
	to dig	掘	qɔ								
	to drink	喝	tʰi								
	to eat	吃	dzi								
	to fall	摔（下来）	dza								
	to fall	倒	qwa								
	to fear (be afraid)	害怕	stʃər								
	to fight	打架、打仗	rkʰə-rkʰi								
	to float	浮	dʒwa								
	to flow	（水）流	ʁʃɐr								
	to fly (move through air)	飞	bjwər								
	to forget	忘记	jmwə								
	to freeze (intransitive)	冻	jwɐ								
	to give	送给	kʰo								
	to grow	长大	ⁿtʃʰɐ								
	to grow	长大	ⁿtʃʰɐ								
	to grow	生长	ʃwa-jxwa								
	to grow high	长高	ⁿtʃʰɐ								
	to hear	听见	jmwə								
	to hide (conceal)	(躲)藏	ⁿtʃʰe								
	to hide (conceal)	藏(東西)	zgo								
	to hit	打（人）	rkʰi								
	to hold	握	v-kʰrə								
	to hold	握	wtʂɐ								
	to hunt	打猎	rŋa wə								
	to kill	杀（人）	sʰɐ								
	to knead	揉（面）	jɲe								
	to know	知道	se								
	to laugh	笑	qʰɐ								
	to learn	学（文化）	ⁿjɐ-ⁿzji								
	to learn	学（文化）	zbjo								
	to lick	舔	ⁿʒala								
	to lie down	躺	ⁿdʒɐ-ləlje								
	to lie down	躺	ⁿdʒira								
	to lie down	躺	rgə								
	to marry (a man marries a woman)	娶	rjɐr ⁿbwə								
	to open	打开	ri-ʁa								
	to plant (vegetals, rice)	种（菜）									
	to play	玩、耍	jɐⁿdzo								
	to pull	拉	ⁿtʂʰɐ								
	to push	推	dər rə								
	to push	推	ⁿbərtsʰə								
	to reside (live)	居住	ⁿdzo								
	to rub	擦	ⁿsʰə-sʰə								
	to run	跑	rdʒu								
	to say	讲（一般意义上的说话）	vʃɐ								
	to scratch	挠（痒）	ⁿsʰərsʰa								
	to see	看见	vdo								
	to sew	缝	rəv-rər								
	to shoot (an arrow)	射（箭）	ʒi rkʰi								
	to sing	唱歌	ʁlə wə								
	to sing	唱歌	wʒa								
	to sit	坐	ⁿdzo								
	to sleep	睡	rgə								
	to smell (perceive odor) [transitive]	闻、嗅	snunu								
	to sow (broadcast, scatter seeds)	下种									
	to spit	吐（痰）	jpʰe								
	to split	劈（柴）	pja								
	to squeeze	挤（牙膏）	tʃu								
	to stab	刺	ⁿtsʰɔ								
	to stand	站立	ri-dzwər								
	to steal	偷	rkə wə								
	to swell	肿、胀	ro								
	to swim	游泳、（鱼）游	dʒwa								
	to think (reflect)	想（去）	ⁿtsʰə								
	to throw	扔	ⁿdʒwa								
	to tie (together)	绑	rtʃʰe								
	to turn (around)	转回、转身	ɲo ⁿkʰər								
	to vomit	呕吐									
	to vomit; throw up	呕吐	rəro ⁿkʰər								
	to walk	走路									
	to wash	洗	jkʰrə								
	to wash	洗	tsə								
	to wipe	擦	ⁿʃʰə-ʃʰɐr								
	to yawn	打呵欠	zʁwe tʰɐ								
	to yawn	打呵欠	zʁwe ʃwa								
	today	今天	bəsɲi								
	tomorrow	明天	qɐsʰi								
	twenty	二十	wnɐ-sqʰa								
	two	二	wne								
	warm (hot)	暖和	ⁿʃi								
	warm (hot)	暖和	χəv								
	wet	湿	ⁿdə								
	what	什么	χɐgə								
	where	哪里	lə́wrə								
	white	白	kɐr-po								
	white	白	pʰru-pʰru								
	who	谁	sʰə								
	wide	宽	lo								
	wide	宽	ʒə								
	yellow	黄	rɲə								
	yellow	黄	sɐrpo								
	yesterday	昨天	mwɐgə								
	young	年轻	kəw ɐməle								
	young	年轻	lotʃʰɔŋ								
