ID	CONCEPT	CHINESE	VALUE	FORM	GLOSS_IN_SOURCE	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	above	上方（近指）	tʃʰɐj								
	all	全部	ɐqəw								
	all	全部	stɐ								
	bad	坏	qʰe								
	before		ŋwi								
	below, under	下方（近指）	qwe								
	big	大	qwɐtʃʰə								
	big	大	tʃʰɐ								
	black	黑	ɲa-ɲa								
	cold (of temperature)	冷	rkʰo								
	correct (right)	对、正确	ŋi								
	dark	暗、天黑	ʁnɐ								
	dirty	脏	mi-ʃʰɐrɔ								
	dry	干涸	skɐn								
	dry	干	wro								
	early	早	bo								
	eight	八	rdʒɐj								
	fallen rock (after landslide)	滚落的石头									
	far	远	pɐti bɐr								
	far	远	tʃɐ-dʒi								
	few	少	(nɐ-)wzə								
	few	少	ⁿtʰər								
	few	少	tʃʰɔ								
	firewood	柴	sʰi								
	five	五	wŋwɐ								
	four	四	wʒɐ								
	full	满	ɐsʰɐ								
	full	满	mtsʰɐ								
	full	满	ⁿbɐbɐ								
	good	好	ʁjər								
	good	好	χəw					Chn. hǎo			
	green	绿	tʃʰɔŋlu mdɔŋ								
	hard	硬	rgi								
	heavy	重	jdə								
	here	这里	tʃʰo								
	high / tall	高	bji								
	high / tall	高	mtʰo								
	horizontal	横	gɐro-ʁoro								
	hot	热	wtsɐ								
	how	怎样	lə́wpi								
	hundred	百	rdʒə								
	I [first person singular]	我	ŋa								
	inside	里面	we								
	late	迟	ʃʰi-ʃʰi								
	left	左	ʒakwa								
	light (of weight)	轻	ji								
	long	长	dʒi-dʒi								
	many	多	wre								
	middle	中间	bɐrma								
	middle	中间、中介	rqɐv								
	morning	早晨	qɐɲa								
	narrow	窄	ro-ro								
	narrow	窄	tʃʰe								
	narrow	狭窄（心胸）									
	near	近	pɐti mi-bɐr								
	near	近	tʃɐ-ɲe								
	new	新	ʁsər-pa								
	nine	九	ⁿgɐ								
	noon	中午	mdzo-wa								
	old (of person)	年老	kəw qwɐtʃʰə								
	old (of person)	年老	rgɐn								
	one	一	rəw								
	other	其他	mətsʰɐ								
	other	其他	pʰɐdi								
	other	其他	pʰɐj								
	outside	外面	pʰji								
	painful	疼	ŋwɐ								
	red	红	ɲiɲi								
	right	右	ʒɐjtʰə								
	rotten (of fruits)	腐烂	tswə								
	round	圆（平面、立体）	kər-kər								
	salty	咸	sɲa								
	seven	七	sɲe								
	sharp	锋利	skʰwɐ								
	short	短	jbji								
	shy	害羞	bù								
	sick	病	ŋwɐ								
	six	六	wtʃʰəw								
	small	小	ɐməle								
	small	小	wdəw								
	smooth	光滑	ⁿdʒɐ-ⁿdʒɐ								
	soft	软(食品)	lɐv-lɐv								
	soft	软(食品)	ⁿbə-ⁿbə								
	stone (of fruit)	核儿	kʰɐ-mtsɔ								
	straight	直	jtʰə								
	ten	十	zʁa								
	that	那									
	the ant	蚂蚁	skʰrəw								
	the armpit	腋下	mtʃʰɐkʰwəvə								
	the ashes	草木灰	vʃɐ								
	the back	后背	qwəmɲo-sqʰɐmɲo								
	the bamboo	竹子	wʒə								
	the bark	桦树皮									
	the barley (tibetan or highland)	青稞	ʃi								
	the belly	肚子	vəw								
	the bird	鸟	bjɐbjwər								
	the blood	血	sʰe								
	the body hair (hair or fur)	毛	mwə-rja								
	the bone	骨头	tʃʰəri								
	the branch	树枝	ʁbɐtʰa								
	the breast (female)	乳房	nunu								
	the child	小孩	jŋa								
	the child	小孩									
	the cloud	云	zdomo								
	the cooked meat	熟肉									
	the day (opposed to night)	白天	sɲi-la								
	the dew	露水	tʃʰə-sŋɐr								
	the dog	狗	kəta								
	the dream	梦	rməlɐn								
	the dust	灰尘	pʰwə-wʃʰi								
	the ear	耳朵	ɲɔŋ								
	the earth (soil)	黄土	ʁtsʰə								
	the earthworm	蚯蚓	bwədʒi								
	the egg	蛋	rastu								
	the eye	眼睛	məw								
	the fat (grease)	肥膘									
	the feather	羽毛	mwərja								
	the fire	火	ʁmə								
	the fish	鱼	ʁjə								
	the flea	跳蚤	wʒi								
