ID	CONCEPT	CHINESE	VALUE	FORM	GLOSS_IN_SOURCE	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	the dust	灰尘	rdus⁵⁵	tə⁵⁵rtiak³³				tib. rdul			
	firewood	柴	se⁵⁵	ʃe⁵⁵ 							
	noon	中午	vʑo⁵⁵								
	the noon	中午	vʑo⁵⁵								
	the otter	水獭	tɕʰi³³sram⁵³					tib. chu.sram			
	that	那	ai⁵⁵ti³³								
	all	全部	vde³³vde⁵⁵	kə³³tʃe⁵⁵							
	here	这里	cçi⁵⁵to⁵⁵	tʂə⁵⁵tej⁵⁵							
	to burn [transitive]	烧（香）	snat⁵⁵	ka⁵⁵ska³³							
	the hoof	马蹄	bro⁵⁵ta³³ka⁵⁵tsa³³								
	red	红	mnik⁵⁵	wə³³rɲe⁵⁵							
	black	黑	ɲaʔq⁵⁵	kə³³nak⁵⁵							
	to blow (of wind)	吹（灰）	moʔt⁵⁵								
	the body hair (hair or fur)	毛	mər³³ma⁵⁵	ʂu⁵⁵ 							
	other	其他	ka³³ka⁵⁵ɟjo³³								
	to lie down	躺	rga⁵⁵la⁵⁵laŋ⁵⁵								
	the fire	火	ʁmu⁵⁵	tʂʰu⁵⁵							
	the fish	鱼	roŋ⁵⁵jo³³	tʂo⁵⁵wjy³³							
	the flea	跳蚤	dza³³ji⁵⁵								
	the flower	花	me³³toq⁵⁵	ta³³pat⁵⁵				tib.  me.tog			
	left	左	ɕki⁵³	ka⁵⁵wu⁵⁵							
	the fog	雾	zdem⁵³								
	the nit	虮子	dʑu³³ru⁵⁵								
	to knead	揉（面）	lne⁵³	ka³³rən⁵⁵ɲo³³ 							
	to lick	舔	ndzok⁵⁵	ka⁵⁵ntsʰok⁵⁵							
	to chew	嚼	ntɕaq⁵⁵tɕaq³³	pwa⁵⁵pwa⁵⁵ 嚼喂（婴儿）							
	the sickle	镰刀	xtiʔ⁵⁵	tə⁵⁵ntwa⁵⁵							
	the forest	森林	se³³gu⁵⁵	ʃe³³kʰa⁵⁵ （树林）							
	late	迟	moʔr⁵³								
	the lip (the lips)	嘴唇	mtɕʰi⁵⁵	tə³³ʂna⁵⁵pok³³							
	to grow	长大	o³³qʰra⁵³								
	to grow high	长高		kə³³zɐt⁵⁵							
	to grow	生长	o³³ɣe⁵⁵								
	to grow	长大	o³³tɕʰit⁵⁵								
	shy	害羞	bom⁵⁵	kan⁵⁵nə⁵⁵wom⁵⁵							
	three	三	xsom⁵³	ke³³soŋ⁵⁵							
	five	五	mŋa⁵⁵	kə³³ŋo⁵⁵							
	the frog	青蛙	kʰa³³ɕpa⁵⁵	kʰa⁵⁵ʃpa⁵⁵							
	to learn	学（文化）	ndzoʔs⁵⁵	ka³³rə⁵⁵kʰtʂʰə³³							
	the wolf	狼	spjaŋ³³gu⁵³					tib. spyang.gu			
	the ant	蚂蚁	nkʰo³³roq⁵⁵	kʰə⁵⁵rok⁵⁵				situ			
	to hide (conceal)	藏	spiʔt⁵⁵	ka³³ʂak⁵⁵pej³³							
	the grass	草（总称）	rno³³ba⁵³	ta⁵⁵jno⁵⁵							
	the grass on the grassland	草原上的草		ka⁵⁵za³³							
	the hail	冰雹	lmu⁵⁵								
	the horse	马	bro⁵⁵	bə⁵⁵ro⁵⁵							
	the ice	冰	rpʰam⁵³	ta³³rpoŋ⁵⁵							
	the lake	湖	mtsʰo⁵⁵	mtsʰu⁵⁵（ 也是海的意思）				tib. mtsho			
	the leaf	叶子	lpʰaq⁵⁵	ʃe³³jma³³							
	the meat	肉	tʰom⁵³	ʃa⁵³							
	the cooked meat	熟肉		na⁵⁵na³³							
	the mountain	山	pʰat⁵⁵	ta⁵⁵wɐt⁵⁵							
	the mountain	山的总称		ʐgləp							
	the mud	泥巴	χpʰji⁵⁵	tə⁵⁵pie³³ （tə³³pie⁵⁵下面的村子 ）							
	the ashes	草木灰	scça⁵⁵kʰa³³χpʰji³³								
	the rain	雨	mu⁵³	tsʰa⁵⁵rna⁵⁵							
	the river	大河	ʁɲam⁵⁵	ɲiŋ³³koŋ⁵⁵							
	the river	小河	ɣdzaʔr⁵³								
	the road	路	ɣrə⁵⁵ɣar³³	rə⁵⁵ra⁵⁵							
	the road	公路	tɕʰi³³tʂʰe³³ɣar⁵⁵								
	the root	根	e³³sram⁵⁵	ə⁵⁵rsok⁵⁵							
	the sand	沙子	lbək⁵⁵								
	early	早	fso⁵³								
	the mouth	嘴	mtɕʰi⁵⁵	tə³³kʰa⁵⁵ (口，嘴里面)							
	the shit	屎	rcçaq³³pa⁵³	tǝ³³pʰʃe⁵⁵				tib. rkyag.pa			
	the person	人	ʁbji⁵⁵	tə⁵⁵rmi⁵⁵							
	the lung	肺	rtsʰos⁵³	ta³³ʂlu⁵⁵							
	dark	暗、天黑	ʁni⁵⁵								
	to steal	偷	fkuʔ⁵⁵	ka³³nə⁵⁵ʂmo³³							
	the seed	种子	rvi⁵⁵	tə⁵⁵rpu⁵⁵							
	the snake	蛇	bi³³ri⁵⁵	kʰa⁵⁵wre⁵⁵							
	the egg	蛋	stʰək⁵⁵	pwa⁵⁵goŋ⁵⁵ （鸡蛋）							
	to sow (broadcast, scatter seeds)	下种	rvi⁵⁵tɕʰes⁵⁵								
	outside	外面	ə³³pʰji⁵⁵								
	the skin	皮	dʑi⁵⁵dʑa³³	tə³³ɖi⁵⁵							
	the roof	房背（平顶）	rbo⁵⁵								
	the smoke	烟	mkʰut⁵⁵								
	the snow	雪	lvi⁵⁵	ta⁵⁵jpak⁵⁵							
	the thigh	大腿	vdom⁵⁵								
	the spider	蜘蛛	qʰa³³ɕna⁵⁵	kʰa⁵⁵ʃna⁵⁵							
	the tiger	老虎	staq⁵³	kʰoŋ⁵⁵				tib. stag			
	the stone (a piece of)	石头	rge³³me⁵³	tə³³lɔk⁵⁵							
