ID	CONCEPT	CHINESE	VALUE	FORM	GLOSS_IN_SOURCE	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	fallen rock (after landslide)	滚落的石头		ta⁵⁵roŋ³³							
	the tree	树	so³³χpʰo⁵⁵	ʃə⁵⁵ku⁵⁵							
	the barley (tibetan or highland)	青稞	ɕi⁵⁵	swej⁵⁵							
	the bird	鸟	ɣbjam⁵⁵	pə³³tsa⁵⁵							
	the blood	血	sə⁵⁵	ta⁵⁵ʃi⁵⁵							
	the water	水	ɣrə⁵⁵	tə⁵⁵tʃi³³							
	the wind	风	kʰar³³vu⁵⁵	kʰa³³li⁵⁵							
	the woman	女人、女性	me³³le⁵⁵	tə³³mi⁵⁵							
	right	右	scçʰeʔs⁵³	ka⁵⁵tʃʰa⁵⁵							
	to yawn	打呵欠	da³³χam⁵³	ta³³xoŋ⁵⁵ka⁵⁵pa³³							
	good	好	la⁵⁵	kə³³la⁵⁵				situ la			
	the hair (of the head)	头发	wu⁵⁵mər⁵⁵ma⁵⁵	ta³³ku⁵⁵ʂu³³							
	light (of weight)	轻	jo⁵⁵	kə³³jo⁵⁵							
	the wheat	小麦	ʁji⁵⁵	te⁵⁵lu⁵⁵							
	the work	工作	ta³³ma⁵⁵	wu⁵⁵ma³³ （他的工作）				situ ta-ma			
	salty	咸	tsʰrəʔ⁵⁵	kə³³tsri⁵⁵							
	middle	中间	ə³³χcçəl⁵⁵	a⁵⁵laj⁵⁵				tib. dkyil			
	middle	中间、中介	ə³³rtʰap⁵⁵								
	to reside (live)	居住	rjeʔ⁵⁵								
	to cook	煮	sɣiʔ⁵⁵	ka⁵⁵ska³³							
	to climb	爬（树）	nqʰa³³rat⁵⁵								
	painful	疼	ŋam⁵³	tə³³tsu⁵⁵rlie³³							
	the thunder	雷	mbruk⁵⁵	ta⁵⁵rmo⁵⁵				tib. 'brug			
	to open	打开	cçʰo⁵⁵	ka³³toŋ⁵⁵							
	to shoot (an arrow)	射（箭）	lat⁵⁵								
	yesterday	昨天	χsni⁵⁵	wa³³ʂlu⁵⁵							
	many	多	ʁboʔ⁵⁵	kə⁵⁵mɲa³³							
	the wife	妻子	rjap⁵⁵	tə⁵⁵mi⁵⁵							
	the husband	丈夫	ɕɣe⁵⁵ze³³	kə³³tʃʰi⁵⁵							
	the feather	羽毛	bja³³vər⁵⁵	ʂu⁵⁵				part. tib. bya			
	big	大	qʰraʔ⁵⁵	kə³³kʰti⁵⁵							
	long	长	sre⁵⁵	kə³³sre⁵⁵							
	the bark	桦树皮	rcçʰaq⁵⁵								
	the tongue	舌头	fsɲi⁵⁵								
	young	年轻	ɕɣe⁵⁵ze⁵⁵	ta⁵⁵wli⁵⁵kə⁵⁵kʰtsei³³							
	I [first person singular]	我	ŋo⁵⁵	ŋo⁵⁵							
	heavy	重	ʁrdit⁵⁵	kə⁵⁵le⁵⁵							
	thou [second person singular]	你	nə³³jo⁵⁵	no⁵⁵							
	the rope	绳子	bre⁵⁵	tə⁵⁵wri³³							
	the string	细绳		ta⁵⁵ri³³							
	the worm	虫	ku³³lu⁵⁵	kə⁵⁵loŋ⁵⁵							
	the tail	尾巴	lmi⁵⁵	ta⁵⁵jmiək⁵⁵							
	the nose	鼻子	sne⁵⁵	tə⁵⁵ʂna⁵⁵							
	the heart	心脏	sjar⁵³	tə³³ʂɲe⁵⁵							
	the liver	肝	fsje⁵⁵	tə⁵⁵wʃe⁵⁵							
	the day (opposed to night)	白天	sno³³go⁵⁵	tə⁵⁵pwak⁵⁵							
	the year	年	dɣuk⁵⁵								
	the earth (soil)	黄土	χtɕʰo³³tʰi⁵⁵								
	dirty	脏	nqaʔr⁵⁵	ma³³kə³³tʂɔ⁵⁵							
	new	新	sar³³paʔ⁵⁵	sɐt³³pa⁵⁵				tib. gsar.pa			
	warm (hot)	暖和	mbjaʔ⁵⁵								
	the night	晚上	tə³³moʔr⁵³					situ			
	smooth	光滑	vleʔk⁵⁵	kə³³na⁵⁵mar³³							
	who	谁	su⁵³	ʃie⁵⁵							
	what	什么	te⁵³	tʰie55							
	where	哪里	ŋo⁵⁵to³³	kə⁵⁵tie³³							
	how	怎样	te⁵⁵mɲet³³me³³								
	few	少	mneʔ⁵⁵	kə⁵⁵mɲi⁵⁵							
	thick	厚	jək⁵⁵	kə⁵⁵jak³³							
	small	小	ze⁵³	tə³³ʈi⁵⁵ 							
	the ear	耳朵	ni⁵⁵	tə⁵⁵rna⁵⁵							
	the eye	眼睛	mək⁵⁵	tə⁵⁵ɲiaŋ⁵⁵							
	the belly	肚子	sə³³tʰa⁵⁵	tə³³kʰtu⁵⁵							
	the house	房子	jem⁵⁵								
	the head	头	wu⁵⁵	ta⁵⁵ku⁵⁵							
	the wing	翅膀	war³³kʰam⁵³	ta⁵⁵rkʰoŋ³³							
	to sing	唱歌	dʐo³³wo⁵⁵vzo⁵³								
	high / tall	高	bro⁵⁵	kə³³nbro⁵⁵							
	narrow	窄	tsʰres⁵³	kə⁵⁵kwar⁵⁵							
	narrow	狭窄（心胸）	ʁroʔs⁵⁵								
	the salt	盐	tsʰə⁵⁵	tsʰa⁵⁵							
	the hand	手	jək⁵⁵	ta³³jak⁵⁵							
	to vomit	呕吐	χpʰaʔs⁵⁵	tə⁵⁵tʃɔ⁵⁵ ka⁵⁵pa³³							
	to fall	摔（下来）	rɣit⁵⁵	ka⁵⁵lu³³ （摔跤）							
	to fall	倒	χpʰok⁵⁵	kə⁵⁵ʈian³³ （倒下）							
	the fat (grease)	肥膘	du³³ɣur⁵³	ta³³war⁵⁵							
	today	今天	sni⁵³	ə³³ʃni⁵⁵							
	hot	热	ɕkiʔ⁵⁵	kə⁵⁵sa⁵⁵na⁵⁵stie⁵⁵							
	cold (of temperature)	冷	rkʰoʔ⁵⁵	kə³³wa⁵⁵ntʃo³³							
	the back	后背	vgur⁵³	tə³³ntʰiak⁵⁵							
	bad	坏	ma³³la⁵⁵	kə⁵⁵jlias⁵⁵				situ			
	the stick	棍子	rdam⁵³	ta⁵⁵tar⁵⁵							
	the foot	脚	gro⁵⁵	ta⁵⁵mie⁵⁵							
	the fox	狐狸	χtʰje⁵⁵	kə³³tʰwej⁵⁵							
	the moon	月亮	snə³³ɣli⁵⁵	zi⁵⁵la³³							
	tomorrow	明天	fso⁵⁵na⁵⁵re⁵³	ʂu⁵⁵ʂni⁵⁵							
	the sheep	绵羊	ʁjo⁵⁵	kə⁵⁵jo⁵⁵							
	the neck	脖子	fki⁵⁵	mgi⁵⁵							
	white	白	pʰrom⁵³	kə³³proŋ⁵⁵							
	to eat	吃	dzəʔ⁵⁵	za⁵⁵							
	the pig	猪	pʰak⁵⁵	pak⁵⁵							
	morning	早晨	na³³re⁵⁵								
	the sun	太阳	ʁbɣi⁵³	kə³³ɲi⁵⁵							
	the knife	刀	bər³³ze⁵⁵	tsark⁵⁵ri⁵⁵/bə⁵⁵rza³³（两种说法）							
	to laugh	笑	nqʰat⁵⁵	kə⁵⁵na⁵⁵ri⁵⁵							
	the knee	膝盖	rŋe⁵⁵								
	the tooth (front)	牙齿	ɕɣi⁵⁵	tə⁵⁵swa³³							
	the needle (for sewing)	针	ʁap⁵⁵	ta⁵⁵kar⁵⁵							
	the louse	虱子	so³³ru⁵⁵	sʰar⁵⁵							
	the horn (keratinized skin)	角	ru⁵⁵	ə⁵⁵ri⁵⁵							
	the bone	骨头	ɕa³³ru⁵⁵	ʂa³³ri⁵⁵							
	round	圆（平面、立体）	ʁlo³³loʔr⁵⁵	ka⁵⁵pə⁵⁵lar⁵⁵							
	sharp	锋利	zok⁵⁵								
	dry	干	zbuk⁵⁵	kə⁵⁵roŋ⁵⁵							
	to drink	喝	tʰe⁵⁵	ka⁵⁵mut³³							
	the breast (female)	乳房	nu³³nu⁵⁵								
	to bite	（人）咬	rcça³³qʰat⁵⁵	ka⁵⁵tsok³³							
	straight	直	stu⁵⁵	ka⁵⁵stu⁵⁵							
	the name	姓	rme⁵⁵								
	far	远	rə⁵⁵rdi³³	kə³³tʃʰi⁵⁵							
	to breathe	喘气	ro⁵⁵χal³³								
	to hear	听见	sme⁵³	na³³miŋs⁵⁵							
	to see	看见	vro⁵³	ka⁵⁵nto⁵⁵							
	to play	玩、耍	ncçʰal⁵⁵	kə³³npri⁵⁵							
	to squeeze	挤（牙膏）	tʂaq⁵⁵	ka⁵⁵tʂət⁵⁵ （也是擤鼻涕的擤）							
	to think (reflect)	想（去）	ntsʰo⁵³								
		联想		siɐm⁵⁵ muər³³tʃi³³							
	to sit	坐	rjeʔ⁵⁵	kə³³ɲi⁵⁵							
	to kill	杀（人）	sat⁵⁵	ka⁵⁵sat⁵⁵							
	to dig	掘	pɣaq⁵⁵	ka³³rwa⁵⁵							
	to fear (be afraid)	害怕	scçər⁵³	kə³³rtar⁵⁵							
	to count	数（数）	ftsiʔ⁵⁵	ka⁵⁵wzi³³				tib. btsi			
	to be alive	（动物）活了	xsu⁵⁵								
	to fight	打架、打仗	nda³³la⁵⁵lat⁵⁵								
	yellow	黄	χsor³³poʔ⁵⁵	kə³³ŋe⁵⁵				tib. ser.po			
	green	绿	ldʑem³³ku⁵³	toŋ³³ʐu⁵⁵				tib. ljang.khu			
	to burn [intransitive]	燃烧	mbaʔr⁵³	tə⁵⁵ʐu³³				tib. 'bar			
	full	满	fsot⁵⁵	kə⁵⁵ɲyt⁵⁵							
	the star	星星	zgrə⁵³	tsə³³kʰli⁵⁵							
	to freeze (intransitive)	冻	rpʰam⁵⁵								
	to cut	剪	rtʰom⁵³	ka⁵⁵rtan⁵⁵							
	to hit	打（人）	ɣdoʔ⁵⁵	ka³³sti⁵⁵							
	to stab	刺	rdzoʔ⁵⁵	ka³³toŋ⁵⁵							
	to hunt	打猎	rŋa⁵⁵vzo⁵⁵	ta⁵⁵rwak⁵⁵							
	to scratch	挠（痒）	skʰroq⁵⁵								
	to split	劈（柴）	krut⁵⁵	ka³³pʰat⁵⁵							
	to swim	游泳、（鱼）游	ndʑaq⁵⁵								
	to spit	吐（痰）	pʰet⁵⁵								
	to vomit; throw up	呕吐		tə⁵⁵tʃɔ⁵⁵ ka⁵⁵pa³³							
	to fly (move through air)	飞	ɣbjam⁵⁵								
	to stand	站立	ndzur⁵⁵	kə³³wjoŋ⁵⁵							
	to walk	走路	ftɕʰi⁵⁵ra⁵⁵	tʃʰe/ lu⁵⁵							
	to turn (around)	转回、转身	nkʰo³³rseʔ⁵⁵	kə³³mtʂur⁵⁵ /  ka⁵⁵sə⁵⁵mtʂur⁵⁵（使转）				part. tib. 'khor			
	to come	来	vi⁵³	na⁵⁵pi³³ （来了）							
	to give	送给	bi⁵³	 ka³³wjy⁵⁵							
	to hold	握	dʑe⁵⁵	ka⁵⁵nʈiant⁵⁵							
	to hold tightly	握紧		ka⁵⁵sa⁵⁵zək⁵⁵zək³³							
	to rub	擦	pʰjiʔs⁵⁵	ka⁵⁵wʃie⁵⁵							
	to push	推	tʂaq⁵⁵	ka⁵⁵nɔ⁵⁵							
	to wash	洗	rʑi⁵⁵	ka⁵⁵rtʃi³³							
	to wipe	擦	pʰjiʔs⁵⁵								
	to pull	拉	fse⁵³	ka⁵⁵ra⁵⁵ʃie⁵⁵/ka⁵⁵ra⁵⁵ʃi⁵⁵（下面的村子）							
	to pull	拉	ntʰen⁵⁵								
	to throw	扔	ncçoʔ⁵⁵	ka³³sa⁵⁵pʰʃit⁵⁵							
	to sew	缝	tɕʰop⁵⁵	ka⁵⁵tʃu³³							
	to say	讲（一般意义上的说话）	reʔs⁵⁵								
	the sea	海	rɟja³³mstʰo⁵⁵	mstʰu⁵⁵				part. tib. rgya.mtsho			
	the shoulder	肩膀	lvaq⁵⁵	ta⁵⁵rpak³³							
	nine	九	mgu⁵⁵	kə³³ngu⁵⁵							
	below, under	下方（近指）	ə³³cçʰe⁵⁵	a³³no⁵⁵							
	to plant (vegetals, rice)	种（菜）	je⁵³	ka³³je⁵⁵							
	the cloud	云	zdem⁵³	zdjan⁵⁵							
	one	一	rək⁵⁵	te⁵⁵							
	to die	死	sə⁵⁵	tə³³ʃi⁵⁵							
	two	二	ɣnes⁵⁵	tə³³jiu⁵⁵							
	four	四	ɣdi⁵⁵	kə⁵⁵pri⁵⁵							
	the goat	山羊	tsʰet⁵⁵	tʂʰət⁵⁵							
	the fruit	果实	sə⁵⁵	tə⁵⁵ʃi⁵⁵							
	the mosquito	蚊子	pau⁵⁵sai³³	kə³³pas⁵⁵							
	ten	十	sɣi⁵⁵	ʂə⁵⁵tʃi⁵⁵							
	to run	跑	rɟjuk⁵⁵	kə⁵⁵nə⁵⁵rtʃiu³³				part.  tib. rgyug			
	to forget	忘记	rmit⁵⁵	kɐ³³jnis⁵⁵							
	the branch	树枝	tai³³ga⁵⁵					situ			
	to swell	肿、胀	bup⁵⁵								
	to float	浮	rgo⁵³								
	to sleep	睡	juʔp⁵⁵	e³³rma⁵⁵							
	to smell (perceive odor) [transitive]	闻、嗅	ntʂə³³ma⁵³	ka⁵⁵na⁵⁵sə⁵⁵sət³³				tib. 'dri.ma			
	inside	里面	ə³³gu⁵⁵								
	the son	儿子	zi⁵⁵	tə⁵⁵tsa³³							
	hundred	百	vrje⁵³	pə³³rja⁵⁵							
	short	短	xtiʔs⁵⁵	kə⁵⁵kʰtʂən³³							
	the girl	姑娘	me³³le⁵⁵sŋa³³lu⁵³	mə⁵⁵tsa⁵⁵							
	the lightning	闪电	zblap⁵⁵	ta⁵⁵wja³³							
	six	六	xtɕok⁵⁵	kə⁵⁵tʂok³³							
	seven	七	sɲeʔs⁵³	kə³³ʃnəs⁵⁵							
	eight	八	ʁvjat⁵³	wu⁵⁵rjɐt⁵⁵							
	twenty	二十	nei⁵⁵sə³³	kə⁵⁵nə⁵⁵ ʃtʃi⁵⁵							
	correct (right)	对、正确	vɟje⁵⁵								
	wet	湿	xɕiʔt⁵⁵	kə⁵⁵ʃtʃi³³							
	rotten (of fruits)	腐烂	χtsə⁵⁵	kə³³tʃi⁵⁵							
	the sky	天	tə³³mu⁵⁵	tə⁵⁵mɔ⁵⁵rni⁵⁵				situ			
	the rainbow	虹	kə³³fɕi⁵³rem³³rem⁵³								
	above	上方（近指）	ə³³tʰa⁵³	a³³tar⁵⁵							
	to choose	挑选	ntsʰit⁵⁵	ka³³ntʃhi⁵⁵							
	stone (of fruit)	核儿	e⁵⁵sne⁵⁵	ə⁵⁵ʃɲe⁵⁵ 							
	the wood (material)	木头	bo⁵⁵li⁵⁵								
	to cry (weep)	哭	ndvo³³vo⁵³	kə³³ŋa⁵⁵wu⁵⁵/ kə³³ŋa⁵⁵kri³³（另一种说法）							
	to cry (weep)	哭泣	χɕi⁵³								
	sick	病	ngoʔ⁵⁵	kə³³nkɔ⁵⁵							
	the sparrow	麻雀	pɣi³³zi⁵⁵	ta⁵⁵sa⁵⁵ pu⁵⁵tsa³³							
	soft	软	ndvət⁵⁵	kə⁵⁵mtʃɔk⁵⁵							
	to buy	买	ɣruʔ⁵⁵	ka³³ki⁵⁵							
	before										
	hard	硬	nkʰraʔŋ⁵⁵	kə³³rkɔ⁵⁵							
	the armpit	腋下	pja⁵⁵qʰoq³³	ta³³kʰtʃa⁵⁵ki³³							
	to tie (together)	绑	rcçʰeʔ⁵⁵	ka⁵⁵rsie⁵⁵							
	the bamboo	竹子	ʁji⁵⁵se³³	ntʃju⁵⁵							
	there	那里	ai⁵⁵to³³	wu⁵⁵tej⁵⁵							
	near	近	rə⁵⁵bat³³	ə³³rie⁵⁵ kə⁵⁵wɐt³³ 							
	the dew	露水	sə⁵⁵rɕoq³³	ʂə⁵⁵ri⁵⁵							
	the intestines	肠	vu⁵⁵	tə⁵⁵rwa³³							
	to flow	（水）流	ni³³vi⁵⁵								
	the dog	狗	kʰe³³ne⁵⁵	kʰə⁵⁵na⁵⁵							
	the rice plant	水稻	mbraʔs⁵³					tib. 'bras			
	the frost	霜	sŋar⁵⁵	sŋar⁵⁵							
	the child	小孩	sŋa³³lu⁵⁵								
	the child	小孩	sŋaq⁵⁵								
	the man (male human)	男人、男性	ɕɣe⁵⁵ze³³	tə⁵⁵tsa³³							
	old (of person)	年老	rgan⁵⁵	kə⁵⁵ntʃɔ³³				tib. rgan			
	the nail (fingernail or claw)	指甲	rdzək⁵⁵	ta⁵⁵rja⁵⁵rtʃan⁵⁵							
	the mouse or rat	老鼠	pu³³juk⁵⁵	pə⁵⁵ji⁵⁵				situ			
	to marry (a man marries a woman)	娶	ndvet⁵⁵								
	the front (front side)	前面、正面	ə³³dʑi⁵³	tə³³ʈi⁵⁵							
	thin (object)	薄	biʔ⁵⁵	kə⁵⁵wa³³							
	the earthworm	蚯蚓	qar³³di⁵⁵ku⁵⁵lu⁵⁵	kʰun³³ʈi⁵⁵							
	the dream	梦	rmo⁵⁵	ta⁵⁵rmo⁵⁵							
	horizontal	横	ʁdam⁵⁵daʔm⁵⁵								
	wide	宽	rjeʔm⁵⁵	kə³³joŋ⁵⁵							
	to know	知道	tsʰoʔ⁵⁵	ka³³ʃi⁵⁵							
